instrument,broker_symbol,timeframe,history_start_utc,history_end_utc,coverage_days,training_end_utc,distance,signal_filter,ema_slope_bars,exit,minimum_validation_trades,robust,confidence,train_trades,train_wins,train_losses,train_win_rate_pct,train_net_r,train_profit_factor,train_expectancy_r,train_max_drawdown_pct,train_ending_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_net_r,validation_profit_factor,validation_expectancy_r,validation_risk_pct,validation_processed_trades,validation_ruined,validation_max_drawdown_pct,validation_ending_balance,validation_max_dd_pct_at_1pct,validation_ending_balance_at_1pct,full_trades,full_wins,full_losses,full_win_rate_pct,full_net_r,full_profit_factor,full_expectancy_r,full_risk_pct,full_processed_trades,full_ruined,full_max_drawdown_pct,full_ending_balance,full_max_dd_pct_at_1pct,full_ending_balance_at_1pct
XAUUSD,XAUUSD..,H1,2025-08-02T02:10:09.993599+00:00,2026-08-01T00:00:00+00:00,363.9096065555671,2026-05-02T00:32:32.498400+00:00,10,ema200_slope,24,fixed_4R,8,False,standard,40,17,23,42.5,35.11253356808366,2.592623579814952,0.8778133392020916,4.900995009999995,1403.648525553214,21,3,18,14.285714285714285,-6.0,0.6666666666666666,-0.2857142857142857,1.0,21,False,8.648275251635901,938.7144877597916,8.648275251635901,938.7144877597916,61,20,41,32.78688524590164,29.112533568083666,1.7269596009635106,0.47725464865710926,1.0,61,False,8.648275251635908,1317.6252066594718,8.648275251635908,1317.6252066594718
XAUUSD,XAUUSD..,H4,2025-08-02T02:10:09.993599+00:00,2026-08-01T00:00:00+00:00,363.9096065555671,2026-05-02T00:32:32.498400+00:00,5,ema200_slope,6,trail_start_1.5R_distance_1R,4,True,standard,23,14,9,60.86956521739131,28.110384051368523,4.123376005707613,1.2221906109290663,2.9701000000000066,1314.8653968249944,14,8,6,57.14285714285714,4.822351102381551,1.8037251837302584,0.34445365017011076,1.0,14,False,2.970100000000002,1047.8571821474911,2.970100000000002,1047.8571821474911,37,22,15,59.45945945945946,32.93273515375007,3.1955156769166715,0.8900739230743263,1.0,37,False,5.291387937650717,1377.7911496202812,5.291387937650717,1377.7911496202812
US100,NAS100U6,H1,2026-06-15T01:00:00+00:00,2026-08-01T00:00:00+00:00,46.958333333333336,2026-07-20T06:15:00+00:00,8,none,1,fixed_2R,3,False,limited,37,16,21,43.24324324324324,3.246055003612929,1.2299885383564133,0.08773121631386295,4.682663824350106,1030.8653760285863,17,6,11,35.294117647058826,-0.2589523237897979,0.96537437110602,-0.015232489634693994,1.0,17,False,6.392916264140827,996.4395927010765,6.392916264140827,996.4395927010765,54,22,32,40.74074074074074,2.067201262694358,1.09182452040299,0.03828150486471033,1.0,54,False,6.3929162641408395,1017.7383186359355,6.3929162641408395,1017.7383186359355
US100,NAS100U6,H4,2026-06-15T00:00:00+00:00,2026-08-01T00:00:00+00:00,47.0,2026-07-20T06:00:00+00:00,5,none,1,fixed_3R,2,True,limited,16,5,11,31.25,0.7760601804628913,1.1277589184570525,0.048503761278930704,4.182053628983075,1006.6309858717506,7,4,3,57.14285714285714,0.8084560820746656,1.2694853606915553,0.11549372601066651,1.0,7,False,2.8633381533670557,1007.5062685125173,2.8633381533670557,1007.5062685125173,23,9,14,39.130434782608695,1.5845162625375568,1.1746136759058512,0.06889201141467638,1.0,23,False,4.182053628983075,1014.1870283447238,4.182053628983075,1014.1870283447238
US30,US30,H1,2025-08-02T02:10:09.993599+00:00,2026-08-01T00:00:00+00:00,363.9096065555671,2026-05-02T00:32:32.498400+00:00,6,ema200_slope,24,fixed_4R,8,True,standard,66,17,49,25.757575757575758,9.59228678610184,1.207767689300651,0.1453376785773006,10.037345848355365,1086.8274463278526,23,7,16,30.434782608695656,6.115595357617047,1.3822247098510654,0.26589545033117595,1.0,23,False,6.793465209300987,1057.9565283551997,6.793465209300987,1057.9565283551997,89,24,65,26.96629213483146,15.707882143718885,1.2526669559777084,0.1764930577945942,1.0,89,False,10.037345848355365,1149.816192038162,10.037345848355365,1149.816192038162
US30,US30,H4,2025-08-02T02:10:09.993599+00:00,2026-08-01T00:00:00+00:00,363.9096065555671,2026-05-02T00:32:32.498400+00:00,6,ema200_slope,6,fixed_4R,4,False,limited,11,6,5,54.54545454545454,8.213956202231964,2.642791240446393,0.7467232911119968,2.8297902956412075,1082.7427811355462,0,0,0,0.0,0.0,inf,0.0,1.0,0,False,0.0,1000.0,0.0,1000.0,11,6,5,54.54545454545454,10.03799985031926,3.007599970063852,0.9125454409381145,1.0,11,False,2.8297902956412075,1102.293568045961,2.8297902956412075,1102.293568045961
BTCUSD,BTCUSD,H1,2025-08-02T02:10:09.993599+00:00,2026-08-02T02:00:00+00:00,364.9929398889004,2026-05-02T20:02:32.498400+00:00,10,ema200_slope,24,trail_start_1R_distance_1R,8,False,standard,106,46,60,43.39622641509434,16.033856872753294,1.2790012138296973,0.15126280068635184,10.300851539886503,1154.6709471290656,31,11,20,35.483870967741936,-1.5249106045722016,0.9162879907435555,-0.049190664663619404,1.0,31,False,10.377256756139996,981.4379959334267,10.377256756139996,981.4379959334267,137,57,80,41.605839416058394,14.508946268181091,1.1917019384106942,0.10590471728599336,1.0,137,False,12.664054049035242,1133.2379403129028,12.664054049035242,1133.2379403129028
BTCUSD,BTCUSD,H4,2025-08-02T02:10:09.993599+00:00,2026-08-02T00:00:00+00:00,364.9096065555671,2026-05-02T18:32:32.498400+00:00,4,ema200_slope,6,fixed_4R,4,True,standard,32,10,22,31.25,13.683839084532085,1.6333786902242442,0.42761997139162766,5.475882265889299,1137.987273415431,9,3,6,33.33333333333333,2.4797299781663997,1.4438027871041363,0.2755255531296,1.0,9,False,2.970100000000013,1023.2353282519692,2.970100000000013,1023.2353282519692,41,13,28,31.70731707317073,15.812539414677454,1.581514956740858,0.38567169304091353,1.0,41,False,5.475882265889299,1160.40590265639,5.475882265889299,1160.40590265639
EURUSD,EURUSD..,H1,2025-08-02T02:10:09.993599+00:00,2026-08-01T00:00:00+00:00,363.9096065555671,2026-05-02T00:32:32.498400+00:00,10,ema200_slope,24,fixed_4R,8,False,standard,55,17,38,30.909090909090907,8.925622352235829,1.236953491486849,0.16228404276792416,12.25936503148881,1082.251120358683,19,4,15,21.052631578947366,-9.857575233369214,0.344365818368826,-0.5188197491246955,1.0,19,False,10.262090230501562,904.7078299605803,10.262090230501562,904.7078299605803,74,21,53,28.37837837837838,-0.9319528811333844,0.9823170327076877,-0.012593957853153842,1.0,74,False,13.687142793240126,979.1210625721109,13.687142793240126,979.1210625721109
EURUSD,EURUSD..,H4,2025-08-02T02:10:09.993599+00:00,2026-08-01T00:00:00+00:00,363.9096065555671,2026-05-02T00:32:32.498400+00:00,4,none,1,trail_start_1R_distance_1R,4,False,standard,163,65,98,39.87730061349693,13.831935282654692,1.2191214547971156,0.0848584986665932,9.675111466479535,1130.0782321454137,54,22,32,40.74074074074074,0.5085658236272228,1.0266229880641802,0.009417885622726349,1.0,54,False,7.269702147230286,1002.1408615071304,7.269702147230286,1002.1408615071304,217,87,130,40.09216589861751,14.324876106281927,1.1741782007093537,0.06601325394599966,1.0,217,False,9.675111466479535,1132.3203550211972,9.675111466479535,1132.3203550211972
