instrument,broker_symbol,timeframe,distance,signal_filter,ema_slope_bars,exit,sample,trades,wins,losses,win_rate_pct,net_r,profit_factor,expectancy_r,risk_pct,processed_trades,ruined,max_drawdown_pct,ending_balance,max_dd_pct_at_1pct,ending_balance_at_1pct,selection_score
XAUUSD,XAUUSD..,H1,6,none,1,fixed_2R,training,448,180,268,40.17857142857143,6.004733589752645,1.0335640505051684,0.013403423191412153,1.0,448,False,15.287137710431653,1037.2998114779236,15.287137710431653,1037.2998114779236,-0.1727539049900329
XAUUSD,XAUUSD..,H1,6,none,1,fixed_3R,training,441,172,269,39.002267573696145,14.2121690463994,1.0790223454530694,0.03222714069478322,1.0,441,False,16.117579782259867,1118.6737260730538,16.117579782259867,1118.6737260730538,0.19392011511801321
XAUUSD,XAUUSD..,H1,6,none,1,fixed_4R,training,438,171,267,39.04109589041096,27.797340108198696,1.154812872287661,0.06346424682237145,1.0,438,False,15.303187352961418,1273.8308286209933,15.303187352961418,1273.8308286209933,0.8893027237159035
XAUUSD,XAUUSD..,H1,6,none,1,trail_start_1R_distance_0.5R,training,451,190,261,42.12860310421286,15.062473058150074,1.0870014460711672,0.033397944696563354,1.0,451,False,16.094156165154068,1131.2178063644724,16.094156165154068,1131.2178063644724,0.22854812574278882
XAUUSD,XAUUSD..,H1,6,none,1,trail_start_1R_distance_1R,training,443,185,258,41.760722347629795,13.861368820272059,1.080224135844939,0.031289771603322934,1.0,443,False,14.313384138385278,1114.0200091753436,14.313384138385278,1114.0200091753436,0.24807176212486348
XAUUSD,XAUUSD..,H1,6,none,1,trail_start_1.5R_distance_1R,training,442,180,262,40.723981900452486,23.083582979570426,1.1317007012773872,0.052225300858756624,1.0,442,False,15.28035095058484,1219.49969739245,15.28035095058484,1219.49969739245,0.6565151406354067
XAUUSD,XAUUSD..,H1,6,ema200_slope,24,fixed_2R,training,96,43,53,44.79166666666667,28.60897751515869,1.55926553714312,0.29801018244956967,1.0,96,False,11.364500773831578,1317.5780213901699,11.364500773831578,1317.5780213901699,2.6992013402388624
XAUUSD,XAUUSD..,H1,6,ema200_slope,24,fixed_3R,training,87,31,56,35.63218390804598,28.116091610585666,1.5119555937189004,0.32317346678834097,1.0,87,False,11.390225922682417,1305.2376112565598,11.390225922682417,1305.2376112565598,2.785545726786204
XAUUSD,XAUUSD..,H1,6,ema200_slope,24,fixed_4R,training,76,26,50,34.21052631578947,41.11609161058567,1.840493218126237,0.541001205402443,1.0,76,False,13.135861023272394,1479.1315807019503,13.135861023272394,1479.1315807019503,4.4669787071539195
XAUUSD,XAUUSD..,H1,6,ema200_slope,24,trail_start_1R_distance_0.5R,training,134,67,67,50.0,26.617919218095626,1.4021052957380082,0.19864118819474347,1.0,134,False,12.308793779291271,1288.6803330587163,12.308793779291271,1288.6803330587163,2.01740203990786
