symbol,broker_symbol,setup,side,signal_time_iso,entry_time_iso,exit_time_iso,entry,sl,tp,lot,pnl,result,rr,margin,reason
XAUUSD,XAUUSDm,range,SELL,2025-06-17T00:00:00Z,2025-06-17T00:05:00Z,2025-06-17T03:10:00Z,3399.764,3405.254,3383.294,0.2,329.4,TP,3.0,34.0,range_rejection_from_h4_high
XAUUSD,XAUUSDm,range,BUY,2025-06-17T03:25:00Z,2025-06-17T03:30:00Z,2025-06-17T08:50:00Z,3385.734,3379.986,3402.977,0.2,-114.96,SL,3.0,33.86,range_rejection_from_h4_low
XAUUSD,XAUUSDm,breakout_retest,SELL,2025-06-17T09:05:00Z,2025-06-17T09:10:00Z,2025-06-17T09:20:00Z,3378.126,3381.394,3368.322,0.2,-65.36,SL,3.0,33.78,breakout_down_retest_sell
XAUUSD,XAUUSDm,breakout_retest,SELL,2025-06-17T09:25:00Z,2025-06-17T09:30:00Z,2025-06-17T09:40:00Z,3380.066,3383.533,3369.666,0.2,-69.34,SL,3.0,33.8,breakout_down_retest_sell
XAUUSD,XAUUSDm,range,BUY,2025-06-17T09:50:00Z,2025-06-17T09:55:00Z,2025-06-17T10:20:00Z,3383.977,3379.873,3396.289,0.2,246.24,TP,3.0,33.84,range_rejection_from_h4_low
XAUUSD,XAUUSDm,range,SELL,2025-06-17T10:25:00Z,2025-06-17T10:30:00Z,2025-06-17T10:40:00Z,3393.719,3397.934,3381.074,0.2,-84.3,SL,3.0,33.94,range_rejection_from_h4_high
XAUUSD,XAUUSDm,range,SELL,2025-06-17T10:50:00Z,2025-06-17T10:55:00Z,2025-06-17T11:10:00Z,3395.313,3400.059,3381.074,0.2,-94.92,SL,3.0,33.95,range_rejection_from_h4_high
XAUUSD,XAUUSDm,range,SELL,2025-06-17T11:20:00Z,2025-06-17T11:25:00Z,2025-06-17T14:25:00Z,3394.155,3398.515,3381.074,0.2,261.62,TP,3.0,33.94,range_rejection_from_h4_high
XAUUSD,XAUUSDm,range,BUY,2025-06-17T14:45:00Z,2025-06-17T14:50:00Z,2025-06-18T02:30:00Z,3378.979,3371.904,3400.203,0.2,-141.5,SL,3.0,33.79,range_rejection_from_h4_low
XAUUSD,XAUUSDm,range,BUY,2025-06-18T03:10:00Z,2025-06-18T03:15:00Z,2025-06-18T04:30:00Z,3384.114,3380.074,3396.234,0.2,242.4,TP,3.0,33.84,range_rejection_from_h4_low
XAUUSD,XAUUSDm,range,SELL,2025-06-18T05:30:00Z,2025-06-18T05:35:00Z,2025-06-18T13:25:00Z,3388.968,3395.072,3370.655,0.2,-122.08,SL,3.0,33.89,range_rejection_from_h4_high
XAUUSD,XAUUSDm,range,SELL,2025-06-18T14:05:00Z,2025-06-18T14:10:00Z,2025-06-18T14:20:00Z,3386.226,3389.824,3375.433,0.2,215.86,TP,3.0,33.86,range_rejection_from_h4_high
XAUUSD,XAUUSDm,range,SELL,2025-06-18T14:35:00Z,2025-06-18T14:40:00Z,2025-06-18T14:45:00Z,3385.979,3389.494,3375.433,0.2,-70.3,SL,3.0,33.86,range_rejection_from_h4_high
XAUUSD,XAUUSDm,range,SELL,2025-06-18T14:50:00Z,2025-06-18T14:55:00Z,2025-06-18T15:45:00Z,3386.318,3389.946,3375.433,0.2,-72.56,SL,3.0,33.86,range_rejection_from_h4_high
XAUUSD,XAUUSDm,range,SELL,2025-06-18T18:10:00Z,2025-06-18T18:15:00Z,2025-06-18T19:05:00Z,3392.125,3398.222,3373.833,0.2,365.84,TP,3.0,33.92,range_rejection_from_h4_high
