starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,symbol
300.0,379.03,79.03,26.34,59,28,31,47.46,5.76,0.0977,0.0208,24.28,US30
300.0,309.21,9.21,3.07,13,7,6,53.85,0.82,0.063,0.0001,9.75,XAUUSD
