trades,wins,losses,timeouts,win_rate,net_r,start_balance,final_balance,level,target_balance,target_reached,target_reached_at,max_drawdown_pct,min_balance,minimum_lot_overrides,max_actual_risk_percent,sizing_mode,symbol
75,23,18,34,30.67,13.65,20.0,94.56,6,52399.91,False,,66.85,15.74,0,22.99,mt5_min_step_compounding,AUDUSD
70,23,16,31,32.86,7.48,20.0,17.63,1,52399.91,False,,82.58,9.74,0,22.93,mt5_min_step_compounding,GBPUSD
72,14,17,41,19.44,-0.12,20.0,9.81,1,52399.91,False,,66.55,9.81,0,22.9,mt5_min_step_compounding,EURUSD
74,11,12,51,14.86,-3.49,20.0,6.51,1,52399.91,False,,84.44,3.49,11,34.3,mt5_min_step_compounding,USDCAD
