symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step
AUDUSD,45,1.1764705882352942,2025-12,2025-12-30,2025-12-31 00:45:00,2025-12-31 07:00:00,SELL,0.66953,0.67123,0.66753,0.66846,timeout,0.5765,0.0529,9.0,107.0,0.66992,0.66953,1.8571,170.0,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2025-12,2025-12-30,2025-12-31 00:45:00,2025-12-31 07:00:00,SELL,1.34606,1.34776,1.34406,1.34524,timeout,0.4235,0.0588,10.0,82.0,1.34671,1.34606,1.7843,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2025-12,2025-12-30,2025-12-31 00:45:00,2025-12-31 07:00:00,BUY,1.36975,1.36805,1.37175,1.37071,timeout,0.4765,0.0882,15.0,96.0,1.36975,1.36928,1.8177,119.78,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,BUY,0.6682,0.6665,0.6702,0.66918,timeout,0.5235,0.0529,9.0,98.0,0.6682,0.66763,1.6871,170.0,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,BUY,1.1753,1.1736,1.1773,1.17448,timeout,-0.5294,0.0471,8.0,-82.0,1.1753,1.17495,1.0,170.0,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,BUY,1.3477,1.346,1.3497,1.34675,timeout,-0.6176,0.0588,10.0,-95.0,1.3477,1.34711,0.8507,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,SELL,1.37131,1.37301,1.36931,1.37091,timeout,0.1471,0.0882,15.0,40.0,1.37184,1.37131,1.2264,119.78,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-06,2026-01-07 00:45:00,2026-01-07 03:45:00,BUY,0.67371,0.67201,0.67571,0.67571,win,1.1235,0.0529,9.0,200.0,0.67371,0.67168,7.25,170.0,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-06,2026-01-07 00:45:00,2026-01-07 07:00:00,BUY,1.35046,1.34876,1.35246,1.35112,timeout,0.3294,0.0588,10.0,66.0,1.35046,1.3497,1.9275,170.0,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-06,2026-01-07 01:00:00,2026-01-07 07:00:00,BUY,1.16937,1.16767,1.17137,1.16942,timeout,-0.0176,0.0471,8.0,5.0,1.16937,1.16848,3.0614,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-06,2026-01-07 01:15:00,2026-01-07 07:00:00,BUY,1.38242,1.38072,1.38442,1.38157,timeout,-0.5882,0.0882,15.0,-85.0,1.38242,1.38144,2.9761,119.78,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-07,2026-01-08 00:45:00,2026-01-08 07:00:00,SELL,1.16755,1.16925,1.16555,1.1678,timeout,-0.1941,0.0471,8.0,-25.0,1.16777,1.16755,0.9904,170.0,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-07,2026-01-08 01:00:00,2026-01-08 04:45:00,BUY,0.67232,0.67062,0.67432,0.67062,loss,-1.0529,0.0529,9.0,-170.0,0.67232,0.67166,4.0526,170.0,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-07,2026-01-08 01:00:00,2026-01-08 07:00:00,BUY,1.34602,1.34432,1.34802,1.34521,timeout,-0.5353,0.0588,10.0,-81.0,1.34602,1.34556,1.5407,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-07,2026-01-08 01:15:00,2026-01-08 07:00:00,BUY,1.38614,1.38444,1.38814,1.38734,timeout,0.6176,0.0882,15.0,120.0,1.38614,1.3857,1.2623,119.78,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-08,2026-01-09 00:45:00,2026-01-09 07:00:00,SELL,1.16536,1.16706,1.16336,1.16448,timeout,0.4706,0.0471,8.0,88.0,1.16577,1.16536,1.3256,170.0,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-08,2026-01-09 00:45:00,2026-01-09 07:00:00,SELL,1.34313,1.34483,1.34113,1.34196,timeout,0.6294,0.0588,10.0,117.0,1.34366,1.34313,1.0785,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-08,2026-01-09 00:45:00,2026-01-09 07:00:00,BUY,1.38686,1.38516,1.38886,1.38723,timeout,0.1294,0.0882,15.0,37.0,1.38686,1.38641,1.2257,119.78,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-08,2026-01-09 01:00:00,2026-01-09 07:00:00,SELL,0.66945,0.67115,0.66745,0.66863,timeout,0.4294,0.0529,9.0,82.0,0.66993,0.66945,2.1889,170.0,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-13,2026-01-14 00:45:00,2026-01-14 03:30:00,SELL,0.66812,0.66982,0.66612,0.66982,loss,-1.0529,0.0529,9.0,-170.0,0.66844,0.66812,1.5342,170.0,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-13,2026-01-14 00:45:00,2026-01-14 03:45:00,BUY,1.34267,1.34097,1.34467,1.34467,win,1.1176,0.0588,10.0,200.0,1.34267,1.34201,1.8896,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-13,2026-01-14 00:45:00,2026-01-14 07:00:00,BUY,1.38924,1.38754,1.39124,1.38814,timeout,-0.7353,0.0882,15.0,-110.0,1.38924,1.38864,1.8962,119.78,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-13,2026-01-14 01:00:00,2026-01-14 07:00:00,SELL,1.16376,1.16546,1.16176,1.16484,timeout,-0.6824,0.0471,8.0,-108.0,1.16434,1.16376,2.1946,170.0,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-14,2026-01-15 00:45:00,2026-01-15 03:30:00,BUY,0.66854,0.66684,0.67054,0.66684,loss,-1.0529,0.0529,9.0,-170.0,0.66854,0.66801,2.12,170.0,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-14,2026-01-15 00:45:00,2026-01-15 07:00:00,SELL,1.1637,1.1654,1.1617,1.16311,timeout,0.3,0.0471,8.0,59.0,1.16453,1.1637,3.0499,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-14,2026-01-15 00:45:00,2026-01-15 07:00:00,BUY,1.38915,1.38745,1.39115,1.38997,timeout,0.3941,0.0882,15.0,82.0,1.38915,1.38844,1.9115,119.78,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-14,2026-01-15 01:30:00,2026-01-15 07:00:00,SELL,1.34302,1.34472,1.34102,1.34347,timeout,-0.3235,0.0588,10.0,-45.0,1.34396,1.34302,1.8406,170.0,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-15,2026-01-16 00:45:00,2026-01-16 07:00:00,SELL,0.66987,0.67157,0.66787,0.6701,timeout,-0.1882,0.0529,9.0,-23.0,0.67021,0.66987,1.7,170.0,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-15,2026-01-16 00:45:00,2026-01-16 07:00:00,SELL,1.16051,1.16221,1.15851,1.16132,timeout,-0.5235,0.0471,8.0,-81.0,1.16094,1.16051,1.6139,170.0,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-15,2026-01-16 00:45:00,2026-01-16 07:00:00,SELL,1.33782,1.33952,1.33582,1.33845,timeout,-0.4294,0.0588,10.0,-63.0,1.33822,1.33782,1.2148,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-15,2026-01-16 00:45:00,2026-01-16 07:00:00,BUY,1.38937,1.38767,1.39137,1.38934,timeout,-0.1059,0.0882,15.0,-3.0,1.38937,1.38893,1.2941,119.78,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-20,2026-01-21 00:45:00,2026-01-21 07:00:00,SELL,1.17178,1.17348,1.16978,1.1714,timeout,0.1765,0.0471,8.0,38.0,1.17267,1.17178,2.5377,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-20,2026-01-21 00:45:00,2026-01-21 07:00:00,BUY,1.38392,1.38222,1.38592,1.38334,timeout,-0.4294,0.0882,15.0,-58.0,1.38392,1.38332,1.8792,119.78,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-20,2026-01-21 01:00:00,2026-01-21 07:00:00,BUY,0.67331,0.67161,0.67531,0.67496,timeout,0.9176,0.0529,9.0,165.0,0.67331,0.67294,1.5463,170.0,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-21,2026-01-22 00:45:00,2026-01-22 07:00:00,BUY,1.16871,1.16701,1.17071,1.16848,timeout,-0.1824,0.0471,8.0,-23.0,1.16871,1.16724,3.6169,170.0,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-21,2026-01-22 00:45:00,2026-01-22 07:00:00,BUY,1.3426,1.3409,1.3446,1.34239,timeout,-0.1824,0.0588,10.0,-21.0,1.3426,1.34164,1.8903,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-21,2026-01-22 00:45:00,2026-01-22 07:00:00,SELL,1.38284,1.38454,1.38084,1.38225,timeout,0.2588,0.0882,15.0,59.0,1.38441,1.38284,3.8226,119.78,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-21,2026-01-22 01:00:00,2026-01-22 07:00:00,BUY,0.67905,0.67735,0.68105,0.6809,timeout,1.0353,0.0529,9.0,185.0,0.67905,0.67535,15.7447,170.0,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-22,2026-01-23 00:45:00,2026-01-23 07:00:00,SELL,1.17483,1.17653,1.17283,1.17419,timeout,0.3294,0.0471,8.0,64.0,1.17535,1.17483,1.5724,170.0,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-22,2026-01-23 00:45:00,2026-01-23 07:00:00,SELL,1.34952,1.35122,1.34752,1.34893,timeout,0.2882,0.0588,10.0,59.0,1.35006,1.34952,0.9818,170.0,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-22,2026-01-23 01:00:00,2026-01-23 07:00:00,BUY,0.68446,0.68276,0.68646,0.685,timeout,0.2647,0.0529,9.0,54.0,0.68446,0.68386,3.4008,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-22,2026-01-23 01:15:00,2026-01-23 07:00:00,SELL,1.3784,1.3801,1.3764,1.37854,timeout,-0.1706,0.0882,15.0,-14.0,1.3792,1.3784,3.2277,119.78,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-27,2026-01-28 00:45:00,2026-01-28 02:00:00,SELL,1.38136,1.38306,1.37936,1.37936,win,1.1176,0.0588,10.0,200.0,1.38308,1.38136,0.9781,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-27,2026-01-28 00:45:00,2026-01-28 05:30:00,BUY,1.36037,1.35867,1.36237,1.35867,loss,-1.0882,0.0882,15.0,-170.0,1.36037,1.35917,1.0402,119.78,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-27,2026-01-28 01:00:00,2026-01-28 02:00:00,SELL,1.20076,1.20246,1.19876,1.19876,win,1.1294,0.0471,8.0,200.0,1.20234,1.20076,0.8544,170.0,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-27,2026-01-28 01:15:00,2026-01-28 06:30:00,SELL,0.69896,0.70066,0.69696,0.70066,loss,-1.0529,0.0529,9.0,-170.0,0.7022,0.69896,4.0248,170.0,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-28,2026-01-29 01:00:00,2026-01-29 02:45:00,SELL,0.70309,0.70479,0.70109,0.70479,loss,-1.0529,0.0529,9.0,-170.0,0.70482,0.70309,2.5522,170.0,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-28,2026-01-29 01:00:00,2026-01-29 03:45:00,SELL,1.19685,1.19855,1.19485,1.19855,loss,-1.0471,0.0471,8.0,-170.0,1.19848,1.19685,2.3051,170.0,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-28,2026-01-29 01:00:00,2026-01-29 02:00:00,SELL,1.38135,1.38305,1.37935,1.37935,win,1.1176,0.0588,10.0,200.0,1.38346,1.38135,2.5313,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-28,2026-01-29 01:00:00,2026-01-29 03:00:00,BUY,1.35461,1.35291,1.35661,1.35291,loss,-1.0882,0.0882,15.0,-170.0,1.35461,1.35305,2.4294,119.78,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-01,2026-01-29,2026-01-30 00:45:00,2026-01-30 01:45:00,SELL,0.70278,0.70448,0.70078,0.70078,win,1.1235,0.0529,9.0,200.0,0.70525,0.70278,5.0778,170.0,0.01,200.0,0.01
EURUSD,45,1.1764705882352942,2026-01,2026-01-29,2026-01-30 00:45:00,2026-01-30 01:15:00,SELL,1.19341,1.19511,1.19141,1.19141,win,1.1294,0.0471,8.0,200.0,1.19729,1.19341,8.6222,170.0,0.01,200.0,0.01
GBPUSD,45,1.1764705882352942,2026-01,2026-01-29,2026-01-30 00:45:00,2026-01-30 01:45:00,SELL,1.37793,1.37963,1.37593,1.37593,win,1.1176,0.0588,10.0,200.0,1.38138,1.37793,5.3311,170.0,0.01,200.0,0.01
USDCAD,45,1.1764705882352942,2026-01,2026-01-29,2026-01-30 00:45:00,2026-01-30 02:00:00,BUY,1.35098,1.34928,1.35298,1.35298,win,1.0882,0.0882,15.0,200.0,1.35098,1.34837,3.3928,119.78,0.01,200.0,0.01
AUDUSD,45,1.1764705882352942,2026-02,2026-02-03,2026-02-04 00:45:00,2026-02-04 07:00:00,BUY,0.70243,0.70073,0.70443,0.70319,timeout,0.3941,0.0529,9.0,76.0,0.70243,0.70156,1.8511,170.0,0.01,200.0,0.01
