key,value
first_tick,2026.03.05 00:00:00
last_tick,2026.09.04 20:57:59
first_closed_double,
insolvent_at,
initial_balance,3000.00000000
final_balance,1085.03000000
final_equity,1085.03000000
max_equity,3044.69000000
min_equity,975.44000000
max_equity_dd_pct,67.96258404
max_equity_dd_cash,2069.25000000
max_total_lots,0.03000000
max_legs,3.00000000
entries,1149.00000000
baskets_closed,565.00000000
rejected,1326.00000000
daily_loss_locks,62.00000000
daily_profit_locks,60.00000000
stopped_at_double,0.00000000
leverage,2000.00000000
