time,event,note,basket,legs,first_entry,gap,volume,price,trigger,bid,ask,balance,equity,basket_start_balance,day_start_balance,basket_pnl,daily_pnl,common_sl,total_lots,positions,day,day_locked
2026.03.05 00:00:00,day_start,,0,0,0.0,0.0,0.0,0.0,0.0,5165.027,5165.142,3000.0,3000.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0,20260305,false
2026.03.05 00:00:00,buy_request,prescribed size; projected basket stop,1,0,0.0,10.0,0.01,5165.142,5165.142,5165.027,5165.142,3000.0,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0,20260305,false
2026.03.05 00:00:01,buy_filled,,1,1,5165.709,10.0,0.01,5165.709,5165.142,5165.612,5165.709,2999.94,2999.84,3000.0,3000.0,-0.15999999999985448,-0.15999999999985448,5105.197,0.01,1,20260305,false
2026.03.05 01:10:36,native_exit,one or more protective SL/TP positions exited,1,1,5165.709,10.0,0.0,0.0,0.0,5186.049,5186.164,3020.28,3020.28,3000.0,3000.0,20.2800000000002,20.2800000000002,5105.769,0.0,0,20260305,false
2026.03.05 01:10:36,basket_closed,native_sl_tp,1,1,5165.709,10.0,0.0,0.0,0.0,5186.049,5186.164,3020.28,3020.28,3000.0,3000.0,20.2800000000002,20.2800000000002,5105.769,0.0,0,20260305,false
2026.03.05 01:10:36,buy_request,prescribed size; projected basket stop,2,0,0.0,10.0,0.01,5186.315,5186.315,5186.2,5186.315,3020.28,3020.28,3020.28,3000.0,0.0,20.2800000000002,0.0,0.0,0,20260305,false
2026.03.05 01:10:37,buy_filled,,2,1,5186.034,10.0,0.01,5186.034,5186.315,5185.937,5186.034,3020.22,3020.13,3020.28,3000.0,-0.15000000000009095,20.13000000000011,5126.37,0.01,1,20260305,false
2026.03.05 01:15:33,buy_request,prescribed size; projected basket stop,2,1,5186.034,10.0,0.01,5175.984,5176.034,5175.869,5175.984,3020.22,3010.06,3020.28,3000.0,-10.220000000000255,10.059999999999945,5126.37,0.01,1,20260305,false
2026.03.05 01:15:33,buy_filled,,2,2,5186.034,10.0,0.01,5175.938,5176.034,5175.823,5175.938,3020.16,3009.83,3020.28,3000.0,-10.450000000000273,9.829999999999927,5151.067,0.02,2,20260305,false
2026.03.05 02:58:24,native_exit,one or more protective SL/TP positions exited,2,2,5186.034,10.0,0.0,0.0,0.0,5191.075,5191.19,3040.35,3040.35,3020.28,3000.0,20.06999999999971,40.34999999999991,5151.067,0.0,0,20260305,false
2026.03.05 02:58:24,basket_closed,native_sl_tp,2,2,5186.034,10.0,0.0,0.0,0.0,5191.075,5191.19,3040.35,3040.35,3020.28,3000.0,20.06999999999971,40.34999999999991,5151.067,0.0,0,20260305,false
2026.03.05 02:58:24,buy_request,prescribed size; projected basket stop,3,0,0.0,10.0,0.01,5191.036,5191.036,5190.939,5191.036,3040.35,3040.35,3040.35,3000.0,0.0,40.34999999999991,0.0,0.0,0,20260305,false
2026.03.05 02:58:25,buy_filled,,3,1,5190.773,10.0,0.01,5190.773,5191.036,5190.676,5190.773,3040.29,3040.2,3040.35,3000.0,-0.15000000000009095,40.19999999999982,5131.091,0.01,1,20260305,false
2026.03.05 03:57:33,buy_request,prescribed size; projected basket stop,3,1,5190.773,10.0,0.01,5180.753,5180.773,5180.638,5180.753,3040.29,3030.16,3040.35,3000.0,-10.190000000000055,30.159999999999854,5131.091,0.01,1,20260305,false
2026.03.05 03:57:33,buy_filled,,3,2,5190.773,10.0,0.01,5180.753,5180.773,5180.638,5180.753,3040.23,3029.99,3040.35,3000.0,-10.360000000000127,29.98999999999978,5155.821,0.02,2,20260305,false
2026.03.05 04:48:11,buy_request,prescribed size; projected basket stop,3,2,5190.773,10.0,0.01,5170.755,5170.773,5170.64,5170.755,3040.23,3009.99,3040.35,3000.0,-30.360000000000127,9.989999999999782,5155.823,0.02,2,20260305,false
2026.03.05 04:48:12,buy_filled,,3,3,5190.773,10.0,0.01,5169.951,5170.773,5169.836,5169.951,3040.17,3008.22,3040.35,3000.0,-32.13000000000011,8.2199999999998,5160.819,0.03,3,20260305,false
2026.03.05 05:50:51,native_exit,one or more protective SL/TP positions exited,3,3,5190.773,10.0,0.0,0.0,0.0,5160.814,5160.929,2981.13,2981.13,3040.35,3000.0,-59.2199999999998,-18.86999999999989,5160.819,0.0,0,20260305,false
