key,value
first_tick,2021.09.05 22:05:00
last_tick,2026.09.04 20:57:59
first_closed_double,
insolvent_at,
initial_balance,3000.00000000
final_balance,3589.04000000
final_equity,3589.04000000
max_equity,5630.68000000
min_equity,2790.19000000
max_equity_dd_pct,38.20550981
max_equity_dd_cash,2151.23000000
max_total_lots,0.03000000
max_legs,3.00000000
entries,4218.00000000
baskets_closed,2132.00000000
rejected,4679.00000000
daily_loss_locks,148.00000000
daily_profit_locks,184.00000000
stopped_at_double,0.00000000
leverage,2000.00000000
