key,value
first_tick,2025.09.05 00:00:00
last_tick,2026.09.04 20:57:59
first_closed_double,
insolvent_at,
initial_balance,3000.00000000
final_balance,2771.96000000
final_equity,2771.96000000
max_equity,4813.60000000
min_equity,2662.37000000
max_equity_dd_pct,44.69066811
max_equity_dd_cash,2151.23000000
max_total_lots,0.03000000
max_legs,3.00000000
entries,2114.00000000
baskets_closed,1067.00000000
rejected,4130.00000000
daily_loss_locks,91.00000000
daily_profit_locks,130.00000000
stopped_at_double,0.00000000
leverage,2000.00000000
