symbol,entry_time,side,entry,stop_loss,tp1,tp2,tp3,tp1_r,tp2_r,tp3_r,score,tqi,er,vol_z,hit_tp1,hit_tp2,hit_tp3,entry_index,exit_time,exit_price,exit_reason,r_multiple,raw_r_multiple,spread_r_cost,balance_before,risk_cash,pnl,balance_after
XAUUSD,2026-05-20 16:15:00,BUY,4506.98,4479.695333120222,4542.141377366397,4577.302754732795,4612.464132099193,1.2886863351246678,2.5773726702493356,3.8660590053740034,40.5434058488697,0.5989050546171556,0.26894624362977887,2.623568045509763,True,False,False,2733,2026-05-21 18:15:00,4516.58,timeout,0.6582619901965739,0.664126089644993,0.0058640994484190365,300.0,15.0,9.87392985294861,309.8739298529486
XAUUSD,2026-05-27 07:30:00,SELL,4493.47,4514.134205729216,4466.719606360267,4439.969212720533,4413.218819080799,1.2945280351091955,2.589056070218391,3.8835841053275866,43.17833472055216,0.6616699806296651,0.2851814174296285,3.2157509135318447,True,True,True,3142,2026-05-27 15:00:00,4413.218819080799,tp3,2.5813132127334897,2.589056070218391,0.007742857484901425,309.8739298529486,15.49369649264743,39.99408347055334,349.86801332350194
XAUUSD,2026-05-28 03:00:00,SELL,4438.19,4458.069482384019,4413.44868086742,4388.70736173484,4363.96604260226,1.2445655603422239,2.4891311206844478,3.7336966810266716,40.3839929259028,0.6576499495483231,0.20865721688768127,2.924285589996565,True,True,False,3216,2026-05-28 07:30:00,4389.54,flip_exit,2.049750844217334,2.0603144995451412,0.01056365532780764,349.86801332350194,17.4934006661751,35.857112783724475,385.7251261072264
US30,2026-05-27 15:30:00,SELL,34.26,34.92013491141861,33.59986508858139,32.93973017716278,32.27959526574417,1.0,2.0,3.0,47.69977342127683,0.6745759748207735,0.44186046511627924,2.9432879598049766,False,False,False,766,2026-05-28 15:30:00,34.92013491141861,stop_loss,-1.1363357678002408,-1.0,0.13633576780024073,385.7251261072264,19.28625630536132,-21.91566286674499,363.8094632404814
XAUUSD,2026-05-28 07:30:00,BUY,4389.54,4357.705424012059,4428.411021123024,4467.282042246048,4506.153063369072,1.2210315330648054,2.4420630661296108,3.663094599194416,45.66553340139137,0.5325651564265365,0.49404996453621514,1.0083612263545183,True,True,True,3234,2026-05-28 18:30:00,4506.153063369072,tp3,2.4370370843147247,2.4420630661296108,0.005025981814886031,363.8094632404814,18.190473162024073,44.330857677084396,408.1403209175658
US30,2026-05-29 15:30:00,SELL,34.24,34.83569410513149,33.644305894868516,33.04861178973703,32.452917684605545,1.0,2.0,3.0,46.574635241301884,0.652184648416532,0.395061728395061,3.155027595007847,True,False,False,818,2026-06-01 15:30:00,34.83569410513149,stop_loss,-0.4844175881962124,-0.3333333333333334,0.15108425486287896,408.1403209175658,20.407016045878294,-9.88551749522577,398.25480342234005
XAUUSD,2026-06-04 14:00:00,SELL,4493.99,4504.710683549911,4480.649147982742,4467.308295965484,4453.967443948226,1.2444031161957585,2.488806232391517,3.7332093485872755,59.19447395650454,0.5336456787299128,0.3661470479931202,2.2967961988878565,False,False,False,3720,2026-06-04 14:45:00,4504.710683549911,stop_loss,-1.0149244214937516,-1.0,0.01492442149375155,398.25480342234005,19.912740171117004,-20.209926298526316,378.0448771238137
XAUUSD,2026-06-04 15:30:00,BUY,4514.54,4483.485635416356,4559.998997388431,4605.457994776863,4650.916992165295,1.463852118628572,2.927704237257144,4.391556355885716,46.55416080768867,0.7937404191234237,0.5373635600335848,2.862405293813409,False,False,False,3726,2026-06-04 15:45:00,4495.91,flip_exit,-0.6050679269057233,-0.599915672073104,0.00515225483261922,378.0448771238137,18.902243856190687,-11.437141503931745,366.60773561988196
XAUUSD,2026-06-04 15:45:00,SELL,4495.91,4523.826692130179,4461.243191539271,4426.576383078543,4391.909574617814,1.2417949912931174,2.483589982586235,3.7253849738793523,52.48070052048094,0.510240456930966,0.28567664881004456,2.090656633817797,True,True,True,3727,2026-06-05 15:30:00,4391.909574617814,tp3,2.4778586445303543,2.483589982586235,0.0057313380558806125,366.60773561988196,18.3303867809941,45.42010734287117,412.02784296275314
XAUUSD,2026-06-09 07:30:00,BUY,4348.63,4326.334794234975,4374.877198432223,4401.124396864446,4427.371595296669,1.1772575103745742,2.3545150207491483,3.5317725311237225,40.475012875170364,0.6232424220909893,0.44271901552888027,1.6636472141238725,False,False,False,3970,2026-06-09 09:15:00,4326.334794234975,stop_loss,-1.007176430739697,-1.0,0.007176430739697069,412.02784296275314,20.60139214813766,-20.74923661203011,391.278606350723
