entry_mode,entry_cutoff_minute,stop_range_multiple,minimum_stop_points,reward_risk,trailing_mode,exit_minute,outcome_index,score,train_trades,train_pf,train_mean_r,validation_trades,validation_pf,validation_mean_r
opening_range_breakout,630,1.25,20.0,2.0,none,960,151,-0.28992788361680555,66,1.1948940753936768,0.09635738170508182,11,1.4841777086257935,0.19535199078646573
opening_range_breakout,630,1.25,20.0,2.0,be_1r,960,153,-0.28992788361680555,66,1.1444352865219116,0.06079144911332564,11,1.4841777086257935,0.19535199078646573
opening_range_breakout,630,1.25,40.0,2.0,be_1r,960,177,-0.2950998289158892,66,1.2253906726837158,0.08939483671477347,11,1.471743106842041,0.19033497030084784
opening_range_breakout,630,1.25,40.0,2.0,none,960,175,-0.2950998289158892,66,1.0973896980285645,0.04669457493406354,11,1.471743106842041,0.19033497030084784
opening_range_breakout,630,1.25,20.0,2.0,be_1r,840,152,-0.3370623710537271,66,1.181218147277832,0.0709633393721147,11,1.3510056734085083,0.14476620067249646
opening_range_breakout,630,1.25,20.0,2.0,none,840,150,-0.3370623710537271,66,1.1481009721755981,0.06612406354961974,11,1.3510056734085083,0.14476620067249646
opening_range_breakout,630,1.25,20.0,4.0,be_1r,960,165,-0.34188138445397825,66,1.1875524520874023,0.07893904050191243,11,1.9348117113113403,0.377170129255815
opening_range_breakout,630,1.25,40.0,2.0,be_1r,840,176,-0.34214891036860495,66,1.2415051460266113,0.08744676185376717,11,1.338841199874878,0.13974920186129483
opening_range_breakout,630,1.25,40.0,2.0,none,840,174,-0.34214891036860495,66,1.1596721410751343,0.06658000657052705,11,1.338841199874878,0.13974920186129483
opening_range_breakout,630,1.25,20.0,2.0,m15_1_5r,960,155,-0.34290211692056094,66,1.2355990409851074,0.10955122745398319,11,1.2386478185653687,0.09628766233270819
opening_range_breakout,630,1.25,20.0,1.5,none,960,145,-0.3444979782425512,66,1.2093708515167236,0.0971627596652869,11,1.1462020874023438,0.05898835442282937
opening_range_breakout,630,1.25,20.0,1.5,m15_1_5r,960,149,-0.3444979782425512,66,1.2093708515167236,0.0971627596652869,11,1.1462020874023438,0.05898835442282937
opening_range_breakout,630,1.25,20.0,1.5,be_1r,960,147,-0.3444979782425512,66,1.110264539718628,0.046409289042154946,11,1.1462020874023438,0.05898835442282937
opening_range_breakout,630,1.25,40.0,4.0,be_1r,960,189,-0.3472112768368683,66,1.2599916458129883,0.10311832572474625,11,1.922377109527588,0.3721531087701971
opening_range_breakout,630,1.25,40.0,2.0,m15_1_5r,960,179,-0.347904475111276,66,1.1723567247390747,0.07818237217989835,11,1.2262132167816162,0.09127064184709029
opening_range_breakout,630,1.25,40.0,1.5,be_1r,960,171,-0.3494228412845606,66,1.1080436706542969,0.04285247759385542,11,1.1337673664093018,0.05397134477441961
opening_range_breakout,630,1.25,40.0,1.5,none,960,169,-0.3494228412845606,66,1.0907347202301025,0.04115793921730735,11,1.1337673664093018,0.05397134477441961
opening_range_breakout,630,1.25,40.0,1.5,m15_1_5r,960,173,-0.3494228412845606,66,1.0907347202301025,0.04115793921730735,11,1.1337673664093018,0.05397134477441961
opening_range_breakout,630,1.0,20.0,2.0,m15_1_5r,960,107,-0.37252105210025355,66,1.260431170463562,0.13053226470947266,11,1.2820262908935547,0.13439759341153232
opening_range_breakout,630,1.0,20.0,2.0,none,960,103,-0.37252105210025355,66,1.225024938583374,0.11955856554435962,11,1.2820262908935547,0.13439759341153232
opening_range_breakout,630,1.25,20.0,3.0,be_1r,960,159,-0.37481233844709044,66,1.2504162788391113,0.10539783130992543,11,1.4841777086257935,0.19535201246088202
opening_range_breakout,690,1.25,20.0,2.0,none,960,247,-0.3785053391672509,81,1.0094811916351318,0.0047845825736905325,13,1.1086753606796265,0.0496677802159236
opening_range_breakout,690,1.25,20.0,2.0,be_1r,960,249,-0.3785053391672509,81,0.9725950360298157,-0.011849404853067281,13,1.1086753606796265,0.0496677802159236
opening_range_breakout,630,1.0,40.0,2.0,m15_1_5r,960,131,-0.37929200279335995,66,1.105825424194336,0.052791534048138244,11,1.2679095268249512,0.1276703097603538
opening_range_breakout,630,1.0,40.0,2.0,none,960,127,-0.37929200279335995,66,1.0811842679977417,0.04168969212156354,11,1.2679095268249512,0.1276703097603538
opening_range_breakout,630,1.25,40.0,3.0,be_1r,960,183,-0.3799612247718298,66,1.3287456035614014,0.1303875663063743,11,1.471743106842041,0.19033499197526413
