symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step
AUDUSD,45,1.1111111111111112,2025-12,2025-12-30,2025-12-31 00:45:00,2025-12-31 07:00:00,SELL,0.66953,0.67133,0.66753,0.66846,timeout,0.5444,0.05,9.0,107.0,0.66992,0.66953,1.8571,180.0,0.01,200.0,0.01
GBPUSD,45,1.1111111111111112,2025-12,2025-12-30,2025-12-31 00:45:00,2025-12-31 07:00:00,SELL,1.34606,1.34786,1.34406,1.34524,timeout,0.4,0.0556,10.0,82.0,1.34671,1.34606,1.7843,180.0,0.01,200.0,0.01
USDCAD,45,1.1111111111111112,2025-12,2025-12-30,2025-12-31 00:45:00,2025-12-31 07:00:00,BUY,1.36975,1.36795,1.37175,1.37071,timeout,0.45,0.0833,15.0,96.0,1.36975,1.36928,1.8177,126.83,0.01,200.0,0.01
AUDUSD,45,1.1111111111111112,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,BUY,0.6682,0.6664,0.6702,0.66918,timeout,0.4944,0.05,9.0,98.0,0.6682,0.66763,1.6871,180.0,0.01,200.0,0.01
EURUSD,45,1.1111111111111112,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,BUY,1.1753,1.1735,1.1773,1.17448,timeout,-0.5,0.0444,8.0,-82.0,1.1753,1.17495,1.0,180.0,0.01,200.0,0.01
GBPUSD,45,1.1111111111111112,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,BUY,1.3477,1.3459,1.3497,1.34675,timeout,-0.5833,0.0556,10.0,-95.0,1.3477,1.34711,0.8507,180.0,0.01,200.0,0.01
USDCAD,45,1.1111111111111112,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,SELL,1.37131,1.37311,1.36931,1.37091,timeout,0.1389,0.0833,15.0,40.0,1.37184,1.37131,1.2264,126.83,0.01,200.0,0.01
AUDUSD,45,1.1111111111111112,2026-01,2026-01-06,2026-01-07 00:45:00,2026-01-07 03:45:00,BUY,0.67371,0.67191,0.67571,0.67571,win,1.0611,0.05,9.0,200.0,0.67371,0.67168,7.25,180.0,0.01,200.0,0.01
GBPUSD,45,1.1111111111111112,2026-01,2026-01-06,2026-01-07 00:45:00,2026-01-07 07:00:00,BUY,1.35046,1.34866,1.35246,1.35112,timeout,0.3111,0.0556,10.0,66.0,1.35046,1.3497,1.9275,180.0,0.01,200.0,0.01
EURUSD,45,1.1111111111111112,2026-01,2026-01-06,2026-01-07 01:00:00,2026-01-07 07:00:00,BUY,1.16937,1.16757,1.17137,1.16942,timeout,-0.0167,0.0444,8.0,5.0,1.16937,1.16848,3.0614,180.0,0.01,200.0,0.01
USDCAD,45,1.1111111111111112,2026-01,2026-01-06,2026-01-07 01:15:00,2026-01-07 07:00:00,BUY,1.38242,1.38062,1.38442,1.38157,timeout,-0.5556,0.0833,15.0,-85.0,1.38242,1.38144,2.9761,126.83,0.01,200.0,0.01
EURUSD,45,1.1111111111111112,2026-01,2026-01-07,2026-01-08 00:45:00,2026-01-08 07:00:00,SELL,1.16755,1.16935,1.16555,1.1678,timeout,-0.1833,0.0444,8.0,-25.0,1.16777,1.16755,0.9904,180.0,0.01,200.0,0.01
AUDUSD,45,1.1111111111111112,2026-01,2026-01-07,2026-01-08 01:00:00,2026-01-08 05:00:00,BUY,0.67232,0.67052,0.67432,0.67052,loss,-1.05,0.05,9.0,-180.0,0.67232,0.67166,4.0526,180.0,0.01,200.0,0.01
GBPUSD,45,1.1111111111111112,2026-01,2026-01-07,2026-01-08 01:00:00,2026-01-08 07:00:00,BUY,1.34602,1.34422,1.34802,1.34521,timeout,-0.5056,0.0556,10.0,-81.0,1.34602,1.34556,1.5407,180.0,0.01,200.0,0.01
USDCAD,45,1.1111111111111112,2026-01,2026-01-07,2026-01-08 01:15:00,2026-01-08 07:00:00,BUY,1.38614,1.38434,1.38814,1.38734,timeout,0.5833,0.0833,15.0,120.0,1.38614,1.3857,1.2623,126.83,0.01,200.0,0.01
EURUSD,45,1.1111111111111112,2026-01,2026-01-08,2026-01-09 00:45:00,2026-01-09 07:00:00,SELL,1.16536,1.16716,1.16336,1.16448,timeout,0.4444,0.0444,8.0,88.0,1.16577,1.16536,1.3256,180.0,0.01,200.0,0.01
GBPUSD,45,1.1111111111111112,2026-01,2026-01-08,2026-01-09 00:45:00,2026-01-09 07:00:00,SELL,1.34313,1.34493,1.34113,1.34196,timeout,0.5944,0.0556,10.0,117.0,1.34366,1.34313,1.0785,180.0,0.01,200.0,0.01
USDCAD,45,1.1111111111111112,2026-01,2026-01-08,2026-01-09 00:45:00,2026-01-09 07:00:00,BUY,1.38686,1.38506,1.38886,1.38723,timeout,0.1222,0.0833,15.0,37.0,1.38686,1.38641,1.2257,126.83,0.01,200.0,0.01
AUDUSD,45,1.1111111111111112,2026-01,2026-01-08,2026-01-09 01:00:00,2026-01-09 07:00:00,SELL,0.66945,0.67125,0.66745,0.66863,timeout,0.4056,0.05,9.0,82.0,0.66993,0.66945,2.1889,180.0,0.01,200.0,0.01
