group;day;start_balance;end_balance;minimum_equity;daily_loss
0;2026.07.19;10000.0;10000.0;10000.0;0.0
1;2026.07.19;10000.0;10000.0;10000.0;0.0
2;2026.07.19;10000.0;10000.0;10000.0;0.0
0;2026.07.20;10000.0;10000.0;10000.0;0.0
1;2026.07.20;10000.0;10000.0;10000.0;0.0
2;2026.07.20;10000.0;10000.0;10000.0;0.0
0;2026.07.21;10000.0;10000.0;10000.0;0.0
1;2026.07.21;10000.0;10000.0;10000.0;0.0
2;2026.07.21;10000.0;10000.0;10000.0;0.0
0;2026.07.22;10000.0;10000.0;10000.0;0.0
1;2026.07.22;10000.0;10000.0;10000.0;0.0
2;2026.07.22;10000.0;10000.0;10000.0;0.0
0;2026.07.23;10000.0;10000.0;10000.0;0.0
1;2026.07.23;10000.0;10000.0;10000.0;0.0
2;2026.07.23;10000.0;10000.0;10000.0;0.0
0;2026.07.24;10000.0;10000.0;10000.0;0.0
1;2026.07.24;10000.0;10000.0;10000.0;0.0
2;2026.07.24;10000.0;10000.0;10000.0;0.0
0;2026.07.27;10000.0;10000.0;10000.0;0.0
1;2026.07.27;10000.0;10000.0;10000.0;0.0
2;2026.07.27;10000.0;10000.0;10000.0;0.0
0;2026.07.28;10000.0;10000.0;10000.0;0.0
1;2026.07.28;10000.0;10000.0;10000.0;0.0
2;2026.07.28;10000.0;10000.0;10000.0;0.0
0;2026.07.29;10000.0;10000.0;10000.0;0.0
1;2026.07.29;10000.0;10000.0;10000.0;0.0
2;2026.07.29;10000.0;10000.0;10000.0;0.0
0;2026.07.30;10000.0;10000.0;10000.0;0.0
1;2026.07.30;10000.0;10000.0;10000.0;0.0
2;2026.07.30;10000.0;10000.0;10000.0;0.0
0;2026.07.31;10000.0;10000.0;10000.0;0.0
1;2026.07.31;10000.0;10000.0;10000.0;0.0
2;2026.07.31;10000.0;10000.0;10000.0;0.0
0;2026.08.03;10000.0;10000.0;10000.0;0.0
1;2026.08.03;10000.0;10000.0;10000.0;0.0
2;2026.08.03;10000.0;10000.0;10000.0;0.0
0;2026.08.04;10000.0;10000.0;10000.0;0.0
1;2026.08.04;10000.0;10000.0;10000.0;0.0
2;2026.08.04;10000.0;10000.0;10000.0;0.0
0;2026.08.05;10000.0;10000.0;10000.0;0.0
1;2026.08.05;10000.0;10000.0;10000.0;0.0
2;2026.08.05;10000.0;10000.0;10000.0;0.0
0;2026.08.06;10000.0;10000.0;10000.0;0.0
1;2026.08.06;10000.0;10000.0;10000.0;0.0
2;2026.08.06;10000.0;10000.0;10000.0;0.0
0;2026.08.07;10000.0;10000.0;10000.0;0.0
1;2026.08.07;10000.0;10000.0;10000.0;0.0
2;2026.08.07;10000.0;10000.0;10000.0;0.0
0;2026.08.10;10000.0;10000.0;10000.0;0.0
1;2026.08.10;10000.0;10000.0;10000.0;0.0
2;2026.08.10;10000.0;10000.0;10000.0;0.0
0;2026.08.11;10000.0;10000.0;10000.0;0.0
1;2026.08.11;10000.0;10000.0;10000.0;0.0
2;2026.08.11;10000.0;10000.0;10000.0;0.0
0;2026.08.12;10000.0;9896.3;9896.3;103.70000000000073
1;2026.08.12;10000.0;10000.0;10000.0;0.0
2;2026.08.12;10000.0;10000.0;10000.0;0.0
0;2026.08.13;9896.3;9896.3;9896.3;0.0
1;2026.08.13;10000.0;10000.0;10000.0;0.0
2;2026.08.13;10000.0;10000.0;10000.0;0.0
0;2026.08.14;9896.3;9926.039999999999;9862.17;34.1299999999992
1;2026.08.14;10000.0;10000.0;10000.0;0.0
2;2026.08.14;10000.0;10000.0;10000.0;0.0
0;2026.08.17;9926.039999999999;9926.039999999999;9926.039999999999;0.0
1;2026.08.17;10000.0;10000.0;10000.0;0.0
2;2026.08.17;10000.0;10000.0;10000.0;0.0
0;2026.08.18;9926.039999999999;9926.039999999999;9926.039999999999;0.0
1;2026.08.18;10000.0;10000.0;10000.0;0.0
2;2026.08.18;10000.0;10000.0;10000.0;0.0
0;2026.08.19;9926.039999999999;9926.039999999999;9926.039999999999;0.0
1;2026.08.19;10000.0;10000.0;10000.0;0.0
2;2026.08.19;10000.0;10000.0;10000.0;0.0
0;2026.08.20;9926.039999999999;9926.039999999999;9926.039999999999;0.0
1;2026.08.20;10000.0;10000.0;10000.0;0.0
2;2026.08.20;10000.0;10000.0;10000.0;0.0
0;2026.08.21;9926.039999999999;9926.039999999999;9926.039999999999;0.0
1;2026.08.21;10000.0;10000.0;10000.0;0.0
2;2026.08.21;10000.0;10000.0;10000.0;0.0
0;2026.08.24;9926.039999999999;9926.039999999999;9926.039999999999;0.0
1;2026.08.24;10000.0;10000.0;10000.0;0.0
2;2026.08.24;10000.0;10000.0;10000.0;0.0
0;2026.08.25;9926.039999999999;9910.429999999998;9889.999999999998;36.04000000000087
1;2026.08.25;10000.0;10000.0;10000.0;0.0
2;2026.08.25;10000.0;10000.0;10000.0;0.0
0;2026.08.26;9910.429999999998;9910.429999999998;9910.429999999998;0.0
1;2026.08.26;10000.0;10000.0;10000.0;0.0
