group;ea;entry;exit;lots;net;balance
0;vp;2026.08.12 13:50:00;2026.08.12 16:47:17;0.05;-103.7;9896.3
0;xny;2026.08.14 15:00:00;2026.08.14 19:55:00;0.06;18.32;9914.14
0;uh1;2026.08.14 14:30:00;2026.08.14 20:00:00;0.78;11.42;9926.039999999999
0;uh1;2026.08.25 14:15:00;2026.08.25 20:00:00;0.56;-15.61;9910.429999999998
0;xov;2026.08.27 15:00:00;2026.08.27 15:22:58;0.09;-0.53;9909.899999999998
0;vp;2026.08.28 13:50:00;2026.08.28 13:59:58;0.09;-1.12;9908.779999999997
0;uh1;2026.09.01 14:30:00;2026.09.01 18:42:55;0.75;-99.76;9809.019999999997
0;usel;2026.09.02 14:20:00;2026.09.02 19:55:00;0.67;20.349999999999998;9828.849999999997
0;uh1;2026.09.02 14:15:00;2026.09.02 20:00:00;0.8300000000000001;51.15;9880.519999999997
0;vp;2026.09.03 15:00:00;2026.09.03 16:52:21;0.06;-1.31;9879.209999999997
0;vp;2026.09.04 14:15:00;2026.09.04 19:55:00;0.04;9.93;9889.139999999998
0;uny;2026.09.08 16:30:00;2026.09.08 19:55:00;0.8;48.11;9937.249999999998
0;xov;2026.09.11 14:30:00;2026.09.11 14:45:32;0.06;-0.8400000000000001;9936.189999999999
0;xny;2026.09.11 14:30:00;2026.09.11 15:33:44;0.04;-1.08;9935.329999999998
1;vp;2026.09.14 14:15:00;2026.09.14 14:23:31;0.07;-114.02;9885.980000000001
0;vp;2026.09.14 14:15:00;2026.09.14 14:23:42;0.07;-114.02;9821.31
1;xov;2026.09.14 15:00:00;2026.09.14 15:06:27;0.07;50.89;9936.870000000003
0;xov;2026.09.14 15:00:00;2026.09.14 15:12:28;0.07;-0.64;9820.67
1;xov;2026.09.15 14:30:00;2026.09.15 14:38:07;0.1;52.59;9988.920000000002
1;uh1;2026.09.15 14:15:00;2026.09.15 14:40:07;0.86;49.77;10039.230000000001
0;xov;2026.09.15 14:30:00;2026.09.15 15:06:37;0.1;-2.12;9818.02
0;uh1;2026.09.15 14:15:00;2026.09.15 20:00:00;0.85;78.74;9897.29
0;xov;2026.09.16 15:00:00;2026.09.16 15:29:16;0.11;-110.51;9786.78
1;xov;2026.09.16 15:00:00;2026.09.16 15:29:16;0.11;-110.51;9928.720000000001
0;vp;2026.09.17 14:10:00;2026.09.17 14:56:08;0.05;-113.88;9672.619999999999
0;vpc;2026.09.17 14:10:00;2026.09.17 14:56:08;0.05;-113.88;9559.019999999999
1;vp;2026.09.17 14:10:00;2026.09.17 14:56:08;0.05;-113.88;9814.56
1;vpc;2026.09.17 14:10:00;2026.09.17 14:56:08;0.05;-113.88;9700.96
1;xny;2026.09.17 15:00:00;2026.09.17 19:28:03;0.05;53.12;9754.079999999998
0;xny;2026.09.17 15:00:00;2026.09.17 19:55:00;0.05;32.83;9591.849999999999
0;uh1;2026.09.18 14:15:00;2026.09.18 18:54:09;0.74;-96.55999999999999;9495.289999999999
1;uh1;2026.09.18 14:15:00;2026.09.18 18:54:09;0.76;-99.18;9654.899999999998
