bot,symbol,timeframe,series_key,start_index,opened_at,direction,entry,base_stop,configured_rr,setup_score,atr,atr_percentile,session_metric,entry_model
LTA,US30,M15,LTA:US30:M15,2863,2025-12-30 00:45:00,SELL,48503.4,48536.86,6.0,92,24.399999999998336,0.5625,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,2869,2025-12-30 02:15:00,SELL,48500.8,48531.06821,6.0,93,17.121428571426804,0.22916666666666666,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,2875,2025-12-30 03:45:00,SELL,48510.8,48531.76,6.0,97,14.399999999998856,0.14583333333333334,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,3061,2026-01-02 04:15:00,SELL,48236.7,48250.98857,6.0,90,15.257142857140675,0.3645833333333333,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,3157,2026-01-05 05:15:00,BUY,48420.4,48374.14821,6.0,90,15.67857142856935,0.17708333333333334,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,3532,2026-01-09 07:00:00,SELL,49278.4,49310.80143,6.0,100,15.34285714285683,0.11458333333333333,,Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,3694,2026-01-13 01:30:00,BUY,49564.2,49541.12929,6.0,93,20.471428571428987,0.125,,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,3784,2026-01-14 01:00:00,SELL,49157.7,49206.44786,6.0,94,24.985714285713975,0.4479166666666667,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,4435,2026-01-23 06:45:00,SELL,49448.7,49483.04679,6.0,97,14.97857142857018,0.07291666666666667,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,4984,2026-02-02 06:00:00,SELL,48512.8,48587.73679,6.0,95,53.578571428570804,0.16666666666666666,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,5065,2026-02-03 03:15:00,BUY,49467.2,49428.965,6.0,100,22.899999999999896,0.5,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,5254,2026-02-05 04:30:00,BUY,49465.5,49394.84143,6.0,96,49.057142857142026,0.5520833333333334,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,5788,2026-02-13 00:00:00,BUY,49514.2,49432.23536,6.0,91,67.7642857142855,0.6770833333333334,,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,5800,2026-02-13 03:00:00,SELL,49488.7,49517.55857,6.0,96,39.05714285714151,0.5104166666666666,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,5980,2026-02-17 06:00:00,BUY,49375.7,49306.985,6.0,99,36.09999999999958,0.5729166666666666,,Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,6055,2026-02-18 01:45:00,BUY,49544.2,49493.31429,6.0,92,32.57142857142857,0.03125,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,6418,2026-02-24 00:30:00,BUY,48877.4,48843.42464,6.0,92,39.83571428571252,0.3958333333333333,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,6508,2026-02-25 00:00:00,SELL,49202.7,49233.46857,6.0,92,32.45714285714088,0.3020833333333333,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,6523,2026-02-25 03:45:00,BUY,49242.1,49120.235,6.0,97,31.100000000000623,0.3854166666666667,,Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,6706,2026-02-27 03:30:00,SELL,49262.1,49293.05786,6.0,100,30.38571428571387,0.4791666666666667,,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,6709,2026-02-27 04:15:00,SELL,49278.2,49291.99286,6.0,96,23.285714285715326,0.23958333333333334,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,6991,2026-03-04 05:45:00,SELL,48339.8,48420.10071,6.0,100,62.671428571427114,0.15625,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,7087,2026-03-05 06:45:00,BUY,48645.7,48493.43679,6.0,91,46.42142857142868,0.07291666666666667,,Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,8533,2026-03-26 23:15:00,BUY,46147.9,46055.87929,6.0,90,113.47142857142951,0.8854166666666666,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,8905,2026-04-02 00:15:00,SELL,46560.3,46624.59214,6.0,94,34.61428571428561,0.09375,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,8908,2026-04-02 01:00:00,SELL,46544.1,46723.60786,6.0,98,59.38571428571387,0.4270833333333333,,Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,8920,2026-04-02 04:00:00,SELL,46101.5,46213.35536,6.0,100,91.03571428571533,0.7291666666666666,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,8998,2026-04-03 00:30:00,SELL,46535.0,46583.41143,6.0,94,26.742857142857765,0.5,,Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,9628,2026-04-14 04:45:00,BUY,48251.8,48238.1325,6.0,93,14.449999999998129,0.5,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,10000,2026-04-20 05:45:00,BUY,49121.5,49086.83679,6.0,91,22.421428571428674,0.17708333333333334,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,10822,2026-05-01 04:15:00,BUY,49793.7,49775.95536,6.0,96,14.964285714285714,0.5,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,11098,2026-05-06 04:15:00,BUY,49457.2,49427.87536,6.0,100,22.164285714285402,0.15625,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,11542,2026-05-13 00:15:00,BUY,49780.5,49754.73143,6.0,90,24.457142857142962,0.13541666666666666,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,11632,2026-05-13 23:45:00,BUY,49850.7,49831.93179,6.0,97,29.121428571427323,0.3958333333333333,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,11743,2026-05-15 04:30:00,SELL,49965.7,50013.82393,6.0,100,35.49285714285725,0.375,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,12745,2026-06-01 06:00:00,SELL,51110.2,51129.33857,6.0,98,18.257142857141194,0.08333333333333333,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,12904,2026-06-02 23:45:00,BUY,51393.1,51261.84536,6.0,90,36.36428571428457,0.5520833333333334,,Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,13003,2026-06-04 01:30:00,BUY,50806.2,50769.49893,6.0,91,38.00714285714275,0.5,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M15,LTA:US30:M15,13018,2026-06-04 05:15:00,SELL,50763.8,50811.70893,6.0,100,27.392857142856105,0.22916666666666666,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M15,LTA:US30:M15,13198,2026-06-08 04:15:00,SELL,50847.1,50899.09107,6.0,97,56.607142857142335,0.4270833333333333,,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,13753,2026-06-16 05:00:00,BUY,51844.8,51785.77571,6.0,97,22.828571428570804,0.0625,,Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M15,LTA:US30:M15,14104,2026-06-22 04:45:00,BUY,51525.8,51510.11071,6.0,92,27.92857142857091,0.08333333333333333,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M30,LTA:US30:M30,1438,2025-12-30 03:00:00,BUY,48513.8,48491.57393,6.0,94,31.507142857142753,0.4375,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M30,LTA:US30:M30,2080,2026-01-20 06:00:00,SELL,48805.2,48981.33643,6.0,100,44.24285714285725,0.375,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M30,LTA:US30:M30,2437,2026-01-30 00:30:00,SELL,48933.2,49102.5175,6.0,92,123.45000000000073,0.84375,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M30,LTA:US30:M30,2581,2026-02-04 03:30:00,BUY,49337.7,49273.80286,6.0,93,57.3142857142853,0.2604166666666667,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M30,LTA:US30:M30,2632,2026-02-05 06:00:00,BUY,49460.3,49392.63321,6.0,95,63.77857142857153,0.4375,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M30,LTA:US30:M30,3121,2026-02-20 01:30:00,SELL,49463.7,49505.77036,6.0,92,67.13571428571439,0.4895833333333333,,Entry Model 2 - Internal Swing Confirmation
LTA,US30,M30,LTA:US30:M30,3499,2026-03-04 06:30:00,BUY,48344.4,48228.83393,6.0,96,103.10714285714182,0.2916666666666667,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M30,LTA:US30:M30,3865,2026-03-16 04:30:00,SELL,46770.2,46843.97107,6.0,99,91.80714285714046,0.3333333333333333,,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M30,LTA:US30:M30,4681,2026-04-09 06:00:00,SELL,47872.5,47922.11893,6.0,97,42.79285714285652,0.03125,,Entry Model 1 - Double Wick Confirmation
LTA,US30,M30,LTA:US30:M30,5089,2026-04-22 03:00:00,SELL,49417.7,49458.2425,6.0,94,76.94999999999969,0.5104166666666666,,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
LTA,US30,M30,LTA:US30:M30,5176,2026-04-24 00:30:00,SELL,49306.8,49373.63143,6.0,92,119.54285714285705,0.8229166666666666,,Entry Model 2 - Internal Swing Confirmation
