bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,setup_score,spread_r,spread_points,atr,reason,balance_before,risk_amount,pnl,balance_after
Trend,BTCUSD,H1,2025-06,2025-06-25 13:00:00,2025-06-25 15:00:00,BUY,107962.47,107201.595,110245.095,107201.595,loss,-1.0284,88,0.0284,2160.0,507.25,EMA trend aligned with ADX breakout.,300.0,15.0,-15.43,284.57
Trend,BTCUSD,H1,2025-07,2025-07-02 14:00:00,2025-07-02 17:00:00,BUY,108234.51,107558.643214,110262.110357,108910.376786,trail_stop,0.968,88,0.032,2160.0,450.577857,EMA trend aligned with ADX breakout.,284.57,14.23,13.77,298.35
Trend,BTCUSD,H1,2025-07,2025-07-06 21:00:00,2025-07-07 11:00:00,BUY,109225.55,108605.81,111084.77,108605.81,loss,-1.0349,88,0.0349,2160.0,413.16,EMA trend aligned with ADX breakout.,298.35,14.92,-15.44,282.91
Trend,BTCUSD,H1,2025-07,2025-07-08 13:00:00,2025-07-08 14:00:00,BUY,109064.48,108507.370357,110735.808929,108507.370357,loss,-1.0388,87,0.0388,2160.0,371.406429,EMA trend aligned with ADX breakout.,282.91,14.15,-14.69,268.22
Trend,BTCUSD,H1,2025-07,2025-07-09 19:00:00,2025-07-09 19:00:00,BUY,111729.44,110888.414643,114252.516071,110888.414643,loss,-1.0257,88,0.0257,2160.0,560.683571,EMA trend aligned with ADX breakout.,268.22,13.41,-13.76,254.46
Trend,BTCUSD,H1,2025-07,2025-07-10 16:00:00,2025-07-10 16:00:00,BUY,112617.07,112000.167143,114467.778571,112000.167143,loss,-1.035,87,0.035,2160.0,411.268571,EMA trend aligned with ADX breakout.,254.46,12.72,-13.17,241.29
Trend,BTCUSD,H1,2025-07,2025-07-10 17:00:00,2025-07-10 17:00:00,BUY,113651.76,112935.506786,115800.519643,112935.506786,loss,-1.0302,88,0.0302,2160.0,477.502143,EMA trend aligned with ADX breakout.,241.29,12.06,-12.43,228.86
Trend,BTCUSD,H1,2025-07,2025-07-10 21:00:00,2025-07-10 21:00:00,BUY,116408.87,115177.991429,120101.505714,115177.991429,loss,-1.0175,89,0.0175,2160.0,820.585714,EMA trend aligned with ADX breakout.,228.86,11.44,-11.64,217.22
Trend,BTCUSD,H1,2025-07,2025-07-13 12:00:00,2025-07-13 15:00:00,BUY,118372.76,117912.105714,119754.722857,118833.414286,trail_stop,0.9531,86,0.0469,2160.0,307.102857,EMA trend aligned with ADX breakout.,217.22,10.86,10.35,227.57
Trend,BTCUSD,H1,2025-07,2025-07-17 21:00:00,2025-07-18 08:00:00,BUY,120264.44,119021.492857,123993.281429,119021.492857,loss,-1.0174,89,0.0174,2160.0,828.631429,EMA trend aligned with ADX breakout.,227.57,11.38,-11.58,215.99
Trend,BTCUSD,H1,2025-07,2025-07-20 13:00:00,2025-07-20 17:00:00,BUY,118396.72,117924.120357,119814.518929,118396.72,trail_stop,0.4543,86,0.0457,2160.0,315.066429,EMA trend aligned with ADX breakout.,215.99,10.8,4.91,220.9
Trend,BTCUSD,H1,2025-07,2025-07-22 12:00:00,2025-07-22 13:00:00,BUY,119356.18,118208.748571,122798.474286,118208.748571,loss,-1.0188,89,0.0188,2160.0,764.954286,EMA trend aligned with ADX breakout.,220.9,11.05,-11.25,209.65
Trend,BTCUSD,H1,2025-07,2025-07-27 15:00:00,2025-07-27 17:00:00,BUY,118643.42,118259.236786,119795.969643,119027.603214,trail_stop,0.9438,85,0.0562,2160.0,256.122143,EMA trend aligned with ADX breakout.,209.65,10.48,9.89,219.54
