policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,168,4,66,98,0,2.38,43.0,0.256,1.65,5.6
dynamic_balanced,168,8,65,94,1,4.76,41.92,0.25,1.64,4.31
dynamic_capped,168,7,68,93,0,4.17,36.0,0.214,1.53,4.31
dynamic_conservative,168,27,66,75,0,16.07,42.0,0.25,1.64,2.88
dynamic_score,168,7,65,95,1,4.17,41.42,0.247,1.64,5.04
fixed_current,168,19,65,84,0,11.31,57.5,0.342,1.88,4.89
