policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,opened_dt,closed_dt,day,q_score,q_rr,q_tf,q_range
fixed_current,LTA,USDCAD,M30,2026-05,2026-05-19 00:00:00,2026-05-19 05:30:00,BUY,1.37408,1.37348,6.0,1.37468,trail_stop,1.0,92,0.000466,0.0625,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-05-19 00:00:00,2026-05-19 05:30:00,2026-05-19,92.0,6.0,30,0.0
fixed_current,LTA,GBPJPY,M15,2026-05,2026-05-19 00:45:00,2026-05-19 05:30:00,SELL,213.375,213.48219,6.0,213.16062,trail_stop,1.5,94,0.074571,0.5,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-05-19 00:45:00,2026-05-19 05:30:00,2026-05-19,94.0,6.0,20,0.0
fixed_current,ORB,AUDUSD,M15,2026-05,2026-05-19 23:15:00,2026-05-19 23:45:00,BUY,0.71082,0.7107,6.0,0.71106,trail_stop,1.5,100,0.00021,0.5,0.5714,structure,static,ORB 15m breakout,2026-05-19 23:15:00,2026-05-19 23:45:00,2026-05-19,100.0,6.0,20,82.856
fixed_current,ORB,USDCHF,M15,2026-05,2026-05-19 23:15:00,2026-05-19 23:45:00,SELL,0.78875,0.78889,3.0,0.78861,trail_stop,1.0,100,0.000176,0.5,0.7967,structure,static,ORB 15m breakout,2026-05-19 23:15:00,2026-05-19 23:45:00,2026-05-19,100.0,3.0,20,91.868
fixed_current,ORB,GBPUSD,M15,2026-05,2026-05-19 23:15:00,2026-05-19 23:45:00,BUY,1.33992,1.33963,3.0,1.33992,trail_stop,0.5,100,0.000391,0.5,0.7422,structure,static,ORB 15m breakout,2026-05-19 23:15:00,2026-05-19 23:45:00,2026-05-19,100.0,3.0,20,89.688
fixed_current,LTA,USDCAD,M30,2026-05,2026-05-20 00:00:00,2026-05-20 11:30:00,BUY,1.37535,1.3741,6.0,1.37535,trail_stop,0.5,93,0.000447,0.1042,,structure,static,Entry Model 3 - Confirmation of Internal Structure,2026-05-20 00:00:00,2026-05-20 11:30:00,2026-05-20,93.0,6.0,30,0.0
fixed_current,LTA,AUDUSD,M15,2026-05,2026-05-20 00:00:00,2026-05-20 08:30:00,SELL,0.70968,0.71129,6.0,0.71129,loss,-1.0,90,0.000246,0.0729,,structure,static,Entry Model 3 - Confirmation of Internal Structure,2026-05-20 00:00:00,2026-05-20 08:30:00,2026-05-20,90.0,6.0,20,0.0
fixed_current,ORB,AUDUSD,M15,2026-05,2026-05-20 23:15:00,2026-05-20 23:45:00,SELL,0.71501,0.71521,6.0,0.71521,loss,-1.0,100,0.000263,0.0312,0.7609,structure,static,ORB 15m breakout,2026-05-20 23:15:00,2026-05-20 23:45:00,2026-05-20,100.0,6.0,20,90.436
fixed_current,ORB,USDCHF,M15,2026-05,2026-05-20 23:15:00,2026-05-20 23:45:00,BUY,0.78694,0.78679,3.0,0.78709,trail_stop,1.0,100,0.0002,0.0312,0.75,structure,static,ORB 15m breakout,2026-05-20 23:15:00,2026-05-20 23:45:00,2026-05-20,100.0,3.0,20,90.0
fixed_current,ORB,GBPUSD,M15,2026-05,2026-05-20 23:15:00,2026-05-20 23:45:00,SELL,1.34359,1.34382,3.0,1.34359,trail_stop,0.5,100,0.000401,0.5,0.574,structure,static,ORB 15m breakout,2026-05-20 23:15:00,2026-05-20 23:45:00,2026-05-20,100.0,3.0,20,82.96
fixed_current,LTA,AUDUSD,M15,2026-05,2026-05-21 01:30:00,2026-05-21 08:15:00,SELL,0.71346,0.71571,6.0,0.71346,trail_stop,0.5,94,0.000454,0.25,,structure,static,Entry Model 3 - Confirmation of Internal Structure,2026-05-21 01:30:00,2026-05-21 08:15:00,2026-05-21,94.0,6.0,20,0.0
fixed_current,LTA,USDCAD,M15,2026-05,2026-05-21 05:15:00,2026-05-21 06:15:00,BUY,1.37656,1.376,6.0,1.376,loss,-1.0,100,0.00028,0.1354,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-05-21 05:15:00,2026-05-21 06:15:00,2026-05-21,100.0,6.0,20,0.0
fixed_current,ORB,USDCAD,M15,2026-05,2026-05-21 23:15:00,2026-05-22 00:30:00,BUY,1.37765,1.37741,6.0,1.37837,trail_stop,2.0,100,0.000245,0.0208,0.9796,structure,static,ORB 15m breakout,2026-05-21 23:15:00,2026-05-22 00:30:00,2026-05-21,100.0,6.0,20,99.184
fixed_current,ORB,AUDUSD,M15,2026-05,2026-05-21 23:15:00,2026-05-21 23:30:00,SELL,0.715,0.71516,6.0,0.715,trail_stop,0.5,100,0.000303,0.0208,0.5283,structure,static,ORB 15m breakout,2026-05-21 23:15:00,2026-05-21 23:30:00,2026-05-21,100.0,6.0,20,81.132
fixed_current,ORB,NZDUSD,M15,2026-05,2026-05-21 23:15:00,2026-05-22 01:15:00,SELL,0.5876,0.5879,3.0,0.5873,trail_stop,1.0,100,0.000322,0.0729,0.9313,structure,static,ORB 15m breakout,2026-05-21 23:15:00,2026-05-22 01:15:00,2026-05-21,100.0,3.0,20,97.252
fixed_current,LTA,USDCAD,M15,2026-05,2026-05-22 00:45:00,2026-05-22 01:00:00,SELL,1.3783,1.37879,6.0,1.37879,loss,-1.0,92,0.000276,0.2188,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-05-22 00:45:00,2026-05-22 01:00:00,2026-05-22,92.0,6.0,20,0.0
fixed_current,LTA,USDCAD,M15,2026-05,2026-05-22 05:15:00,2026-05-22 05:45:00,BUY,1.37892,1.37868,6.0,1.37868,loss,-1.0,100,0.000243,0.0417,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-05-22 05:15:00,2026-05-22 05:45:00,2026-05-22,100.0,6.0,20,0.0
fixed_current,LTA,USDCAD,M15,2026-05,2026-05-22 06:00:00,2026-05-22 13:00:00,BUY,1.37927,1.3783,6.0,1.37927,trail_stop,0.5,100,0.000307,0.3125,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-05-22 06:00:00,2026-05-22 13:00:00,2026-05-22,100.0,6.0,20,0.0
fixed_current,Sniper,BTCUSD,H4,2026-05,2026-05-22 12:00:00,2026-05-23 07:50:00,SELL,77347.59,78383.39,3.0,74240.18,win,2.0,100,690.54,0.5,,sniper ATR,TP3,Sniper,2026-05-22 12:00:00,2026-05-23 07:50:00,2026-05-22,100.0,3.0,50,0.0
fixed_current,ORB,NZDUSD,M15,2026-05,2026-05-24 23:15:00,2026-05-25 00:15:00,SELL,0.58768,0.58795,3.0,0.58741,trail_stop,1.0,100,0.000359,0.5833,0.7515,structure,static,ORB 15m breakout,2026-05-24 23:15:00,2026-05-25 00:15:00,2026-05-24,100.0,3.0,20,90.06
fixed_current,ORB,GBPUSD,M15,2026-05,2026-05-24 23:15:00,2026-05-25 00:45:00,SELL,1.34836,1.34879,3.0,1.34836,trail_stop,0.5,100,0.00071,0.6667,0.6056,structure,static,ORB 15m breakout,2026-05-24 23:15:00,2026-05-25 00:45:00,2026-05-24,100.0,3.0,20,84.224
fixed_current,ORB,USDCAD,M15,2026-05,2026-05-24 23:15:00,2026-05-24 23:30:00,SELL,1.37987,1.38013,6.0,1.38013,loss,-1.0,95,0.000581,0.8229,0.4477,structure,static,ORB 15m breakout,2026-05-24 23:15:00,2026-05-24 23:30:00,2026-05-24,95.0,6.0,20,77.908
fixed_current,LTA,USDCAD,M15,2026-05,2026-05-25 00:00:00,2026-05-25 01:15:00,BUY,1.38043,1.37969,6.0,1.37969,loss,-1.0,92,0.000555,0.8229,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-05-25 00:00:00,2026-05-25 01:15:00,2026-05-25,92.0,6.0,20,0.0
fixed_current,LTA,GBPJPY,M30,2026-05,2026-05-25 04:30:00,2026-05-25 21:00:00,BUY,214.179,214.02405,6.0,214.4889,trail_stop,1.5,95,0.113,0.2812,,structure,static,Entry Model 1 - Double Wick Confirmation,2026-05-25 04:30:00,2026-05-25 21:00:00,2026-05-25,95.0,6.0,30,0.0
