starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,bot
300.0,309.04,9.04,3.01,1,1,0,100.0,0.6,0.1515,0.0,NewsPulse
300.0,289.75,-10.25,-3.42,78,47,31,60.26,1.24,0.1392,33.17,Grid
