starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,month,bot
300.0,301.08,1.08,0.36,2,1,1,50.0,0.14,0.128,5.65,2025-06,Grid
300.0,297.18,-2.82,-0.94,10,6,4,60.0,0.06,0.1441,9.98,2025-07,Grid
300.0,254.93,-45.07,-15.02,4,1,3,25.0,-3.15,0.1621,16.41,2025-08,Grid
300.0,331.56,31.56,10.52,10,7,3,70.0,2.25,0.1454,9.84,2025-09,Grid
300.0,302.69,2.69,0.9,5,3,2,60.0,0.32,0.1569,9.69,2025-10,Grid
300.0,263.77,-36.23,-12.08,6,3,3,50.0,-2.46,0.16,12.08,2025-11,Grid
300.0,282.8,-17.2,-5.73,1,0,1,0.0,-1.15,0.1465,5.73,2025-12,Grid
300.0,289.18,-10.82,-3.61,2,1,1,50.0,-0.7,0.0998,5.47,2026-01,Grid
300.0,326.53,26.53,8.84,5,4,1,80.0,1.79,0.1221,5.56,2026-02,Grid
300.0,303.65,3.65,1.22,12,7,5,58.33,0.56,0.1114,15.92,2026-03,Grid
300.0,338.58,38.58,12.86,8,6,2,75.0,2.61,0.1364,9.26,2026-04,Grid
300.0,289.38,-10.62,-3.54,7,4,3,57.14,-0.55,0.1642,11.14,2026-05,Grid
300.0,321.0,21.0,7.0,6,4,2,66.67,1.52,0.1299,11.15,2026-06,Grid
300.0,309.04,9.04,3.01,1,1,0,100.0,0.6,0.1515,0.0,2026-06,NewsPulse
