model,timeframe_minutes,lookback_days,regime_mode,shift_lag_days,shift_threshold_atr,entry_tolerance_atr,retest_expiry_bars,stop_buffer_atr,reward_risk,minimum_reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
breakout_retest,240,80,balanced_value,5,0.5,0.1,6,0.1,3.0,0.0,72,0,22,13,9,59.09090909090909,3.671249740729898,22.100746613961906,1.004579391543723,24.184170728996655,3.222781212355709,12418.417072899665,13,6,7,46.15384615384615,2.323464481775095,9.474766348459942,0.7288281806507648,9.642502971417578,4.138205192837642,10964.250297141758,77.54536045001795
failed_auction,240,80,balanced_value,5,0.25,0.1,0,0.1,0.0,1.0,336,1,13,6,7,46.15384615384615,4.6949286586485295,22.343812004629182,1.7187547695868601,24.01763045589773,6.295840650732992,12401.763045589772,10,3,7,30.0,2.086018943191487,6.556565134346957,0.6556565134346957,6.407919639391557,4.148944950437163,10640.791963939157,69.59972831808841
failed_auction,240,80,balanced_value,10,0.25,0.0,0,0.1,0.0,1.0,336,1,13,5,8,38.46153846153846,3.506405077272113,15.168237253710142,1.1667874810546264,15.714247341955922,5.668746342879816,11571.424734195592,5,2,3,40.0,2.0679024225020632,3.2213534352648465,0.6442706870529693,3.1329300829498585,2.9297224177070156,10313.293008294986,68.40192471665108
failed_auction,240,80,balanced_value,10,0.25,0.0,0,0.1,0.0,1.0,336,0,12,5,7,41.666666666666664,4.4849261628708605,24.527477875730522,2.04395648964421,25.991707882108738,6.295359409225732,12599.170788210873,5,2,3,40.0,2.0679024225020632,3.2213534352648465,0.6442706870529693,3.1329300829498585,2.9297224177070156,10313.293008294986,68.36432793267034
failed_auction,240,80,balanced_value,5,0.25,0.1,0,0.0,0.0,1.5,336,1,13,6,7,46.15384615384615,5.253162141824965,25.744131863089102,1.9803178356222386,28.03792609363316,6.700388415877824,12803.792609363316,11,3,8,27.272727272727273,1.9523294230778392,6.739482350713368,0.6126802137012153,6.523315934787055,5.211899587356797,10652.331593478706,65.01914757630335
failed_auction,240,80,balanced_value,5,0.25,0.1,0,0.0,0.0,1.0,336,1,13,6,7,46.15384615384615,5.253162141824965,25.744131863089102,1.9803178356222386,28.03792609363316,6.700388415877824,12803.792609363316,11,3,8,27.272727272727273,1.9523294230778392,6.739482350713368,0.6126802137012153,6.523315934787055,5.211899587356797,10652.331593478706,65.01914757630335
breakout_retest,240,80,balanced_value,5,0.5,0.1,6,0.0,3.0,0.0,72,0,21,12,9,57.142857142857146,3.358315512264951,19.581950614747083,0.9324738387974801,21.136524442478088,3.7311020510502315,12113.65244424781,13,6,7,46.15384615384615,2.0392865213747324,7.518234599151173,0.578325738396244,7.5565222966954115,3.543403152780464,10755.652229669542,61.951186492272384
breakout_retest,240,80,balanced_value,5,0.5,0.1,3,0.1,3.0,0.0,72,0,19,10,9,52.63157894736842,2.991006605483885,16.500446778442587,0.8684445672864519,17.49669351722798,4.662956510302564,11749.669351722798,13,6,7,46.15384615384615,2.0326721698170167,7.392965703507333,0.5686896695005641,7.426229342317159,4.138205192837644,10742.622934231716,60.91843963203382
failed_auction,240,80,balanced_value,5,0.25,0.1,0,0.1,0.0,1.5,336,1,13,6,7,46.15384615384615,4.6949286586485295,22.343812004629182,1.7187547695868601,24.01763045589773,6.295840650732992,12401.763045589772,9,2,7,22.22222222222222,1.8444209231698163,5.097978095389531,0.5664420105988368,4.878180097790752,4.148944950437163,10487.818009779076,60.185550976478744
failed_auction,240,80,balanced_value,10,0.25,0.0,0,0.25,0.0,1.0,336,1,14,5,9,35.714285714285715,2.632316787861068,11.566836363736492,0.8262025974097494,11.755818107438177,5.877931119620377,11175.581810743817,5,2,3,40.0,1.9190309955498175,2.769812052564549,0.5539624105129098,2.685242853803649,2.856029736166828,10268.524285380365,59.0608031221362
