symbol,timeframe,variant,return_pct,profit_factor,win_rate_pct,equity_dd_pct,trades,sharpe,recovery_factor,history_quality,commission,swap,path
btcusd,h4,baseline,-4.655,0.45,31.25,5.21,16,-2.08,-0.89,100%,-1.93,-10.84,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\btcusd--h4--baseline--locked.htm
btcusd,h4,optimized,-6.546,0.28,37.5,6.97,16,-5.0,-0.94,100%,-5.34,-6.98,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\btcusd--h4--optimized--locked.htm
ethusd,h4,baseline,-2.1474,0.73,42.86,3.91,14,-0.55,-0.55,100%,-5.69,-8.95,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\ethusd--h4--baseline--locked.htm
ethusd,h4,optimized,-1.2919,0.68,50.0,3.28,8,-0.23,-0.39,100%,-2.29,-5.32,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\ethusd--h4--optimized--locked.htm
gbpjpy,m30,baseline,-1.331,0.97,50.55,7.3,91,-0.6,-0.17,100%,-218.36,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\gbpjpy--m30--baseline--locked.htm
gbpjpy,m30,optimized,-10.9658,0.64,40.38,11.9,52,-5.0,-0.92,100%,-129.51,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\gbpjpy--m30--optimized--locked.htm
us30,h4,baseline,1.8986000000000003,1187.62,100.0,0.92,2,0.12,2.02,100%,-0.16,-1.45,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\us30--h4--baseline--locked.htm
us30,h4,optimized,0.9661,440.14,100.0,0.2,2,0.06,4.71,100%,-0.22,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\us30--h4--optimized--locked.htm
ustec,h4,baseline,1.8938,729.38,100.0,1.45,2,0.24,1.29,100%,-0.26,-2.3899999999999997,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\ustec--h4--baseline--locked.htm
ustec,h4,optimized,1.8011000000000004,2.77,50.0,1.71,2,0.1,1.01,100%,-0.18,-8.15,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\ustec--h4--optimized--locked.htm
xagusd,h4,baseline,3.9330999999999996,1.73,62.5,13.27,8,0.11,0.28,99%,-3.84,-13.95,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\xagusd--h4--baseline--locked.htm
xagusd,h4,optimized,0.00030000000000000003,1.0,75.0,13.35,4,0.0,0.0,99%,-1.92,-16.349999999999998,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\xagusd--h4--optimized--locked.htm
xauusd,h1,baseline,0.2077,1.01,53.33,7.16,45,0.1,0.03,99%,-4.61,-27.05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\xauusd--h1--baseline--locked.htm
xauusd,h1,optimized,4.5835,1.48,72.73,3.53,44,3.47,1.25,99%,-5.09,-10.600000000000001,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\RSI VWAP Research 2026-09-02\Backtest Reports\Locked Last Year Every Tick 2025-2026\xauusd--h1--optimized--locked.htm
