period,symbol,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,history_quality
5y,XAUUSD,3.8514,1.79,57.5,2.68,40,3.74,1.37,98%
5y,XAGUSD,2.3983,1.41,45.0,4.83,40,1.45,0.47,98%
5y,BTCUSD,2.0596,2.02,57.5,0.85,40,6.96,2.37,100%
5y,USTEC,0.9863999999999999,1.2,42.5,1.33,40,2.11,0.73,98%
3y,XAUUSD,3.4770999999999996,2.12,66.67,2.69,24,4.14,1.24,98%
3y,XAGUSD,2.6675999999999997,1.63,54.17,4.82,24,1.92,0.53,98%
3y,BTCUSD,1.1775,1.99,58.33,0.86,24,5.76,1.36,100%
3y,USTEC,0.8500000000000001,1.34,41.67,1.01,24,2.69,0.83,98%
1y,XAUUSD,3.0080000000000005,2.38,50.0,2.7,8,0.79,1.07,99%
1y,XAGUSD,2.0206,1.67,37.5,4.85,8,0.31,0.4,99%
1y,BTCUSD,0.7876000000000001,3.52,50.0,0.36,8,1.34,2.13,100%
1y,USTEC,-0.3320000000000001,0.7,37.5,0.99,8,-0.39,-0.33,100%
