period,symbol,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,history_quality
5y,EURUSD,0.6378,1.1,55.0,1.97,40,1.18,0.32,100%
5y,GBPUSD,3.1623000000000006,1.5,57.5,1.96,40,5.08,1.53,100%
5y,AUDUSD,1.2176,1.28,52.5,1.59,40,3.03,0.74,100%
5y,NZDUSD,-0.055,0.99,47.5,1.53,40,-0.14,-0.04,100%
5y,USDJPY,-1.8419999999999999,0.72,42.5,2.55,40,-3.98,-0.72,100%
5y,USDCHF,-0.4943,0.93,55.0,2.33,40,-0.77,-0.21,100%
5y,USDCAD,-1.7897999999999996,0.71,45.0,2.68,40,-3.79,-0.66,100%
3y,EURUSD,-0.10269999999999999,0.97,50.0,1.89,24,-0.31,-0.05,100%
3y,GBPUSD,0.5387,1.13,58.33,1.99,24,1.48,0.26,100%
3y,AUDUSD,0.3135,1.12,50.0,1.61,24,1.16,0.19,100%
3y,NZDUSD,-0.0919,0.97,41.67,1.53,24,-0.36,-0.06,100%
3y,USDJPY,-0.9772,0.75,45.83,2.53,24,-3.38,-0.38,100%
3y,USDCHF,-0.6735,0.85,54.17,2.34,24,-1.57,-0.28,100%
3y,USDCAD,-1.6934,0.61,37.5,1.92,24,-5.0,-0.88,100%
1y,EURUSD,-1.4159,0.35,50.0,1.92,8,-1.54,-0.73,100%
1y,GBPUSD,-1.5735,0.37,50.0,2.1,8,-1.63,-0.75,100%
1y,AUDUSD,-1.0588,0.36,50.0,1.63,8,-1.23,-0.65,100%
1y,NZDUSD,-0.8990999999999999,0.47,50.0,1.54,8,-1.15,-0.58,100%
1y,USDJPY,-2.0305,0.34,37.5,2.55,8,-1.94,-0.79,100%
1y,USDCHF,-1.9086000000000003,0.29,50.0,2.43,8,-1.92,-0.78,100%
1y,USDCAD,-1.3085,0.3,37.5,1.92,8,-1.27,-0.68,100%
