event,release_utc,direction,anchor_bid,anchor_ask,anchor_mid,end_mid,net_move,fakeout_usd,correct_move_usd,correct_extreme_utc,bars,data_source,minimum_observed_safe_offset_usd,correct_move_reached_case_safe_offset
CPI,2021-08-11T12:30:00+00:00,UP,1735.945,1736.442,1736.1935,1744.8215,8.628,0.367,11.27,2021-08-11T12:49:00+00:00,30,archived bid/ask M1,0.5,True
PPI,2021-08-12T12:30:00+00:00,UP,1747.393,1747.731,1747.562,1749.427,1.865,3.545,2.433,2021-08-12T12:49:00+00:00,30,archived bid/ask M1,4.0,False
NFP,2021-09-03T12:30:00+00:00,UP,1814.198,1814.793,1814.4955,1823.535,9.0395,0.523,15.029,2021-09-03T12:33:00+00:00,30,archived bid/ask M1,1.0,True
PPI,2021-09-10T12:30:00+00:00,DOWN,1797.964,1798.326,1798.145,1793.5935,-4.5515,2.466,5.446,2021-09-10T12:48:00+00:00,30,archived bid/ask M1,2.5,True
CPI,2021-09-14T12:30:00+00:00,UP,1784.117,1784.455,1784.286,1797.223,12.937,3.832,14.847,2021-09-14T12:57:00+00:00,30,archived bid/ask M1,4.0,True
FOMC,2021-09-22T18:00:00+00:00,UP,1776.016,1776.354,1776.185,1784.273,8.088,7.702,11.172,2021-09-22T18:16:00+00:00,30,archived bid/ask M1,8.0,True
NFP,2021-10-08T12:30:00+00:00,UP,1761.725,1762.162,1761.9435,1775.8935,13.95,0.0,14.9,2021-10-08T12:42:00+00:00,30,archived bid/ask M1,0.5,True
CPI,2021-10-13T12:30:00+00:00,DOWN,1775.228,1775.617,1775.4225,1761.697,-13.7255,2.255,17.107,2021-10-13T12:40:00+00:00,30,archived bid/ask M1,2.5,True
PPI,2021-10-14T12:30:00+00:00,UP,1796.568,1796.972,1796.77,1799.138,2.368,0.664,2.844,2021-10-14T12:44:00+00:00,30,archived bid/ask M1,1.0,True
GDP,2021-10-28T12:30:00+00:00,DOWN,1805.138,1805.592,1805.365,1799.155,-6.21,0.0,8.04,2021-10-28T12:47:00+00:00,30,archived bid/ask M1,0.5,True
FOMC,2021-11-03T18:00:00+00:00,UP,1764.758,1765.442,1765.1,1765.217,0.117,3.525,5.29,2021-11-03T18:00:00+00:00,30,archived bid/ask M1,4.0,True
NFP,2021-11-05T12:30:00+00:00,DOWN,1792.438,1792.686,1792.562,1791.073,-1.489,1.826,7.544,2021-11-05T12:32:00+00:00,30,archived bid/ask M1,2.0,True
PPI,2021-11-09T13:30:00+00:00,UP,1826.663,1827.062,1826.8625,1829.915,3.0525,2.245,3.336,2021-11-09T13:57:00+00:00,30,archived bid/ask M1,2.5,True
CPI,2021-11-10T13:30:00+00:00,UP,1826.158,1826.613,1826.3855,1849.795,23.4095,3.99,25.357,2021-11-10T13:44:00+00:00,30,archived bid/ask M1,4.0,True
