symbol,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,selection_score,history_quality,commission,swap,path
btcusd,r192-f618,-12.886199999999997,0.78,36.0,19.06,100,-5.0,-0.67,-36.05323631158198,100%,-236.89,-40.51,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\btcusd--r192-f618--screen.htm
btcusd,r96-f500,-12.7403,0.94,40.3,30.75,397,-1.79,-0.39,-41.09930484461705,100%,-1163.87,-54.96,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\btcusd--r96-f500--screen.htm
btcusd,r96-f705,-12.576500000000001,0.89,38.94,31.08,208,-3.33,-0.39,-43.02690579507142,100%,-491.58,-73.24,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\btcusd--r96-f705--screen.htm
btcusd,r96-f618,-32.0139,0.78,36.48,40.46,307,-5.0,-0.79,-73.412936311582,100%,-696.5,-173.99,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\btcusd--r96-f618--screen.htm
btcusd,r96-f382,-47.1405,0.78,36.23,54.58,483,-5.0,-0.84,-100.559036311582,100%,-1060.08,-45.99,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\btcusd--r96-f382--screen.htm
btcusd,r64-f618,-54.3049,0.75,35.88,60.86,549,-5.0,-0.89,-113.54958486942138,100%,-1221.95,-86.16,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\btcusd--r64-f618--screen.htm
btcusd,r32-f618,-72.0784,0.75,36.47,77.04,1020,-5.0,-0.93,-145.0900848694214,100%,-1587.01,-73.07,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\btcusd--r32-f618--screen.htm
gbpjpy,r192-f618,-8.5428,0.85,38.04,14.29,92,-4.67,-0.6,-26.3520271539733,100%,-441.68,-24.53,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\gbpjpy--r192-f618--screen.htm
gbpjpy,r96-f705,-24.006100000000004,0.73,34.53,26.77,139,-5.0,-0.86,-54.58812893807641,100%,-578.68,-20.24,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\gbpjpy--r96-f705--screen.htm
gbpjpy,r96-f618,-24.3189,0.8,36.36,31.59,198,-5.0,-0.7,-57.84312261577051,100%,-887.49,-2.1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\gbpjpy--r96-f618--screen.htm
gbpjpy,r96-f500,-35.4662,0.75,35.29,39.76,255,-5.0,-0.89,-76.77588486942136,100%,-1039.19,-81.01,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\gbpjpy--r96-f500--screen.htm
gbpjpy,r64-f618,-46.376400000000004,0.72,34.97,49.64,346,-5.0,-0.93,-96.58794880366445,100%,-1246.37,-71.86,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\gbpjpy--r64-f618--screen.htm
gbpjpy,r32-f618,-55.1121,0.82,37.02,58.89,605,-5.0,-0.86,-111.60101126468605,100%,-2287.34,-27.52,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\gbpjpy--r32-f618--screen.htm
gbpjpy,r96-f382,-59.523900000000005,0.61,31.15,62.58,321,-5.0,-0.93,-122.72395586177737,100%,-1015.43,-24.12,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\gbpjpy--r96-f382--screen.htm
us30,r192-f618,-2.2790999999999997,0.95,40.91,10.52,66,-1.54,-0.2,-13.061619532650607,98%,-83.87,-158.29,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\us30--r192-f618--screen.htm
us30,r96-f705,-6.6626,0.91,39.83,17.35,118,-2.22,-0.35,-24.329328153654895,98%,-171.33,-212.01,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\us30--r96-f705--screen.htm
us30,r96-f618,-30.2774,0.7,34.59,37.92,185,-5.0,-0.78,-70.81249932726479,98%,-224.06,-422.36,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\us30--r96-f618--screen.htm
us30,r64-f618,-37.355199999999996,0.79,36.07,38.6,341,-5.0,-0.95,-77.07636800225283,98%,-388.25,-338.69,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\screen\us30--r64-f618--screen.htm
