symbol,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,selection_score,history_quality,commission,swap,path
btcusd,rr500,15.806500000000002,1.26,28.92,13.07,83,2.35,1.1,9.617840651560641,100%,-137.06,-96.46,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\btcusd--rr500--rr.htm
btcusd,rr300,15.9909,1.29,34.52,12.8,84,3.52,1.2,9.386018278489527,100%,-132.04,-82.35,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\btcusd--rr300--rr.htm
btcusd,rr400,13.0667,1.22,30.12,12.19,83,2.26,1.0,8.25305396092038,100%,-134.23,-90.65,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\btcusd--rr400--rr.htm
btcusd,rr150,9.9469,1.21,45.98,10.68,87,4.2,0.9,2.124218995552182,100%,-138.06,-32.7,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\btcusd--rr150--rr.htm
btcusd,rr200,4.2822000000000005,1.08,37.21,11.55,86,1.48,0.37,1.124857813385156,100%,-130.45,-56.28,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\btcusd--rr200--rr.htm
btcusd,rr075,1.9825,1.05,59.57,9.38,94,1.61,0.21,-6.90320991648175,100%,-144.44,-8.13,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\btcusd--rr075--rr.htm
btcusd,rr100,-0.16600000000000004,1.0,51.14,11.83,88,-0.1,-0.01,-7.520808113485069,100%,-134.19,-31.87,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\btcusd--rr100--rr.htm
btcusd,rr050,-6.5344,0.81,63.27,12.08,98,-5.0,-0.54,-14.654336920168374,100%,-146.0,-3.98,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\btcusd--rr050--rr.htm
gbpjpy,rr300,33.2898,1.76,40.3,9.39,67,7.06,2.73,36.51281674568272,100%,-164.28,-150.42,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\gbpjpy--rr300--rr.htm
gbpjpy,rr500,31.1187,1.73,39.39,9.35,66,4.84,2.68,34.316656902116264,100%,-157.43,-160.33,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\gbpjpy--rr500--rr.htm
gbpjpy,rr400,30.842,1.73,39.39,9.38,66,5.18,2.7,34.29454690211625,100%,-155.8,-150.54,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\gbpjpy--rr400--rr.htm
gbpjpy,rr200,25.6006,1.65,47.06,7.06,68,7.69,2.95,32.408903454949865,100%,-161.37,-107.65,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\gbpjpy--rr200--rr.htm
gbpjpy,rr150,15.356199999999998,1.43,50.0,7.72,68,5.96,1.94,18.235293331261794,100%,-153.88,-68.85,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\gbpjpy--rr150--rr.htm
gbpjpy,rr100,4.7291,1.14,54.05,9.54,74,2.61,0.49,0.32143914887684977,100%,-152.71,-47.66,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\gbpjpy--rr100--rr.htm
gbpjpy,rr075,3.3326999999999996,1.11,59.74,7.27,77,2.31,0.45,0.29552018389091406,100%,-159.45,-47.65,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\gbpjpy--rr075--rr.htm
gbpjpy,rr050,1.9507,1.08,68.29,7.68,82,1.9,0.24,-1.0466380457506412,100%,-173.55,-22.96,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\gbpjpy--rr050--rr.htm
us30,rr150,6.5821000000000005,1.19,45.9,5.79,61,3.25,1.07,4.407016727672509,98%,-39.65,-151.12,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\rr\us30--rr150--rr.htm
