symbol,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,selection_score,history_quality,commission,swap,path
btcusd,newyork,18.4567,1.61,37.78,9.01,45,4.41,1.87,20.47501014795646,100%,-56.66,-98.46,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\btcusd--newyork--session.htm
btcusd,all,15.806500000000002,1.26,28.92,13.07,83,2.35,1.1,9.61784065156064,100%,-137.06,-96.46,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\btcusd--all--session.htm
btcusd,asia,7.1107000000000005,1.4,26.09,7.91,23,3.61,0.84,1.4763668394545553,100%,-44.93,-2.82,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\btcusd--asia--session.htm
btcusd,overlap,-1.2933000000000001,0.91,31.82,8.15,22,-0.7,-0.16,-16.233528153654895,100%,-26.45,-60.94,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\btcusd--overlap--session.htm
btcusd,london,-7.6668,0.0,0.0,8.99,8,-2.22,-0.84,-9992.0,100%,-11.21,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\btcusd--london--session.htm
gbpjpy,london,25.9621,4.16,68.18,3.46,22,15.23,6.07,47.37428089127806,100%,-50.78,-34.77,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\gbpjpy--london--session.htm
gbpjpy,all,33.7051,1.96,53.62,9.6,69,8.06,2.77,40.63493367890911,100%,-165.41,-105.64,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\gbpjpy--all--session.htm
gbpjpy,asia,12.7699,2.66,68.18,4.96,22,8.46,2.42,21.185813473523293,100%,-52.26,-4.34,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\gbpjpy--asia--session.htm
gbpjpy,newyork,-1.3386000000000002,0.92,36.67,9.24,30,-0.95,-0.14,-14.454679307268613,100%,-57.95,-50.56,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\gbpjpy--newyork--session.htm
gbpjpy,overlap,-4.3346,0.7,37.5,9.57,24,-3.88,-0.45,-25.416699327264787,100%,-43.65,-10.78,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\gbpjpy--overlap--session.htm
us30,london,5.9832,2.87,66.67,4.3,9,3.04,1.33,6.875444357258358,98%,-10.69,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\us30--london--session.htm
us30,all,6.585000000000001,1.19,45.9,5.79,61,3.25,1.07,6.562939685481257,98%,-39.65,-150.83,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\us30--all--session.htm
us30,newyork,0.7670999999999999,1.03,42.55,7.14,47,0.53,0.1,-4.514694373101467,98%,-22.78,-139.05,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\us30--newyork--session.htm
us30,overlap,-1.8581999999999999,0.87,39.13,6.39,23,-3.04,-0.29,-17.292344808002092,98%,-13.03,-22.54,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\us30--overlap--session.htm
us30,asia,1.9467999999999999,2.85,66.67,1.77,3,1.01,1.08,-9997.0,98%,-3.71,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\session\us30--asia--session.htm
