symbol,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,selection_score,history_quality,commission,swap,path
us30,signal,-2.2790999999999997,0.95,40.91,10.52,66,-1.54,-0.2,-13.061619532650607,98%,-83.87,-158.29,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\us30--signal--stop.htm
us30,atr100,-7.884400000000001,0.83,36.62,15.31,71,-5.0,-0.47,-27.048354938297923,98%,-88.99,-82.87,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\us30--atr100--stop.htm
ustec,atr200,-0.7503,0.99,42.61,13.68,176,-0.1,-0.05,-12.591404030242018,98%,-151.79,-387.76,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\ustec--atr200--stop.htm
ustec,swing3,-1.068,0.99,43.08,14.54,195,-0.15,-0.07,-13.684604030242017,98%,-283.55,-423.47,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\ustec--swing3--stop.htm
ustec,atr150,-2.7807,0.98,42.27,13.22,194,-0.45,-0.2,-14.667632487810234,98%,-233.75,-401.78,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\ustec--atr150--stop.htm
ustec,swing8,-5.0455,0.95,43.02,10.6,179,-0.71,-0.48,-15.371519532650607,98%,-196.83,-459.97,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\ustec--swing8--stop.htm
ustec,swing5,-5.837999999999999,0.94,42.02,13.1,188,-0.81,-0.44,-18.477004844617053,98%,-241.98,-424.85,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\ustec--swing5--stop.htm
ustec,signal,-6.643599999999999,0.94,40.38,14.4,208,-1.21,-0.46,-20.69460484461705,98%,-391.58,-304.24,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\ustec--signal--stop.htm
ustec,atr100,-10.8508,0.91,39.34,15.97,211,-2.34,-0.67,-27.546528153654897,98%,-361.0,-323.93,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\ustec--atr100--stop.htm
xagusd,atr100,4.9110000000000005,1.46,57.89,3.87,19,10.94,1.16,7.423737228642942,98%,-224.73,-2.87,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\POC Fibonacci Volume Profile Research 2026-09-04\Backtest Reports\stop\xagusd--atr100--stop.htm
