time,closed_bar,c1,c2,e20_1,e20_2,e50,e200,adx,plus,minus,e9_1,e9_2,e21_1,e21_2,rsi,prior20_high,prior20_low,tr,atr1,atr2,momentum,change,breakout,momentum_atr,change_atr,breakout_atr,breakout_atr_prev
2026.01.23 00:00:00,2026.01.22 23:00:00,4959.052,4936.3,4874.705746437403,4865.827193430814,4857.806326326228,4694.936478565003,44.81548145211047,38.35758191811241,6.319555770633066,4907.73841954869,4894.910024435862,4824.053428618571,4819.05348153037,77.79001860000267,4940.898,4715.312,29.876000000000204,23.207214285714365,22.020142857142957,0,0,0,20.580199999999973,23.207214285714365,20.580199999999973,20.257849999999923
2026.01.23 01:00:00,2026.01.23 00:00:00,4965.131,4959.052,4883.317675348127,4874.705746437403,4864.730498821311,4697.62498126585,47.54663927926497,37.42272521151298,5.71769331628706,4919.216935638952,4907.73841954869,4829.0919133107645,4824.053428618571,78.54016755213866,4960.669,4722.402,18.190999999999804,22.787500000000065,23.207214285714365,0,0,0,20.84794999999995,22.787500000000065,20.84794999999995,20.580199999999973
2026.01.23 02:00:00,2026.01.23 01:00:00,4953.704,4965.131,4890.021134838781,4883.317675348127,4870.470724703808,4700.173031203503,48.681971722816314,33.85865614374984,8.605957091200569,4926.114348511162,4919.216935638952,4833.5423449782365,4829.0919133107645,73.51381398758821,4965.861,4722.402,31.217000000000553,24.114428571428718,22.787500000000065,0,0,0,22.07559999999999,24.114428571428718,22.07559999999999,20.84794999999995
2026.01.23 03:00:00,2026.01.23 02:00:00,4955.816,4953.704,4896.287312473183,4890.021134838781,4875.9768714971115,4702.716742335807,49.70917726698181,30.634022225297475,7.786342130133848,4932.05467880893,4926.114348511162,4837.909261229014,4833.5423449782365,73.84695631855878,4967.635,4729.102,15.350000000000364,24.358642857142993,24.114428571428718,0,0,0,21.44740000000002,24.358642857142993,21.44740000000002,22.07559999999999
2026.01.23 04:00:00,2026.01.23 03:00:00,4952.087,4955.816,4901.601568428117,4896.287312473183,4880.887202368266,4705.198038431969,49.083007644353216,27.716496299078667,11.011436370104914,4936.061143047144,4932.05467880893,4841.987037613692,4837.909261229014,72.1220651364752,4967.635,4746.174,20.789999999999964,24.86578571428581,24.358642857142993,0,0,0,21.846400000000042,24.86578571428581,21.846400000000042,21.44740000000002
2026.01.23 05:00:00,2026.01.23 04:00:00,4956.363,4952.087,4906.816942863535,4901.601568428117,4885.756608667088,4707.697192278417,48.51647322387973,25.0768299848807,9.962728144380636,4940.121514437715,4936.061143047144,4846.071893413204,4841.987037613692,72.90363907061412,4967.635,4747.498,8.203999999999724,23.692785714285776,24.86578571428581,0,0,0,21.595499999999994,23.692785714285776,21.595499999999994,21.846400000000042
2026.01.23 06:00:00,2026.01.23 05:00:00,4960.704,4956.363,4911.949043543198,4906.816942863535,4890.591924236953,4710.214672952264,48.94012238582598,29.31439709067391,9.013896892534861,4944.238011550172,4940.121514437715,4850.165897219875,4846.071893413204,73.70947296962557,4967.635,4747.498,12.898999999999432,22.65707142857149,23.692785714285776,0,0,0,21.57759999999994,22.65707142857149,21.57759999999994,21.595499999999994
2026.01.23 07:00:00,2026.01.23 06:00:00,4953.788,4960.704,4915.933706062893,4911.949043543198,4894.669090415214,4712.638288146769,47.52496647240391,26.522549748704968,13.039435405822278,4946.148009240138,4944.238011550172,4853.86668660488,4850.165897219875,70.13102558127389,4967.635,4747.498,17.511000000000422,20.571142857142956,22.65707142857149,0,0,0,21.24979999999996,20.571142857142956,21.24979999999996,21.57759999999994
2026.01.23 08:00:00,2026.01.23 07:00:00,4944.493,4953.788,4918.653638818809,4915.933706062893,4897.883536194878,4714.94530020501,45.82158075902677,23.996592629780686,13.023926716853223,4945.817007392111,4946.148009240138,4857.103340654705,4853.86668660488,65.52667330972523,4967.635,4755.93,16.231000000000677,20.487000000000172,20.571142857142956,0,0,0,21.429350000000024,20.487000000000172,21.429350000000024,21.24979999999996
2026.01.23 09:00:00,2026.01.23 08:00:00,4913.86,4944.493,4918.197101788446,4918.653638818809,4898.914275795209,4716.924550949239,41.7437853231952,21.711202855515857,20.444537241379813,4939.425605913689,4945.817007392111,4859.1303642027515,4857.103340654705,53.14346818417754,4967.635,4755.93,46.26000000000022,21.174000000000202,20.487000000000172,0,0,0,23.145800000000012,21.174000000000202,23.145800000000012,21.429350000000024
