time,open,high,low,close,tick_volume,spread,real_volume
2023.06.07 00:00:00,1963.353,1965.102,1963.211,1964.85,2390,125,0
2023.06.07 01:00:00,1964.856,1966.761,1964.248,1964.893,4071,125,0
2023.06.07 02:00:00,1964.906,1965.49,1963.104,1964.559,3349,125,0
2023.06.07 03:00:00,1964.524,1964.567,1962.942,1963.388,2732,125,0
2023.06.07 04:00:00,1963.386,1964.536,1963.25,1964.526,1781,125,0
2023.06.07 05:00:00,1964.534,1965.026,1962.751,1963.188,3049,125,0
2023.06.07 06:00:00,1963.152,1964.044,1957.156,1957.564,4432,125,0
2023.06.07 07:00:00,1957.526,1957.895,1954.828,1956.145,4186,125,0
2023.06.07 08:00:00,1956.126,1961.624,1955.739,1961.593,3811,125,0
2023.06.07 09:00:00,1961.625,1964.569,1961.424,1964.454,3713,125,0
2023.06.07 10:00:00,1964.487,1966.416,1962.353,1962.674,3702,125,0
2023.06.07 11:00:00,1962.683,1965.214,1960.905,1961.292,3943,125,0
2023.06.07 12:00:00,1961.261,1961.296,1957.161,1958.563,5320,125,0
2023.06.07 13:00:00,1958.524,1970.16,1958.071,1969.548,7618,125,0
2023.06.07 14:00:00,1969.612,1969.665,1956.583,1957.713,11225,125,0
2023.06.07 15:00:00,1957.682,1958.716,1946.442,1947.155,7680,125,0
2023.06.07 16:00:00,1947.185,1947.69,1940.887,1942.156,6625,125,0
2023.06.07 17:00:00,1942.173,1946.581,1940.889,1944.493,4806,125,0
2023.06.07 18:00:00,1944.523,1944.838,1941.96,1942.708,3831,125,0
2023.06.07 19:00:00,1942.677,1943.164,1940.035,1940.115,3520,125,0
2023.06.07 20:00:00,1940.082,1941.577,1939.876,1939.997,1800,125,0
2023.06.07 22:00:00,1939.886,1943.501,1939.886,1942.289,2098,125,0
2023.06.07 23:00:00,1942.294,1945.315,1941.72,1944.474,1950,125,0
2023.06.08 00:00:00,1944.47,1946.299,1944.278,1946.209,2682,125,0
2023.06.08 01:00:00,1946.219,1946.667,1944.558,1945.857,3901,125,0
2023.06.08 02:00:00,1945.849,1947.024,1944.479,1946.301,3300,125,0
2023.06.08 03:00:00,1946.284,1947.074,1945.831,1946.302,2619,125,0
2023.06.08 04:00:00,1946.328,1947.275,1945.753,1946.58,2294,125,0
2023.06.08 05:00:00,1946.592,1947.783,1945.685,1945.92,3206,125,0
2023.06.08 06:00:00,1945.95,1947.205,1942.802,1944.79,4300,125,0
2023.06.08 07:00:00,1944.76,1948.307,1944.311,1947.305,4119,125,0
2023.06.08 08:00:00,1947.275,1949.091,1946.724,1948.35,3960,125,0
2023.06.08 09:00:00,1948.329,1948.658,1945.765,1946.389,3376,125,0
2023.06.08 10:00:00,1946.419,1947.911,1945.836,1946.644,3136,125,0
2023.06.08 11:00:00,1946.68,1947.837,1944.939,1946.619,3641,125,0
2023.06.08 12:00:00,1946.656,1959.999,1946.237,1959.328,9544,125,0
