time,closed_bar,c1,c2,e20_1,e20_2,e50,e200,adx,plus,minus,e9_1,e9_2,e21_1,e21_2,rsi,prior20_high,prior20_low,tr,atr1,atr2,momentum,change,breakout,momentum_atr,change_atr,breakout_atr,breakout_atr_prev
2019.01.02 00:00:00,2018.12.31 21:00:00,1282.562,1282.116,1280.958211540647,1280.7893917028205,1280.2816647937698,1265.7711414264463,26.54959488931659,25.48548410566921,12.355612417568011,1281.587424312825,1281.3437803910313,1278.1825041081206,1278.0203005565695,58.42953318685104,1284.052,1270.775,0.7539999999999054,2.126142857142818,2.1881428571428296,0,0,0,1.8303499999999908,2.126142857142818,1.8303499999999908,1.860650000000002
2019.01.02 01:00:00,2019.01.02 00:00:00,1280.073,1282.562,1280.8739056796328,1280.958211540647,1280.2682025490105,1265.9134484769295,24.96097349522588,23.058295143224527,18.915838414965368,1281.2845394502601,1281.587424312825,1278.250021818545,1278.1825041081206,48.565964115166814,1284.052,1270.775,2.6009999999998854,2.1646428571428005,2.126142857142818,0,0,0,1.9084499999999858,2.1646428571428005,1.9084499999999858,1.8303499999999908
2019.01.02 02:00:00,2019.01.02 01:00:00,1279.822,1280.073,1280.7737241863344,1280.8739056796328,1280.2394152877841,1266.0518420244227,23.45472183145401,20.862267034346,25.062212730649264,1280.9920315602083,1281.2845394502601,1278.306163896454,1278.250021818545,47.691630151140636,1284.052,1270.775,1.5349999999998545,2.1489285714284967,2.1646428571428005,0,0,0,1.9255999999999782,2.1489285714284967,1.9255999999999782,1.9084499999999858
2019.01.02 03:00:00,2019.01.02 02:00:00,1282.654,1279.822,1280.9527980733503,1280.7737241863344,1280.3951949466368,1266.21703762617,21.98548878589257,26.633758350285273,22.675335327730288,1281.3244252481666,1280.9920315602083,1278.461443757295,1278.306163896454,57.08033823743833,1284.052,1270.775,2.9939999999999145,2.2521428571427777,2.1489285714284967,1,0,0,2.0302999999999694,2.2521428571427777,2.0302999999999694,1.9255999999999782
2019.01.02 04:00:00,2019.01.02 03:00:00,1282.271,1282.654,1281.0783411139837,1280.9527980733503,1280.516214627499,1266.3767785453126,21.62964802256455,29.675214848419518,20.515779582232167,1281.5137401985332,1281.3244252481666,1278.5974993373916,1278.461443757295,55.62620470833193,1284.052,1273.4,1.2019999999999982,2.2194285714285025,2.2521428571427777,0,0,0,2.043299999999969,2.2194285714285025,2.043299999999969,2.0302999999999694
2019.01.02 05:00:00,2019.01.02 04:00:00,1283.964,1282.271,1281.353165769795,1281.0783411139837,1280.738652393467,1266.5517757737175,21.84536297773975,30.21758432823563,18.56189581249577,1282.0037921588266,1281.5137401985332,1278.789160075342,1278.5974993373916,60.425486029303755,1284.052,1274.09,2.01299999999992,2.2481428571427915,2.2194285714285025,0,0,0,2.086649999999967,2.2481428571427915,2.086649999999967,2.043299999999969
2019.01.02 06:00:00,2019.01.02 05:00:00,1286.201,1283.964,1281.8148642679096,1281.353165769795,1281.0910619164692,1266.7472904426359,23.21276292065082,35.85450053135331,16.794096211305696,1282.8432337270613,1282.0037921588266,1279.0538686440798,1278.789160075342,65.70373812003149,1284.07,1274.09,2.689999999999827,2.067285714285638,2.2481428571427915,0,0,0,2.1400499999999547,2.067285714285638,2.1400499999999547,2.086649999999967
2019.01.02 07:00:00,2019.01.02 06:00:00,1285.911,1286.201,1282.2049724328706,1281.8148642679096,1281.402025663794,1266.9379741198236,25.007086193378182,37.248780250010924,15.19465847689563,1283.456786981649,1282.8432337270613,1279.2987661925056,1279.0538686440798,64.50266650270126,1286.475,1274.09,1.6179999999999382,2.0851428571427806,2.067285714285638,0,0,0,2.117849999999945,2.0851428571427806,2.117849999999945,2.1400499999999547
2019.01.02 08:00:00,2019.01.02 07:00:00,1285.512,1285.911,1282.5199274392637,1282.2049724328706,1281.667185298388,1267.122790297736,25.259005892835667,33.7012773690575,19.100422886392284,1283.8678295853192,1283.456786981649,1279.520667399916,1279.2987661925056,62.80164643924513,1287.292,1274.09,1.8130000000001019,2.0056428571427927,2.0851428571427806,0,0,0,2.1207499999999446,2.0056428571427927,2.1207499999999446,2.117849999999945
2019.01.02 09:00:00,2019.01.02 08:00:00,1288.056,1285.512,1283.047172445048,1282.5199274392637,1282.0793668920405,1267.3310809415398,26.20869173431337,36.08140606256639,17.281334992450162,1284.7054636682556,1283.8678295853192,1279.8255007070618,1279.520667399916,68.50468845280744,1287.292,1274.296,3.5950000000000273,2.123785714285666,2.0056428571427927,0,0,0,2.223049999999947,2.123785714285666,2.223049999999947,2.1207499999999446
2019.01.02 10:00:00,2019.01.02 09:00:00,1287.08,1288.056,1283.4312512598053,1283.047172445048,1282.4019883828767,1267.5275875988377,27.172767445137453,33.47981556921335,15.635493564597766,1285.1803709346045,1284.7054636682556,1280.084589967524,1279.8255007070618,64.42387192220019,1288.578,1274.296,1.7000000000000455,2.09907142857138,2.123785714285666,0,0,0,2.2250499999999565,2.09907142857138,2.2250499999999565,2.223049999999947
2019.01.02 11:00:00,2019.01.02 10:00:00,1287.351,1287.08,1283.8045606636333,1283.4312512598053,1282.7212794549491,1267.7248354834267,26.94277261202995,30.291261705478746,18.268838644660075,1285.6144967476837,1285.1803709346045,1280.3441046115408,1280.084589967524,65.04648999743807,1288.727,1274.296,1.4669999999998709,1.9251428571427962,2.09907142857138,0,0,0,2.2178499999999564,1.9251428571427962,2.2178499999999564,2.2250499999999565
2019.01.02 12:00:00,2019.01.02 11:00:00,1286.465,1287.351,1284.0579358385253,1283.8045606636333,1282.9628098126943,1267.911304782099,26.692804364984465,27.406379638290293,16.684349405330412,1285.7845973981468,1285.6144967476837,1280.5627080182717,1280.3441046115408,61.27105074200178,1288.727,1275.525,1.2869999999998072,1.8812857142856347,1.9251428571427962,0,0,0,2.0210999999999477,1.8812857142856347,2.0210999999999477,2.2178499999999564
2019.01.02 13:00:00,2019.01.02 12:00:00,1285.51,1286.465,1284.1962276634276,1284.0579358385253,1283.1271446634885,1268.086416177302,24.25927203326937,24.79624824416741,24.236919601448232,1285.7296779185176,1285.7845973981468,1280.739397017619,1280.5627080182717,57.40349744316527,1288.727,1276.006,2.341999999999871,1.9722142857141998,1.8812857142856347,0,0,0,2.0697999999999444,1.9722142857141998,2.0697999999999444,2.0210999999999477
2019.01.02 14:00:00,2019.01.02 13:00:00,1284.292,1285.51,1284.2053488383392,1284.1962276634276,1283.2022966206828,1268.2476657675777,22.47293481119863,24.482523186810898,21.928641544167448,1285.4421423348142,1285.7296779185176,1280.8662756955612,1280.739397017619,52.82377640060579,1288.727,1276.006,3.9809999999999945,2.2027142857142064,1.9722142857141998,0,0,0,2.1225499999999475,2.2027142857142064,2.1225499999999475,2.0697999999999444
2019.01.02 15:00:00,2019.01.02 14:00:00,1283.631,1284.292,1284.1506489489736,1284.2053488383392,1283.2299549032193,1268.4007337698906,20.63083912724163,22.150854311876525,23.582741234201,1285.0799138678515,1285.4421423348142,1280.9650158492911,1280.8662756955612,50.47047828730377,1288.727,1276.006,2.9290000000000873,2.226142857142792,2.2027142857142064,0,0,0,2.1719499999999616,2.226142857142792,2.1719499999999616,2.1225499999999475
2019.01.02 16:00:00,2019.01.02 15:00:00,1285.812,1283.631,1284.3088728585951,1284.1506489489736,1283.3965384578503,1268.573980200041,19.326700514565417,24.51787850073903,21.336765878562808,1285.2263310942812,1285.0799138678515,1281.1381224261022,1280.9650158492911,57.239543837210604,1288.727,1276.006,4.123000000000047,2.410999999999949,2.226142857142792,1,0,0,2.2757999999999616,2.410999999999949,2.2757999999999616,2.1719499999999616
2019.01.02 17:00:00,2019.01.02 16:00:00,1285.246,1285.812,1284.3981230625384,1284.3088728585951,1283.515858557344,1268.7398709443191,18.44142404906381,23.609548189503844,19.3046929377473,1285.230264875425,1285.2263310942812,1281.2848323394558,1281.1381224261022,55.13369527736064,1288.727,1276.006,4.338999999999942,2.5070714285713795,2.410999999999949,0,0,0,2.2976499999999564,2.5070714285713795,2.2976499999999564,2.2757999999999616
2019.01.02 18:00:00,2019.01.02 17:00:00,1284.067,1285.246,1284.3665875327729,1284.3981230625384,1283.5514160697735,1268.892379691142,17.640459627895684,21.361019790503477,17.46615075319994,1284.9976119003402,1285.230264875425,1281.3841954701895,1281.2848323394558,50.93039806389216,1288.727,1276.006,2.45900000000006,2.596857142857098,2.5070714285713795,0,0,0,2.3255499999999563,2.596857142857098,2.3255499999999563,2.2976499999999564
2019.01.02 19:00:00,2019.01.02 18:00:00,1279.373,1284.067,1283.891007767747,1284.3665875327729,1283.2818408394658,1268.9966644703347,17.23319651868629,19.32663695331267,25.289183019217916,1283.8726895202724,1284.9976119003402,1281.3123670605398,1281.3841954701895,38.38360526005791,1288.727,1276.006,5.356999999999971,2.8357142857142446,2.596857142857098,0,0,0,2.5399499999999566,2.8357142857142446,2.5399499999999566,2.3255499999999563
2019.01.02 20:00:00,2019.01.02 19:00:00,1281.553,1279.373,1283.668340361295,1283.891007767747,1283.1703027207905,1269.1216031323215,16.864720372258745,17.486004862520986,22.88068939834002,1283.408751616218,1283.8726895202724,1281.320961094092,1281.3123670605398,45.142695038035654,1288.727,1276.006,2.4099999999998545,2.8157142857142463,2.8357142857142446,0,0,0,2.622749999999954,2.8157142857142463,2.622749999999954,2.5399499999999566
2019.01.02 21:00:00,2019.01.02 20:00:00,1283.161,1281.553,1283.6200222316477,1283.668340361295,1283.1697025452556,1269.2612986235422,15.626085939472627,22.363482051551223,20.70157612230764,1283.3592012929746,1283.408751616218,1281.3866767693028,1281.320961094092,49.53969104200709,1288.727,1276.034,2.4759999999998854,2.8769999999999567,2.8157142857142463,0,0,0,2.616499999999954,2.8769999999999567,2.616499999999954,2.622749999999954
