key,value
first_tick,2019.01.02 00:00:00
last_tick,2026.09.04 20:57:59
initial_balance,10000.00000000
final_balance,19465.80000000
native_net_profit,9465.80000000
native_trades,1047.00000000
native_equity_dd_pct,11.15261261
observed_equity_dd_pct,11.15261261
observed_equity_dd_cash,1237.94000000
minimum_equity,9617.25000000
max_concurrent_positions,3.00000000
max_gross_initial_stop_risk_pct,1.20259677
fills,1047.00000000
errors,17.00000000
occupied_signals,446.00000000
data_read_retries,0.00000000
