id,label,symbol,timeframe,return_pct,equity_dd_pct,balance_dd_pct,profit_factor,win_rate_pct,wins,losses,trades,net,history_quality,score
us30-t03,US30 prior day plus H1 swing,US30,M5,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,98%,-8.0
us30-t10,US30 narrow killzone,US30,M5,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,98%,-8.0
us30-t12,US30 H1 dealing range bias,US30,M5,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,98%,-8.0
us30-t14,US30 short only,US30,M5,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,98%,-8.0
us30-t11,US30 no premium discount,US30,M5,-0.8948999999999998,2.62,1.02,0.56,33.33,1,2,3,-89.49,98%,-8.142472194303531
us30-t01,US30 core,US30,M5,-1.0109,1.01,1.01,0.0,0.0,0,1,1,-101.09,98%,-8.43100516497364
us30-t02,US30 prior day plus Asia,US30,M5,-1.0109,1.01,1.01,0.0,0.0,0,1,1,-101.09,98%,-8.43100516497364
us30-t04,US30 loose level score,US30,M5,-1.0109,1.01,1.01,0.0,0.0,0,1,1,-101.09,98%,-8.43100516497364
us30-t05,US30 strong confluence,US30,M5,-1.0109,1.01,1.01,0.0,0.0,0,1,1,-101.09,98%,-8.43100516497364
us30-t07,US30 two R,US30,M5,-1.0109,1.01,1.01,0.0,0.0,0,1,1,-101.09,98%,-8.43100516497364
us30-t08,US30 three R,US30,M5,-1.0109,1.01,1.01,0.0,0.0,0,1,1,-101.09,98%,-8.43100516497364
us30-t09,US30 strong displacement,US30,M5,-1.0109,1.01,1.01,0.0,0.0,0,1,1,-101.09,98%,-8.43100516497364
us30-t13,US30 long only,US30,M5,-1.0109,1.01,1.01,0.0,0.0,0,1,1,-101.09,98%,-8.43100516497364
us30-t15,US30 fast FVG retest,US30,M5,-1.0109,1.01,1.01,0.0,0.0,0,1,1,-101.09,98%,-8.43100516497364
us30-t17,US30 ATR trail,US30,M5,-1.0109,1.01,1.01,0.0,0.0,0,1,1,-101.09,98%,-8.43100516497364
us30-t18,US30 no break even,US30,M5,-1.0109,1.01,1.01,0.0,0.0,0,1,1,-101.09,98%,-8.43100516497364
us30-t16,US30 deep FVG three R,US30,M5,-0.33979999999999994,2.85,0.4,0.23,66.67,2,1,3,-33.98,98%,-9.16859116407073
us30-t06,US30 M15 structure,US30,M15,-1.8668999999999998,2.73,1.87,0.0,0.0,0,3,3,-186.69,98%,-9.48181549492092
us100-t07,US100 two R,USTEC,M5,4.1838,2.09,0.28,12.29,66.67,4,2,6,418.38,98%,-3.177370507196537
us100-t18,US100 no break even,USTEC,M5,4.1011,3.78,1.03,4.0,50.0,3,3,6,410.11,98%,-3.396710507196537
us100-t16,US100 deep FVG three R,USTEC,M5,3.6571,3.59,0.13,14.04,66.67,4,2,6,365.71,98%,-3.4627105071965367
us100-t17,US100 ATR trail,USTEC,M5,2.4276,2.3,0.28,7.67,66.67,4,2,6,242.76,98%,-3.553810507196537
us100-t01,US100 core,USTEC,M5,2.694,2.76,0.28,8.35,66.67,4,2,6,269.4,98%,-3.555730507196537
us100-t04,US100 loose level score,USTEC,M5,2.694,2.76,0.28,8.35,66.67,4,2,6,269.4,98%,-3.555730507196537
us100-t14,US100 short only,USTEC,M5,2.8964,2.76,0.13,18.65,80.0,4,1,5,289.64,98%,-4.262708755997115
us100-t11,US100 no premium discount,USTEC,M5,1.9649,2.76,1.01,2.8,80.0,4,1,5,196.49,98%,-4.555944498971018
us100-t08,US100 three R,USTEC,M5,0.2494,3.42,0.28,1.7,66.67,4,2,6,24.94,98%,-5.487012197450792
us100-t03,US100 prior day plus H1 swing,USTEC,M5,2.7393,1.13,0.2,13.43,66.67,2,1,3,273.93,98%,-5.675535253598269
us100-t10,US100 narrow killzone,USTEC,M5,2.8806000000000003,2.76,0.02,87.5,100.0,3,0,3,288.06,98%,-5.759205253598268
us100-t05,US100 strong confluence,USTEC,M5,2.3112,2.76,0.2,11.07,66.67,2,1,3,231.12,98%,-5.816145253598268
us100-t15,US100 fast FVG retest,USTEC,M5,2.48,0.63,0.01,234.96,100.0,1,0,1,248.0,98%,-7.223821751199423
us100-t06,US100 M15 structure,USTEC,M15,-0.0442,0.75,0.42,0.9,33.33,1,2,3,-4.42,98%,-7.375852618789391
us100-t09,US100 strong displacement,USTEC,M5,-0.0433,2.88,0.13,0.7,66.67,2,1,3,-4.33,98%,-7.80513993272648
us100-t02,US100 prior day plus Asia,USTEC,M5,-0.09960000000000001,0.56,0.1,0.0,0.0,0,1,1,-9.96,98%,-8.391628498306973
us100-t12,US100 H1 dealing range bias,USTEC,M5,-0.09960000000000001,0.56,0.1,0.0,0.0,0,1,1,-9.96,98%,-8.391628498306973
us100-t13,US100 long only,USTEC,M5,-0.1964,1.12,0.2,0.0,0.0,0,1,1,-19.64,98%,-8.40605516497364
xag-t02,XAG prior day plus Asia,XAGUSD,M5,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,98%,-8.0
xag-t06,XAG M15 structure,XAGUSD,M15,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,98%,-8.0
xag-t09,XAG strong displacement,XAGUSD,M5,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,98%,-8.0
xag-t10,XAG narrow killzone,XAGUSD,M5,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,98%,-8.0
xag-t12,XAG H1 dealing range bias,XAGUSD,M5,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,98%,-8.0
xag-t13,XAG long only,XAGUSD,M5,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,98%,-8.0
xag-t15,XAG fast FVG retest,XAGUSD,M5,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,98%,-8.0
xag-t01,XAG core,XAGUSD,M5,-0.0688,2.15,0.12,0.42,100.0,1,0,1,-6.88,98%,-8.125626893748557
xag-t03,XAG prior day plus H1 swing,XAGUSD,M5,-0.0688,2.15,0.12,0.42,100.0,1,0,1,-6.88,98%,-8.125626893748557
xag-t04,XAG loose level score,XAGUSD,M5,-0.0688,2.15,0.12,0.42,100.0,1,0,1,-6.88,98%,-8.125626893748557
xag-t05,XAG strong confluence,XAGUSD,M5,-0.0688,2.15,0.12,0.42,100.0,1,0,1,-6.88,98%,-8.125626893748557
xag-t07,XAG two R,XAGUSD,M5,-0.0688,2.15,0.12,0.42,100.0,1,0,1,-6.88,98%,-8.125626893748557
xag-t08,XAG three R,XAGUSD,M5,-0.0688,2.15,0.12,0.42,100.0,1,0,1,-6.88,98%,-8.125626893748557
xag-t11,XAG no premium discount,XAGUSD,M5,-0.0688,2.15,0.12,0.42,100.0,1,0,1,-6.88,98%,-8.125626893748557
xag-t14,XAG short only,XAGUSD,M5,-0.0688,2.15,0.12,0.42,100.0,1,0,1,-6.88,98%,-8.125626893748557
xag-t16,XAG deep FVG three R,XAGUSD,M5,-0.0688,2.15,0.12,0.42,100.0,1,0,1,-6.88,98%,-8.125626893748557
xag-t17,XAG ATR trail,XAGUSD,M5,-0.0688,2.15,0.12,0.42,100.0,1,0,1,-6.88,98%,-8.125626893748557
xag-t18,XAG no break even,XAGUSD,M5,-1.1188,2.29,1.12,0.0,0.0,0,1,1,-111.88,98%,-8.460201831640306
xau-t11,XAU no premium discount,XAUUSD,M5,5.739400000000001,2.13,1.78,2.11,58.33,7,5,12,573.94,98%,0.5686621479422813
xau-t05,XAU strong confluence,XAUUSD,M5,8.224,2.1,0.97,8.16,85.71,6,1,7,822.4,98%,-1.4322855917292925
xau-t08,XAU three R,XAUUSD,M5,5.5736,2.14,1.78,3.55,71.43,5,2,7,557.36,98%,-2.056312258395959
xau-t01,XAU core,XAUUSD,M5,4.6530000000000005,2.16,1.72,3.21,71.43,5,2,7,465.3,98%,-2.2739189250626257
xau-t04,XAU loose level score,XAUUSD,M5,4.6530000000000005,2.16,1.72,3.21,71.43,5,2,7,465.3,98%,-2.2739189250626257
xau-t18,XAU no break even,XAUUSD,M5,4.6530000000000005,2.16,1.72,3.21,71.43,5,2,7,465.3,98%,-2.2739189250626257
xau-t07,XAU two R,XAUUSD,M5,3.5452999999999997,2.11,1.74,2.68,71.43,5,2,7,354.53,98%,-2.8412096420029234
xau-t17,XAU ATR trail,XAUUSD,M5,2.3106999999999998,1.99,1.69,2.15,71.43,5,2,7,231.07,98%,-3.7294600420091997
xau-t16,XAU deep FVG three R,XAUUSD,M5,1.8537000000000001,5.04,3.62,1.33,50.0,6,6,12,185.37,98%,-3.8992610772784198
xau-t02,XAU prior day plus Asia,XAUUSD,M5,1.9934999999999998,2.0,1.69,1.66,62.5,5,3,8,199.35,98%,-4.033250339087621
xau-t06,XAU M15 structure,XAUUSD,M15,2.8472000000000004,1.64,1.0,3.65,75.0,3,1,4,284.72,98%,-4.927127004797692
xau-t14,XAU short only,XAUUSD,M5,1.8647999999999998,1.94,1.0,1.91,60.0,3,2,5,186.48,98%,-5.25566018254959
xau-t12,XAU H1 dealing range bias,XAUUSD,M5,1.2444,2.25,0.98,2.26,75.0,3,1,4,124.44,98%,-5.642829632078622
xau-t10,XAU narrow killzone,XAUUSD,M5,2.636,0.99,0.17,16.28,66.67,2,1,3,263.6,98%,-5.677465253598268
xau-t13,XAU long only,XAUUSD,M5,1.6500000000000001,1.91,0.94,2.69,66.67,2,1,3,165.0,98%,-5.962150567663503
xau-t15,XAU fast FVG retest,XAUUSD,M5,2.7352,0.98,0.01,184.57,100.0,2,0,2,273.52,98%,-6.444630169065512
xau-t03,XAU prior day plus H1 swing,XAUUSD,M5,-0.001,3.03,2.38,1.0,50.0,3,3,6,-0.1,98%,-6.763800000000001
xau-t09,XAU strong displacement,XAUUSD,M5,-1.6253999999999997,2.23,1.94,0.17,33.33,1,2,3,-162.54,98%,-9.42766549492092
