policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,AUDUSD,9,0,2,7,0,0.0,2.07,0.23,1.89,5.67
dynamic_aggressive,LTA,GBPJPY,20,0,9,11,0,0.0,-6.11,-0.306,0.42,5.6
dynamic_aggressive,LTA,USDCAD,13,1,8,4,0,7.69,-4.4,-0.339,0.57,5.54
dynamic_aggressive,ORB,AUDUSD,20,2,8,10,0,10.0,0.63,0.032,1.06,5.5
dynamic_aggressive,ORB,GBPUSD,20,0,10,10,0,0.0,-2.03,-0.101,0.84,5.7
dynamic_aggressive,ORB,NZDUSD,22,1,11,10,0,4.55,-4.55,-0.207,0.71,5.27
dynamic_aggressive,ORB,USDCAD,18,0,7,11,0,0.0,-4.9,-0.272,0.53,5.67
dynamic_aggressive,ORB,USDCHF,20,0,5,15,0,0.0,-1.9,-0.095,0.78,5.7
dynamic_balanced,LTA,AUDUSD,9,0,2,7,0,0.0,2.07,0.23,1.89,4.22
dynamic_balanced,LTA,GBPJPY,20,0,9,11,0,0.0,-6.11,-0.306,0.42,4.45
dynamic_balanced,LTA,USDCAD,13,1,8,4,0,7.69,-4.84,-0.373,0.53,4.46
dynamic_balanced,ORB,AUDUSD,20,2,10,8,0,10.0,-3.18,-0.159,0.75,4.1
dynamic_balanced,ORB,GBPUSD,20,1,10,9,0,5.0,-3.27,-0.163,0.74,4.4
dynamic_balanced,ORB,NZDUSD,22,4,12,5,1,18.18,-5.73,-0.26,0.66,4.0
dynamic_balanced,ORB,USDCAD,18,1,6,11,0,5.56,-1.56,-0.086,0.83,4.11
dynamic_balanced,ORB,USDCHF,20,0,3,17,0,0.0,-0.42,-0.021,0.93,4.3
dynamic_capped,LTA,AUDUSD,9,0,3,6,0,0.0,0.43,0.048,1.12,4.22
dynamic_capped,LTA,GBPJPY,20,0,9,11,0,0.0,-6.06,-0.303,0.42,4.45
dynamic_capped,LTA,USDCAD,13,2,8,3,0,15.38,-3.34,-0.257,0.68,4.46
dynamic_capped,ORB,AUDUSD,20,2,9,9,0,10.0,-2.14,-0.107,0.81,4.1
dynamic_capped,ORB,GBPUSD,20,1,10,9,0,5.0,-1.25,-0.063,0.9,4.4
dynamic_capped,ORB,NZDUSD,22,4,11,7,0,18.18,-3.57,-0.162,0.77,4.0
dynamic_capped,ORB,USDCAD,18,0,7,11,0,0.0,-5.02,-0.279,0.51,4.11
dynamic_capped,ORB,USDCHF,20,0,5,15,0,0.0,-2.32,-0.116,0.73,4.3
dynamic_conservative,LTA,AUDUSD,9,1,2,6,0,11.11,2.57,0.286,2.1,3.0
dynamic_conservative,LTA,GBPJPY,20,0,10,10,0,0.0,-7.77,-0.388,0.33,3.0
dynamic_conservative,LTA,USDCAD,13,3,8,2,0,23.08,-4.74,-0.365,0.54,2.92
dynamic_conservative,ORB,AUDUSD,20,6,9,5,0,30.0,0.28,0.014,1.02,2.7
dynamic_conservative,ORB,GBPUSD,20,4,10,6,0,20.0,-1.63,-0.082,0.87,2.85
dynamic_conservative,ORB,NZDUSD,22,5,11,6,0,22.73,-4.68,-0.213,0.69,2.64
dynamic_conservative,ORB,USDCAD,18,2,7,9,0,11.11,-4.65,-0.259,0.54,2.83
dynamic_conservative,ORB,USDCHF,20,1,5,14,0,5.0,-3.7,-0.185,0.53,2.8
dynamic_score,LTA,AUDUSD,9,0,2,7,0,0.0,2.07,0.23,1.89,4.67
dynamic_score,LTA,GBPJPY,20,0,9,11,0,0.0,-6.11,-0.306,0.42,4.3
dynamic_score,LTA,USDCAD,13,1,8,4,0,7.69,-5.34,-0.411,0.48,4.31
dynamic_score,ORB,AUDUSD,20,1,10,9,0,5.0,-2.68,-0.134,0.79,5.55
dynamic_score,ORB,GBPUSD,20,0,10,10,0,0.0,-3.77,-0.188,0.7,5.65
dynamic_score,ORB,NZDUSD,22,1,12,8,1,4.55,-6.73,-0.306,0.6,5.36
dynamic_score,ORB,USDCAD,18,0,6,12,0,0.0,-1.56,-0.086,0.83,5.5
dynamic_score,ORB,USDCHF,20,0,3,17,0,0.0,-0.42,-0.021,0.93,5.6
fixed_current,LTA,AUDUSD,9,0,2,7,0,0.0,2.07,0.23,1.89,6.0
fixed_current,LTA,GBPJPY,20,0,9,11,0,0.0,-6.24,-0.312,0.41,6.0
fixed_current,LTA,USDCAD,13,1,8,4,0,7.69,-4.06,-0.312,0.6,6.0
fixed_current,ORB,AUDUSD,20,0,8,12,0,0.0,-2.11,-0.106,0.8,6.0
fixed_current,ORB,GBPUSD,20,8,9,3,0,40.0,3.17,0.158,1.26,3.0
fixed_current,ORB,NZDUSD,22,5,11,6,0,22.73,-8.49,-0.386,0.49,3.0
fixed_current,ORB,USDCAD,18,1,7,10,0,5.56,-5.59,-0.311,0.54,6.0
fixed_current,ORB,USDCHF,20,7,3,10,0,35.0,2.44,0.122,1.36,3.0
