policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,42,1,19,22,0,2.38,-8.44,-0.201,0.63,5.6
dynamic_aggressive,ORB,100,3,41,56,0,3.0,-12.75,-0.128,0.78,5.56
dynamic_balanced,LTA,42,1,19,22,0,2.38,-8.88,-0.212,0.62,4.4
dynamic_balanced,ORB,100,8,41,50,1,8.0,-14.15,-0.142,0.75,4.18
dynamic_capped,LTA,42,2,20,20,0,4.76,-8.97,-0.214,0.63,4.4
dynamic_capped,ORB,100,7,42,51,0,7.0,-14.3,-0.143,0.75,4.18
dynamic_conservative,LTA,42,4,20,18,0,9.52,-9.94,-0.237,0.59,2.98
dynamic_conservative,ORB,100,18,42,40,0,18.0,-14.39,-0.144,0.75,2.76
dynamic_score,LTA,42,1,19,22,0,2.38,-9.38,-0.223,0.59,4.38
dynamic_score,ORB,100,2,41,56,1,2.0,-15.15,-0.152,0.74,5.53
fixed_current,LTA,42,1,19,22,0,2.38,-8.23,-0.196,0.64,6.0
fixed_current,ORB,100,21,38,41,0,21.0,-10.58,-0.106,0.82,4.14
