policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,142,4,60,78,0,2.82,-21.2,-0.149,0.74,5.57
dynamic_balanced,142,9,60,72,1,6.34,-23.03,-0.162,0.71,4.25
dynamic_capped,142,9,62,71,0,6.34,-23.27,-0.164,0.72,4.25
dynamic_conservative,142,22,62,58,0,15.49,-24.33,-0.171,0.7,2.82
dynamic_score,142,3,60,78,1,2.11,-24.53,-0.173,0.69,5.19
fixed_current,142,22,57,63,0,15.49,-18.81,-0.132,0.77,4.69
