candidate,timeframe,lookback,delta_bars,delta_threshold,book_bars,book_threshold,book5_threshold,replenishment_threshold,close_location,relative_volume,max_sweep_atr,stop_atr,reward_risk,max_hold,break_even_r,direction,signal_model,stable,score,segment_1_return,segment_2_return,segment_3_return,segment_1_pf,segment_2_pf,segment_3_pf,segment_1_trades,segment_2_trades,segment_3_trades,training_initial,training_final,training_net,training_return_pct,training_annualized_return_pct,training_profit_factor,training_win_rate_pct,training_trades,training_wins,training_losses,training_max_drawdown_pct,training_max_drawdown_amount,training_average_trade,training_total_fees,training_total_funding_pnl,training_largest_win,training_largest_loss
398,15,48,1,0.05,1,0.0,-0.1,0.03,0.55,0.8,2.0,1.0,1.5,12,1.5,both,reversal,False,36.28127462090016,4.850167236557401,3.0280118186548854,4.496762848628877,4.740164935508645,999.0,2.912894315100179,7,3,9,10000.0,11288.267267936535,1288.267267936535,12.88267267936536,8.39592635129922,4.358192317309525,78.94736842105263,19,15,4,1.9062824857911955,207.43315653820537,67.80354041771234,446.03812963537837,0.0,148.91673545391782,-129.67789710316123
10,15,24,1,0.25,1,0.1,0.0,-0.03,0.65,0.8,2.0,1.5,2.0,12,0.0,long,continuation,False,17.703273912607425,2.4272591454937764,1.7136536222622123,1.4858328783762254,12.94091333326057,2.6035131462371903,1.5504297162273402,4,5,8,10000.0,10573.048553319495,573.0485533194951,5.730485533194951,3.7768356956218607,2.394208372883772,64.70588235294117,17,11,6,2.6220665095861007,276.04364824334516,33.708738430558505,497.39751203137405,0.0,149.5824535883164,-128.67767797621661
51,15,48,2,0.05,1,0.0,-0.1,0.03,0.55,1.2,1.0,1.0,1.5,12,0.0,both,reversal,False,15.360986098659298,1.2651098167053787,1.4841905983355108,2.8054139998574534,1.367751183858128,2.324713981406641,1.536469580219252,8,3,13,10000.0,10565.114707711233,565.1147077112328,5.651147077112317,3.7250205904587608,1.5680208173009398,58.333333333333336,24,14,10,4.482443525063029,464.0230224680854,23.54644615463481,479.61454289638937,0.0,139.37678428623258,-132.3992365671604
308,15,72,1,0.25,1,0.1,0.0,0.0,0.55,1.0,1.0,2.0,2.5,12,1.5,long,reversal,False,13.251538600529628,0.8055055580105996,0.5131069356681506,1.5387167071916341,999.0,1.740448983845314,999.0,1,3,2,10000.0,10288.18156132745,288.18156132745025,2.8818156132744965,1.9081436817807607,5.125429733156905,83.33333333333334,6,5,1,0.6888533806327152,69.8549193581639,48.03026022124146,109.7183204393608,0.0,98.18332341536279,-69.85491935816428
551,5,48,2,0.15,3,0.0,-0.05,0.03,0.55,0.8,1.0,1.5,3.0,24,0.0,short,continuation,False,12.318214846222025,0.0,0.0,8.198940363826601,0.0,0.0,999.0,0,0,3,10000.0,10819.89403638266,819.8940363826605,8.198940363826601,5.382521582632593,999.0,100.0,3,3,0,0.0,0.0,273.2980121275539,77.35403338507723,0.0,294.00838357044967,255.44077469803486
178,15,48,1,0.15,1,0.1,-0.05,0.0,0.55,1.0,1.0,1.0,3.0,12,1.5,both,continuation,False,11.353132879063033,1.789353914351155,1.468935090000012,0.5417416272787134,2.873397292120405,999.0,1.1744751097649664,2,1,8,10000.0,10384.410898082948,384.4108980829478,3.844108980829475,2.5413104934594477,1.923597691172351,54.54545454545454,11,6,5,2.698591096508928,286.68249666060547,34.946445280267945,300.6194544686865,0.0,274.44924329543676,-131.8898617333548
40,15,48,3,0.15,3,0.05,-0.1,-0.03,0.65,0.8,2.0,1.5,3.0,48,0.0,long,continuation,False,11.002693565500872,0.19533395370070483,1.8889194165671919,2.20786063590952,1.060464296264389,2.7903927609791612,1.4711356318086681,5,3,11,10000.0,10434.190258032628,434.19025803262775,4.341902580326273,2.8680761456682413,1.4786175763535698,42.10526315789473,19,8,11,3.197561399418885,344.66036688333406,22.852118843822428,557.4718820879668,0.0,281.7717105152833,-134.37618907007956
236,5,72,3,0.05,3,0.1,-0.05,0.0,0.65,1.2,1.0,1.5,2.0,48,1.5,both,continuation,False,9.366107401961765,1.9069814406008634,0.5773034967734292,0.5749013842011541,1.9780620290312938,1.1420556177987053,1.0361277493543568,6,10,36,10000.0,10308.454087190625,308.4540871906247,3.0845408719062384,2.041696455877795,1.1376949116840962,50.0,52,26,26,5.337023897566417,581.1825074120843,5.931809369050628,1576.4950070449145,0.0,184.18554458625272,-136.2178451027606
600,15,72,2,0.05,1,0.05,-0.1,0.03,0.65,1.2,1.0,2.0,3.0,24,1.5,long,reversal,False,8.369528583327753,1.6960015711656062,1.4045254652609085,-0.10281282604357456,2.407941919976872,999.0,0.8159540072308462,4,1,3,10000.0,10301.832275406186,301.83227540618645,3.018322754061864,1.998082493118436,2.6950437807947125,62.5,8,5,3,1.2045962600456186,120.45962600456187,37.72903442577334,74.60000168228552,0.0,142.83462392191473,-120.45962600456275
316,15,48,1,0.15,1,0.05,-0.05,0.0,0.55,1.2,1.0,2.0,3.0,12,1.5,long,continuation,False,7.651744394328938,-0.04719739498099118,0.45311951619086965,1.3791612854019863,0.9794965130831939,1.446220905968055,1.8494137045104435,3,3,6,10000.0,10179.046491726594,179.04649172659447,1.7904649172659548,1.187656221225608,1.361918375631577,41.66666666666667,12,5,7,1.496385259964402,151.72822741729397,14.920540977216527,275.6285441737284,0.0,261.669909549845,-132.2076709400407
