model,initial,final,net,return_pct,profit_factor,win_rate_pct,trades,wins,losses,max_drawdown_pct,max_drawdown_amount,average_trade,total_fees,total_funding_pnl,largest_win,largest_loss,annualized_return_pct
full_order_flow,10000.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
cvd_without_book,10000.0,5550.170616309011,-4449.829383690989,-44.49829383690989,0.4609427585234353,37.4331550802139,187,70,117,45.08702308937107,4508.702308937107,-23.79587905717106,3794.3445143267695,0.0,133.45600865618246,-254.2425497947722,-69.5195446898225
price_sweep_only,10000.0,3293.994446625777,-6706.005553374223,-67.06005553374223,0.4938390601241036,37.735849056603776,371,140,231,67.52298599598724,6789.585111075459,-18.075486666776897,5706.0253242194485,0.0,122.9350577845339,-232.1671570505367,-89.36381235224925
