server_time,event,detail,bias,zone_dir,zone_origin,zone_created,zone_low,zone_high,touch_time,held_at,hold_extreme,m5_high_time,m5_high,m5_low_time,m5_low,entry,stop,target,lots,risk_cash,equity,entry_spread_cost
2026.03.05 00:00:00,init,tester-only; self-tests passed; frozen rules v1,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.05 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.06 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.06 15:00:00,zone,H1 high-low-break,1,1,2026.03.06 11:00:00,2026.03.06 15:00:00,5062.79,5099.708,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.08 22:03:03,bias,last fourteen completed daily candles,1,1,2026.03.06 11:00:00,2026.03.06 15:00:00,5062.79,5099.708,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.08 23:15:00,touch,first completed M5 touch,1,1,2026.03.06 11:00:00,2026.03.06 15:00:00,5062.79,5099.708,2026.03.08 23:10:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.09 00:00:00,bias,last fourteen completed daily candles,1,1,2026.03.06 11:00:00,2026.03.06 15:00:00,5062.79,5099.708,2026.03.08 23:10:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.09 00:10:00,invalidate,M5 close through far edge,1,1,2026.03.06 11:00:00,2026.03.06 15:00:00,5062.79,5099.708,2026.03.08 23:10:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.09 19:00:00,zone,H1 high-low-break,1,1,2026.03.09 16:00:00,2026.03.09 19:00:00,5094.761,5110.612,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.10 00:00:00,invalidate,daily bias changed,1,1,2026.03.09 16:00:00,2026.03.09 19:00:00,5094.761,5110.612,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.10 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.11 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.11 09:00:00,zone,H1 low-high-break,-1,-1,2026.03.11 05:00:00,2026.03.11 09:00:00,5190.456,5208.224,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.11 23:00:00,zone,H1 low-high-break,-1,-1,2026.03.11 19:00:00,2026.03.11 23:00:00,5169.103,5183.462,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.12 00:00:00,invalidate,daily bias changed,-1,-1,2026.03.11 19:00:00,2026.03.11 23:00:00,5169.103,5183.462,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.12 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.13 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.15 22:01:30,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.16 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.16 00:00:00,zone,H1 low-high-break,-1,-1,2026.03.13 19:00:00,2026.03.16 00:00:00,5009.695,5050.084,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.16 08:00:00,zone,H1 low-high-break,-1,-1,2026.03.16 05:00:00,2026.03.16 08:00:00,5003.415,5020.038,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.16 12:30:00,invalidate,M5 close through far edge,-1,-1,2026.03.16 05:00:00,2026.03.16 08:00:00,5003.415,5020.038,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.17 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.17 11:00:00,zone,H1 low-high-break,-1,-1,2026.03.17 06:00:00,2026.03.17 11:00:00,5005.088,5022.819,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.17 13:35:00,invalidate,M5 close through far edge,-1,-1,2026.03.17 06:00:00,2026.03.17 11:00:00,5005.088,5022.819,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.18 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.18 03:00:00,zone,H1 low-high-break,-1,-1,2026.03.17 22:00:00,2026.03.18 03:00:00,4993.514,5005.086,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.18 06:15:00,invalidate,M5 close through far edge,-1,-1,2026.03.17 22:00:00,2026.03.18 03:00:00,4993.514,5005.086,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.19 00:00:00,bias,last fourteen completed daily candles,-1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.19 06:00:00,zone,H1 low-high-break,-1,-1,2026.03.19 01:00:00,2026.03.19 06:00:00,4832.955,4867.011,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.20 00:00:00,bias,last fourteen completed daily candles,-1,-1,2026.03.19 01:00:00,2026.03.19 06:00:00,4832.955,4867.011,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.20 11:00:00,zone,H1 low-high-break,-1,-1,2026.03.20 06:00:00,2026.03.20 11:00:00,4661.429,4701.089,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.20 14:00:00,zone,H1 low-high-break,-1,-1,2026.03.20 11:00:00,2026.03.20 14:00:00,4637.045,4674.286,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.20 19:00:00,zone,H1 low-high-break,-1,-1,2026.03.20 15:00:00,2026.03.20 19:00:00,4540.535,4580.18,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2026.03.22 22:01:30,bias,last fourteen completed daily candles,-1,-1,2026.03.20 15:00:00,2026.03.20 19:00:00,4540.535,4580.18,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
