server_time,event,detail,bias,zone_dir,zone_origin,zone_created,zone_low,zone_high,touch_time,held_at,hold_extreme,m5_high_time,m5_high,m5_low_time,m5_low,entry,stop,target,lots,risk_cash,equity,entry_spread_cost
2024.09.05 00:00:00,init,tester-only; self-tests passed; frozen rules v1,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.05 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.06 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.08 22:05:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.09 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.10 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.11 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.12 00:00:00,bias,last fourteen completed daily candles,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.13 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.13 01:00:00,zone,H1 high-low-break,1,1,2024.09.12 20:00:00,2024.09.13 01:00:00,2556.766,2560.115,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.13 01:50:00,touch,first completed M5 touch,1,1,2024.09.12 20:00:00,2024.09.13 01:00:00,2556.766,2560.115,2024.09.13 01:45:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.13 13:00:00,zone,H1 high-low-break,1,1,2024.09.13 09:00:00,2024.09.13 13:00:00,2567.035,2573.043,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.13 17:00:00,zone,H1 high-low-break,1,1,2024.09.13 13:00:00,2024.09.13 17:00:00,2573.521,2583.504,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.13 17:05:00,touch,first completed M5 touch,1,1,2024.09.13 13:00:00,2024.09.13 17:00:00,2573.521,2583.504,2024.09.13 17:00:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.13 17:15:00,held,at least two rejection wicks in completed holding window,1,1,2024.09.13 13:00:00,2024.09.13 17:00:00,2573.521,2583.504,2024.09.13 17:00:00,2024.09.13 17:15:00,2582.805,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.15 22:05:00,bias,last fourteen completed daily candles,1,1,2024.09.13 13:00:00,2024.09.13 17:00:00,2573.521,2583.504,2024.09.13 17:00:00,2024.09.13 17:15:00,2582.805,2024.09.13 20:25:00,2581.327,2024.09.13 20:15:00,2580.476,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.16 00:00:00,bias,last fourteen completed daily candles,1,1,2024.09.13 13:00:00,2024.09.13 17:00:00,2573.521,2583.504,2024.09.13 17:00:00,2024.09.13 17:15:00,2582.805,2024.09.15 23:10:00,2580.337,2024.09.15 23:35:00,2578.253,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2024.09.16 02:50:00,signal,confirmed M5 high-low-high break,1,1,2024.09.13 13:00:00,2024.09.13 17:00:00,2573.521,2583.504,2024.09.13 17:00:00,2024.09.13 17:15:00,2582.805,2024.09.16 02:20:00,2584.891,2024.09.16 02:30:00,2583.913,2585.083,2583.668,2586.145,0.71,100.46499999999999,10000.0,7.95
2024.09.16 02:50:00,accepted,2,1,1,2024.09.13 13:00:00,2024.09.13 17:00:00,2573.521,2583.504,2024.09.13 17:00:00,2024.09.13 17:15:00,2582.805,2024.09.16 02:20:00,2584.891,2024.09.16 02:30:00,2583.913,2585.083,2583.668,2586.145,0.71,100.46499999999999,9988.14,7.95
2024.09.16 02:50:00,fill,2,1,1,2024.09.13 13:00:00,2024.09.13 17:00:00,2573.521,2583.504,2024.09.13 17:00:00,2024.09.13 17:15:00,2582.805,2024.09.16 02:20:00,2584.891,2024.09.16 02:30:00,2583.913,2585.083,2583.668,2586.145,0.71,0.0,9988.14,7.95
2024.09.16 03:05:19,exit,5,1,1,2024.09.13 13:00:00,2024.09.13 17:00:00,2573.521,2583.504,2024.09.13 17:00:00,2024.09.13 17:15:00,2582.805,2024.09.16 02:20:00,2584.891,2024.09.16 02:30:00,2583.913,2586.161,0.0,0.0,0.71,0.0,10072.63,7.95
2024.09.16 04:00:00,zone,H1 high-low-break,1,1,2024.09.13 17:00:00,2024.09.16 04:00:00,2581.504,2586.144,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10072.63,7.95
2024.09.16 04:05:00,touch,first completed M5 touch,1,1,2024.09.13 17:00:00,2024.09.16 04:00:00,2581.504,2586.144,2024.09.16 04:00:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10072.63,7.95
2024.09.16 07:20:00,invalidate,M5 close through far edge,1,1,2024.09.13 17:00:00,2024.09.16 04:00:00,2581.504,2586.144,2024.09.16 04:00:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10072.63,7.95
2024.09.17 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10072.63,7.95
2024.09.18 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10072.63,7.95
2024.09.18 00:00:00,zone,H1 high-low-break,1,1,2024.09.17 18:00:00,2024.09.18 00:00:00,2568.633,2571.681,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10072.63,7.95
2024.09.18 00:25:00,touch,first completed M5 touch,1,1,2024.09.17 18:00:00,2024.09.18 00:00:00,2568.633,2571.681,2024.09.18 00:20:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10072.63,7.95
2024.09.18 00:50:00,held,at least two rejection wicks in completed holding window,1,1,2024.09.17 18:00:00,2024.09.18 00:00:00,2568.633,2571.681,2024.09.18 00:20:00,2024.09.18 00:50:00,2571.496,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10072.63,7.95
2024.09.18 03:30:00,signal,confirmed M5 high-low-high break,1,1,2024.09.17 18:00:00,2024.09.18 00:00:00,2568.633,2571.681,2024.09.18 00:20:00,2024.09.18 00:50:00,2571.496,2024.09.18 02:35:00,2574.146,2024.09.18 03:05:00,2572.783,2575.721,2572.517,2578.124,0.32,102.52799999999999,10072.63,3.58
2024.09.18 03:30:00,accepted,4,1,1,2024.09.17 18:00:00,2024.09.18 00:00:00,2568.633,2571.681,2024.09.18 00:20:00,2024.09.18 00:50:00,2571.496,2024.09.18 02:35:00,2574.146,2024.09.18 03:05:00,2572.783,2575.721,2572.517,2578.124,0.32,102.52799999999999,10067.29,3.58
2024.09.18 03:30:00,fill,4,1,1,2024.09.17 18:00:00,2024.09.18 00:00:00,2568.633,2571.681,2024.09.18 00:20:00,2024.09.18 00:50:00,2571.496,2024.09.18 02:35:00,2574.146,2024.09.18 03:05:00,2572.783,2575.721,2572.517,2578.124,0.32,0.0,10067.29,3.58
2024.09.18 04:33:25,exit,4,1,1,2024.09.17 18:00:00,2024.09.18 00:00:00,2568.633,2571.681,2024.09.18 00:20:00,2024.09.18 00:50:00,2571.496,2024.09.18 02:35:00,2574.146,2024.09.18 03:05:00,2572.783,2572.491,0.0,0.0,0.32,0.0,9967.51,3.58
2024.09.18 05:05:00,invalidate,M5 close through far edge,1,1,2024.09.17 18:00:00,2024.09.18 00:00:00,2568.633,2571.681,2024.09.18 00:20:00,2024.09.18 00:50:00,2571.496,2024.09.18 02:35:00,2574.146,2024.09.18 03:05:00,2572.783,0.0,0.0,0.0,0.0,0.0,9967.51,3.58
2024.09.18 11:00:00,zone,H1 high-low-break,1,1,2024.09.18 07:00:00,2024.09.18 11:00:00,2568.673,2571.993,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9967.51,3.58
