server_time,event,detail,bias,zone_dir,zone_origin,zone_created,zone_low,zone_high,touch_time,held_at,hold_extreme,m5_high_time,m5_high,m5_low_time,m5_low,entry,stop,target,lots,risk_cash,equity,entry_spread_cost
2021.09.05 00:00:00,init,tester-only; self-tests passed; frozen rules v1,0,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.05 22:05:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.06 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.07 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.07 01:00:00,zone,H1 high-low-break,1,1,2021.09.06 13:00:00,2021.09.07 01:00:00,1821.738,1824.161,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.07 03:20:00,touch,first completed M5 touch,1,1,2021.09.06 13:00:00,2021.09.07 01:00:00,1821.738,1824.161,2021.09.07 03:15:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.07 03:30:00,held,at least two rejection wicks in completed holding window,1,1,2021.09.06 13:00:00,2021.09.07 01:00:00,1821.738,1824.161,2021.09.07 03:15:00,2021.09.07 03:30:00,1823.89,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.07 04:50:00,invalidate,M5 close through far edge,1,1,2021.09.06 13:00:00,2021.09.07 01:00:00,1821.738,1824.161,2021.09.07 03:15:00,2021.09.07 03:30:00,1823.89,2021.09.07 04:30:00,1822.69,2021.09.07 04:30:00,1821.133,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.08 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.08 01:00:00,zone,H1 high-low-break,1,1,2021.09.07 18:00:00,2021.09.08 01:00:00,1796.129,1798.143,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.08 01:05:00,touch,first completed M5 touch,1,1,2021.09.07 18:00:00,2021.09.08 01:00:00,1796.129,1798.143,2021.09.08 01:00:00,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.08 02:00:00,held,at least two rejection wicks in completed holding window,1,1,2021.09.07 18:00:00,2021.09.08 01:00:00,1796.129,1798.143,2021.09.08 01:00:00,2021.09.08 02:00:00,1797.89,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2021.09.08 02:40:00,signal,confirmed M5 high-low-high break,1,1,2021.09.07 18:00:00,2021.09.08 01:00:00,1796.129,1798.143,2021.09.08 01:00:00,2021.09.08 02:00:00,1797.89,2021.09.08 02:25:00,1800.076,2021.09.08 02:30:00,1799.15,1800.381,1799.149,1802.845,0.82,101.024,10000.0,15.33
2021.09.08 02:40:00,accepted,2,1,1,2021.09.07 18:00:00,2021.09.08 01:00:00,1796.129,1798.143,2021.09.08 01:00:00,2021.09.08 02:00:00,1797.89,2021.09.08 02:25:00,1800.076,2021.09.08 02:30:00,1799.15,1800.381,1799.149,1802.845,0.82,101.024,9980.16,15.33
2021.09.08 02:40:00,fill,2,1,1,2021.09.07 18:00:00,2021.09.08 01:00:00,1796.129,1798.143,2021.09.08 01:00:00,2021.09.08 02:00:00,1797.89,2021.09.08 02:25:00,1800.076,2021.09.08 02:30:00,1799.15,1800.381,1799.149,1802.845,0.82,0.0,9980.16,15.33
2021.09.08 03:13:40,exit,4,1,1,2021.09.07 18:00:00,2021.09.08 01:00:00,1796.129,1798.143,2021.09.08 01:00:00,2021.09.08 02:00:00,1797.89,2021.09.08 02:25:00,1800.076,2021.09.08 02:30:00,1799.15,1799.149,0.0,0.0,0.82,0.0,9894.47,15.33
2021.09.08 06:05:00,invalidate,M5 close through far edge,1,1,2021.09.07 18:00:00,2021.09.08 01:00:00,1796.129,1798.143,2021.09.08 01:00:00,2021.09.08 02:00:00,1797.89,2021.09.08 02:25:00,1800.076,2021.09.08 02:30:00,1799.15,0.0,0.0,0.0,0.0,0.0,9894.47,15.33
2021.09.09 00:00:00,bias,last fourteen completed daily candles,1,0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9894.47,15.33
