risk_pct,strategy_mode,note_point_to_price,target_rr,effective_target_rr,max_target_rr,trailing_enabled,risk_progression_enabled,risk_progression_multiplier,risk_progression_max_pct,pending_mode,s2a_entry_model,s2b_entry_model,runner_trail_bars,runner_buffer_points,slippage_price,max_spread_price,trades,wins,losses,breakeven,win_rate,profit_factor,expectancy_r,net_r,net_profit,ending_balance,max_drawdown_pct,max_consecutive_losses,score
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,MID_LOW_PAIR,1,5.0,0.15,1.5,104,28,76,0,26.923076923076923,0.8464479641118413,-0.032816305783808675,-3.4128958015161017,-353.3981428699044,9646.601857130096,7.265409632878818,11,0.1485155153565641
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,MID_LOW_PAIR,1,5.0,0.15,1.5,104,28,76,0,26.923076923076923,0.8464479641118413,-0.032816305783808675,-3.4128958015161017,-353.3981428699044,9646.601857130096,7.265409632878818,11,0.1485155153565641
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,MID_LOW_PAIR,2,5.0,0.15,1.5,104,28,76,0,26.923076923076923,0.843014342539248,-0.033686771310306014,-3.503424216271825,-362.1641702473644,9637.835829752636,7.270144499349189,11,0.13596810904941264
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,MID_LOW_PAIR,2,5.0,0.15,1.5,104,28,76,0,26.923076923076923,0.843014342539248,-0.033686771310306014,-3.503424216271825,-362.1641702473644,9637.835829752636,7.270144499349189,11,0.13596810904941264
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,MID_LOW_PAIR,1,5.0,0.15,1.5,104,26,78,0,25.0,0.7661543651106227,-0.03498764968279779,-3.6387155670109705,-363.8314148583777,9636.168585141622,6.287436063609511,16,0.09497714499547855
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,MID_LOW_PAIR,1,5.0,0.15,1.5,104,26,78,0,25.0,0.7661543651106227,-0.03498764968279779,-3.6387155670109705,-363.8314148583777,9636.168585141622,6.287436063609511,16,0.09497714499547855
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,MID_LOW_PAIR,2,5.0,0.15,1.5,104,26,78,0,25.0,0.7617227401960761,-0.03585811520929513,-3.7292439817666945,-372.5879613482339,9627.412038651766,6.29222086370497,16,0.08142923866511942
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,MID_LOW_PAIR,2,5.0,0.15,1.5,104,26,78,0,25.0,0.7617227401960761,-0.03585811520929513,-3.7292439817666945,-372.5879613482339,9627.412038651766,6.29222086370497,16,0.08142923866511942
1.0,S2A,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,CLOSE_PLUS_50,1,5.0,0.15,1.5,45,12,33,0,26.666666666666668,0.6452095374967183,-0.08098769246468082,-3.6444461609106353,-362.2803091578953,9637.719690842105,5.729529446765963,8,-0.1845488919172013
1.0,S2A,1.0,3.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,CLOSE_PLUS_50,1,5.0,0.15,1.5,45,12,33,0,26.666666666666668,0.6452095374967183,-0.08098769246468082,-3.6444461609106353,-362.2803091578953,9637.719690842105,5.729529446765963,8,-0.1845488919172013
1.0,S2A,1.0,2.0,1.7,1.7,True,False,1.6,5.0,BOTH,REFERENCE_PAIR,CLOSE_PLUS_50,1,5.0,0.15,1.5,45,11,34,0,24.444444444444443,0.7273272166372409,-0.0913975842706514,-4.112891292179312,-414.88346253659256,9585.116537463407,6.975029577739825,8,-0.23453789647507656
1.0,S2A,1.0,3.0,1.7,1.7,True,False,1.6,5.0,BOTH,REFERENCE_PAIR,CLOSE_PLUS_50,1,5.0,0.15,1.5,45,11,34,0,24.444444444444443,0.7273272166372409,-0.0913975842706514,-4.112891292179312,-414.88346253659256,9585.116537463407,6.975029577739825,8,-0.23453789647507656
1.0,S2B,0.1,2.0,1.7,1.7,True,False,1.6,5.0,BOTH,REFERENCE_PAIR,MID_LOW_PAIR,1,5.0,0.15,1.5,51,19,32,0,37.254901960784316,0.7939260203353955,-0.10463633729352591,-5.336453201969821,-544.546631334666,9455.453368665334,8.584208603913975,9,-0.3825373236668877
1.0,S2B,0.1,3.0,1.7,1.7,True,False,1.6,5.0,BOTH,REFERENCE_PAIR,MID_LOW_PAIR,1,5.0,0.15,1.5,51,19,32,0,37.254901960784316,0.7939260203353955,-0.10463633729352591,-5.336453201969821,-544.546631334666,9455.453368665334,8.584208603913975,9,-0.3825373236668877
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,72,17,55,0,23.61111111111111,0.7085966367465806,-0.08371907618042956,-6.027773484990929,-600.897081416877,9399.102918583123,9.543795339797198,9,-0.47897304802553814
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,72,17,55,0,23.61111111111111,0.7085966367465806,-0.08371907618042956,-6.027773484990929,-600.897081416877,9399.102918583123,9.543795339797198,9,-0.47897304802553814
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,72,17,55,0,23.61111111111111,0.7085966367465806,-0.08371907618042956,-6.027773484990929,-600.897081416877,9399.102918583123,9.543795339797198,9,-0.47897304802553814
1.0,ALL,1.0,3.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,CLOSE_PLUS_50,1,5.0,0.15,1.5,72,17,55,0,23.61111111111111,0.7085966367465806,-0.08371907618042956,-6.027773484990929,-600.897081416877,9399.102918583123,9.543795339797198,9,-0.47897304802553814
1.0,S2B,0.1,2.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,MID_LOW_PAIR,1,5.0,0.15,1.5,51,14,37,0,27.450980392156865,0.6636945087926513,-0.11147976431951492,-5.685467980295261,-560.8207163946499,9439.17928360535,6.992464774159762,11,-0.4820534880339776
1.0,S2B,0.1,3.0,1.7,1.7,True,False,1.6,5.0,OCO,REFERENCE_PAIR,MID_LOW_PAIR,1,5.0,0.15,1.5,51,14,37,0,27.450980392156865,0.6636945087926513,-0.11147976431951492,-5.685467980295261,-560.8207163946499,9439.17928360535,6.992464774159762,11,-0.4820534880339776
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,OCO,DIRECT,CLOSE_PLUS_50,2,5.0,0.15,1.5,72,17,55,0,23.61111111111111,0.7055090077226277,-0.08497641527425907,-6.118301899746653,-609.4382023968974,9390.561797603103,9.625994395822927,9,-0.49683950584475106
1.0,ALL,1.0,2.0,1.7,1.7,True,False,1.6,5.0,BOTH,DIRECT,CLOSE_PLUS_50,2,5.0,0.15,1.5,72,17,55,0,23.61111111111111,0.7055090077226277,-0.08497641527425907,-6.118301899746653,-609.4382023968974,9390.561797603103,9.625994395822927,9,-0.49683950584475106
