symbol,ny_date,setup,order_kind,entry_time,exit_time,entry,stop,exit_price,target,risk_share,r_multiple,reason
XAUUSD..,2025-08-04,S2B,SELL_LIMIT,2025-08-04 14:00:00+00:00,2025-08-04 14:14:00+00:00,3357.45,3457.6,3363.97,3187.6,0.5,-0.06510234648027934,BODY_INVALIDATION
XAUUSD..,2025-08-05,S2B,SELL_LIMIT,2025-08-05 15:19:00+00:00,2025-08-05 16:44:00+00:00,3355.235,3455.385,3376.93,3185.385,0.5,-0.21662506240638732,BODY_INVALIDATION
XAUUSD..,2025-08-05,S2B,SELL_STOP,2025-08-05 14:00:00+00:00,2025-08-05 16:44:00+00:00,3352.72,3452.87,3376.93,3182.87,0.5,-0.24173739390913643,BODY_INVALIDATION
XAUUSD..,2025-08-07,S2B,SELL_LIMIT,2025-08-07 14:08:00+00:00,2025-08-07 19:59:00+00:00,3374.315,3474.465,3389.03,3204.465,0.5,-0.1469296055916139,SESSION_EXIT
XAUUSD..,2025-08-11,S2B,SELL_STOP,2025-08-11 14:00:00+00:00,2025-08-11 19:59:00+00:00,3358.0499999999997,3458.2,3344.32,3188.2,0.5,0.13709435846230206,SESSION_EXIT
XAUUSD..,2025-08-12,S2B,SELL_LIMIT,2025-08-12 14:41:00+00:00,2025-08-12 19:59:00+00:00,3345.1699999999996,3445.3199999999997,3349.7,3175.3199999999997,0.5,-0.045232151772343444,SESSION_EXIT
XAUUSD..,2025-08-12,S2B,SELL_STOP,2025-08-12 14:00:00+00:00,2025-08-12 19:59:00+00:00,3343.7599999999998,3443.91,3349.7,3173.91,0.5,-0.05931103344982575,SESSION_EXIT
XAUUSD..,2025-08-15,S2B,SELL_LIMIT,2025-08-15 14:01:00+00:00,2025-08-15 19:59:00+00:00,3338.18,3438.33,3338.38,3168.33,0.5,-0.0019970044932628326,SESSION_EXIT
XAUUSD..,2025-08-15,S2B,SELL_STOP,2025-08-15 15:31:00+00:00,2025-08-15 19:59:00+00:00,3336.06,3436.21,3338.38,3166.21,0.5,-0.02316525212181889,SESSION_EXIT
XAUUSD..,2025-08-18,S2B,SELL_LIMIT,2025-08-18 14:02:00+00:00,2025-08-18 19:59:00+00:00,3347.825,3447.975,3334.48,3177.975,0.5,0.1332501248127787,SESSION_EXIT
