trades,wins,losses,timeouts,win_rate,net_r,start_balance,final_balance,level,target_balance,target_reached,target_reached_at,max_drawdown_pct,min_balance,symbol
23,13,10,0,56.52,6.95,20.0,44.31,4,52399.91,False,,72.95,9.14,XAUUSD
21,10,8,3,47.62,3.19,20.0,21.93,1,52399.91,False,,50.82,15.16,US30
