entry_time_utc,exit_time_utc,direction,poc,vah,val,entry,initial_stop,target,exit_reason,r_multiple,balance
2022-04-27 16:00:00+00:00,2022-04-29 19:47:00+00:00,long,34476.99375,34960.75,33139.55,33545.725,33120.2,34960.75,stop,-1.0012337700487668,9899.876622995123
2022-05-16 12:00:00+00:00,2022-05-16 13:44:00+00:00,long,33587.35625,34564.925,32102.9,32167.675000000003,32079.15,34564.925,stop,-1.0059305280994233,9800.290741800238
2022-05-16 16:00:00+00:00,2022-05-18 15:18:00+00:00,long,33587.35625,34564.925,32102.9,32265.925000000003,31945.95,34564.925,stop,-1.001640753183847,9702.127035799862
2022-05-24 20:00:00+00:00,2022-06-10 14:03:00+00:00,long,33577.8984375,34378.884375,31861.5,31949.475000000002,31533.95,34378.884375,stop,-1.00126346188557,9604.983182764676
2022-06-24 16:00:00+00:00,2022-06-30 05:25:00+00:00,long,32917.114453125,34700.19140625,31134.0375,31350.475000000002,30894.95,34700.19140625,stop,-1.0011525163273178,9508.822651937611
2022-07-05 16:00:00+00:00,2022-07-14 10:50:00+00:00,long,32917.114453125,33694.353125,30493.95859375,30532.925000000003,30374.4,33694.353125,stop,-1.0033117804762748,9413.419514086125
2022-07-15 16:00:00+00:00,2022-08-05 11:15:00+00:00,long,32917.114453125,33694.353125,30768.278125,31208.475000000002,30677.95,33694.353125,time,2.90457565618961,9686.839405707271
2022-09-23 04:00:00+00:00,2022-09-23 04:05:00+00:00,long,31226.8328125,32542.168749999997,30046.403125,30050.475000000002,30039.95,32542.168749999997,stop,-1.0498812351545257,9585.139096507197
2022-10-14 04:00:00+00:00,2022-10-14 08:47:00+00:00,long,31852.317187499997,34207.090625,30208.41875,30273.475000000002,30006.95,34207.090625,stop,-1.001969796454372,9489.098897812055
2022-10-17 16:00:00+00:00,2022-11-07 11:52:00+00:00,long,31852.317187499997,34207.090625,30119.559375,30195.475000000002,29946.95,34207.090625,time,9.805653354793211,10419.56704222501
2023-03-03 20:00:00+00:00,2023-03-07 16:25:00+00:00,long,33764.238671875,34323.5875,33166.3140625,33357.025,33111.9,34323.5875,stop,-1.0021417644059212,10315.148209224599
