symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,avg_lot,avg_actual_risk,max_trades_per_day,risk_mode,fixed_lot,risk_usd_cap,risk_usd_offset
AUDUSD,AUDUSDm,M1,TREND,3,1.2,1.0/1.5/3.0,ALL,4397,2201,2195,50.06,300.0,394.67,94.67,31.56,97.06,1.0,0.024,0.666,28.06,3,RISK_PERCENT,0.01,12.0,0.5
XAUUSD,XAUUSDm,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,3368,1672,1696,49.64,300.0,-212.56,-512.56,-170.85,253.64,0.96,-0.006,0.015,9.16,3,RISK_PERCENT,0.01,12.0,0.5
GBPCHF,GBPCHFm,M5,OFF,7,2.0,1.0/2.0/3.0,ALL,2437,1259,1176,51.66,300.0,278.11,-21.89,-7.3,81.29,1.0,0.017,0.057,7.97,2,RISK_PERCENT,0.01,12.0,0.5
AUDCAD,AUDCADm,M1,RSI_EXTREME,7,2.0,1.0/2.0/3.0,ALL,1524,780,742,51.18,300.0,757.16,457.16,152.39,80.86,1.02,0.038,0.849,29.07,1,RISK_PERCENT,0.01,12.0,0.5
XAGUSD,XAGUSDm,M1,OFF,5,2.0,1.0/2.0/3.0,NY_OPEN,3107,1586,1516,51.05,300.0,3995.56,3695.56,1231.85,86.45,1.05,0.043,0.19,50.82,3,RISK_PERCENT,0.01,12.0,0.5
