policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model
production_current,LTA,XAUUSD,M15,2026-05,2026-05-28 17:15:00,2026-05-28 17:45:00,SELL,4502.156,4520.583003,6.0,4508.706,smart_exit,-0.3556,98,14.666571,0.0002,280.0,0.8646,,"live_adaptive(vol=1.09,volume=0.65)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,XAUUSD,M15,2026-05,2026-05-29 01:00:00,2026-05-29 12:15:00,BUY,4514.784,4488.21581,6.0,4522.203,smart_exit,0.2791,98,6.447929,0.0001,280.0,0.2083,,"live_adaptive(vol=0.83,volume=2.30)",static,Entry Model 2 - Internal Swing Confirmation
production_current,LTA,XAUUSD,M15,2026-05,2026-05-29 01:45:00,2026-05-29 12:15:00,BUY,4506.564,4490.76396,6.0,4522.36404,trail_stop,0.9998,98,7.560286,0.0002,280.0,0.2292,,"live_adaptive(vol=0.98,volume=1.71)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,XAUUSD,M15,2026-06,2026-06-02 07:30:00,2026-06-02 08:00:00,SELL,4531.813,4543.379415,6.0,4534.922,smart_exit,-0.269,99,7.600071,0.0002,280.0,0.3438,,"live_adaptive(vol=1.00,volume=0.78)",static,Entry Model 3 - Confirmation of Internal Structure
production_current,LTA,XAUUSD,M15,2026-06,2026-06-03 07:45:00,2026-06-03 10:00:00,SELL,4453.345,4473.67659,6.0,4462.809,smart_exit,-0.4656,95,9.570571,0.0001,280.0,0.9062,,"live_adaptive(vol=1.35,volume=1.08)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,XAUUSD,M15,2026-06,2026-06-04 14:00:00,2026-06-05 00:30:00,SELL,4487.819,4522.133831,6.0,4463.264,smart_exit,0.7155,100,12.913143,0.0001,280.0,0.9583,,"live_adaptive(vol=1.62,volume=2.18)",static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
production_current,LTA,XAUUSD,M15,2026-06,2026-06-05 06:00:00,2026-06-05 06:45:00,SELL,4436.558,4451.0146,6.0,4451.0146,loss,-1.0002,90,6.964,0.0002,280.0,0.2604,,"live_adaptive(vol=1.04,volume=1.60)",static,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation
production_current,LTA,XAUUSD,M15,2026-06,2026-06-09 17:45:00,2026-06-09 18:15:00,SELL,4262.959,4297.633951,6.0,4271.021,smart_exit,-0.2326,96,17.677357,0.0001,260.0,0.9271,,"live_adaptive(vol=1.87,volume=0.69)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,XAUUSD,M15,2026-06,2026-06-22 10:30:00,2026-06-22 11:45:00,SELL,4208.625,4218.724929,6.0,4207.37,smart_exit,0.124,91,6.657214,0.0003,260.0,0.0521,,"live_adaptive(vol=0.91,volume=0.72)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,XAGUSD,M15,2026-05,2026-05-28 03:00:00,2026-05-28 04:45:00,SELL,72.988,74.084,1.0,71.892,win,0.9997,91,0.38,0.0003,30.0,0.7292,,"live_adaptive(vol=1.58,volume=2.57)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,XAGUSD,M15,2026-05,2026-05-28 17:15:00,2026-05-28 17:45:00,SELL,75.574,76.091821,1.0,75.887,smart_exit,-0.605,98,0.430714,0.0006,30.0,0.8438,,"live_adaptive(vol=0.95,volume=0.72)",static,Entry Model 1 - Double Wick Confirmation
production_current,LTA,XAGUSD,M15,2026-05,2026-05-28 20:15:00,2026-05-29 00:00:00,BUY,75.658,75.410393,1.0,75.905607,win,0.9988,100,0.174786,0.0012,30.0,0.1354,,"live_adaptive(vol=0.55,volume=0.34)",static,Entry Model 2 - Internal Swing Confirmation
production_current,LTA,XAGUSD,M15,2026-06,2026-06-02 01:30:00,2026-06-02 02:00:00,SELL,75.343,76.317552,1.0,75.063,smart_exit,0.287,98,0.294929,0.0003,30.0,0.4896,,"live_adaptive(vol=1.28,volume=3.74)",static,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation
production_current,LTA,XAGUSD,M15,2026-06,2026-06-02 08:15:00,2026-06-02 09:30:00,SELL,76.747,77.244753,1.0,76.249247,win,0.9994,90,0.315714,0.0006,30.0,0.5417,,"live_adaptive(vol=1.06,volume=0.89)",static,Entry Model 1 - Double Wick Confirmation
