starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,max_drawdown_pct,skipped_guardrail,skipped_same_symbol_overlap,policy
300.0,703.12,403.12,134.37,20,14,6,70.0,19.29,10.0,1,5,fixed_current
300.0,611.89,311.89,103.96,20,9,11,45.0,16.44,10.0,0,6,dynamic_score
300.0,597.06,297.06,99.02,20,9,11,45.0,15.84,10.0,1,5,dynamic_aggressive
300.0,528.04,228.04,76.01,20,9,11,45.0,12.84,10.0,0,6,dynamic_balanced
300.0,466.19,166.19,55.4,20,9,11,45.0,9.84,10.0,1,5,dynamic_conservative
300.0,452.5,152.5,50.83,21,12,9,57.14,9.04,10.0,1,4,challenge20_current
300.0,397.92,97.92,32.64,21,7,14,33.33,7.06,10.01,0,5,dynamic_capped
300.0,282.68,-17.32,-5.77,23,12,11,52.17,-0.95,11.65,1,2,production_current
