policy,bot,symbol,month,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,XAGUSD,2026-05,3,1,1,1,0,33.33,0.3,0.101,1.3,1.3
challenge20_current,LTA,XAGUSD,2026-06,14,7,4,2,1,50.0,5.82,0.416,2.45,1.3
challenge20_current,LTA,XAUUSD,2026-05,3,1,1,1,0,33.33,0.3,0.101,1.3,1.3
challenge20_current,LTA,XAUUSD,2026-06,6,4,2,0,0,66.67,3.22,0.536,2.61,1.3
dynamic_aggressive,LTA,XAGUSD,2026-05,3,0,1,2,0,0.0,-0.0,-0.001,1.0,5.67
dynamic_aggressive,LTA,XAGUSD,2026-06,14,0,4,8,2,0.0,4.84,0.346,2.21,5.36
dynamic_aggressive,LTA,XAUUSD,2026-05,3,0,1,2,0,0.0,-0.0,-0.0,1.0,5.33
dynamic_aggressive,LTA,XAUUSD,2026-06,6,3,2,1,0,50.0,12.0,2.0,7.0,4.67
dynamic_balanced,LTA,XAGUSD,2026-05,3,0,1,2,0,0.0,-0.0,-0.001,1.0,4.0
dynamic_balanced,LTA,XAGUSD,2026-06,14,0,4,8,2,0.0,4.84,0.346,2.21,3.86
dynamic_balanced,LTA,XAUUSD,2026-05,3,0,1,2,0,0.0,-0.0,-0.0,1.0,4.33
dynamic_balanced,LTA,XAUUSD,2026-06,6,3,2,1,0,50.0,9.0,1.5,5.5,3.67
dynamic_capped,LTA,XAGUSD,2026-05,3,0,1,2,0,0.0,-0.0,-0.001,1.0,4.0
dynamic_capped,LTA,XAGUSD,2026-06,14,0,5,8,1,0.0,2.06,0.147,1.41,3.86
dynamic_capped,LTA,XAUUSD,2026-05,3,0,2,1,0,0.0,-1.0,-0.334,0.5,4.33
dynamic_capped,LTA,XAUUSD,2026-06,6,2,2,2,0,33.33,7.0,1.166,4.5,3.67
dynamic_conservative,LTA,XAGUSD,2026-05,3,0,1,2,0,0.0,-0.0,-0.001,1.0,2.67
dynamic_conservative,LTA,XAGUSD,2026-06,14,2,4,6,2,14.29,5.84,0.417,2.46,2.71
dynamic_conservative,LTA,XAUUSD,2026-05,3,0,1,2,0,0.0,-0.0,-0.0,1.0,2.67
dynamic_conservative,LTA,XAUUSD,2026-06,6,3,2,1,0,50.0,5.0,0.833,3.5,2.5
dynamic_score,LTA,XAGUSD,2026-05,3,0,1,2,0,0.0,-0.0,-0.001,1.0,4.67
dynamic_score,LTA,XAGUSD,2026-06,14,0,4,8,2,0.0,4.84,0.346,2.21,4.57
dynamic_score,LTA,XAUUSD,2026-05,3,0,1,2,0,0.0,-0.0,-0.0,1.0,5.67
dynamic_score,LTA,XAUUSD,2026-06,6,2,2,1,1,33.33,12.6,2.099,7.3,4.17
fixed_current,LTA,XAGUSD,2026-05,3,2,1,0,0,66.67,1.0,0.332,2.0,1.0
fixed_current,LTA,XAGUSD,2026-06,14,9,4,0,1,64.29,5.69,0.407,2.42,1.0
fixed_current,LTA,XAUUSD,2026-05,3,0,1,2,0,0.0,-0.0,-0.0,1.0,6.0
fixed_current,LTA,XAUUSD,2026-06,6,1,2,2,1,16.67,11.6,1.933,6.8,6.0
production_current,LTA,XAGUSD,2026-05,3,2,0,0,0,66.67,1.39,0.464,3.3,1.0
production_current,LTA,XAGUSD,2026-06,14,2,1,0,0,14.29,-0.82,-0.059,0.79,1.0
production_current,LTA,XAUUSD,2026-05,3,0,0,1,0,0.0,0.92,0.308,3.6,6.0
production_current,LTA,XAUUSD,2026-06,6,0,1,0,0,0.0,-1.13,-0.188,0.43,6.0
