policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,XAGUSD,17,8,5,3,1,47.06,6.12,0.36,2.22,1.3
challenge20_current,LTA,XAUUSD,9,5,3,1,0,55.56,3.52,0.391,2.17,1.3
dynamic_aggressive,LTA,XAGUSD,17,0,5,10,2,0.0,4.84,0.284,1.97,5.41
dynamic_aggressive,LTA,XAUUSD,9,3,3,3,0,33.33,12.0,1.333,5.0,4.89
dynamic_balanced,LTA,XAGUSD,17,0,5,10,2,0.0,4.84,0.285,1.97,3.88
dynamic_balanced,LTA,XAUUSD,9,3,3,3,0,33.33,9.0,1.0,4.0,3.89
dynamic_capped,LTA,XAGUSD,17,0,6,10,1,0.0,2.06,0.121,1.34,3.88
dynamic_capped,LTA,XAUUSD,9,2,4,3,0,22.22,6.0,0.666,2.5,3.89
dynamic_conservative,LTA,XAGUSD,17,2,5,8,2,11.76,5.84,0.343,2.17,2.71
dynamic_conservative,LTA,XAUUSD,9,3,3,3,0,33.33,5.0,0.555,2.67,2.56
dynamic_score,LTA,XAGUSD,17,0,5,10,2,0.0,4.84,0.285,1.97,4.59
dynamic_score,LTA,XAUUSD,9,2,3,3,1,22.22,12.59,1.399,5.2,4.67
fixed_current,LTA,XAGUSD,17,11,5,0,1,64.71,6.69,0.393,2.34,1.0
fixed_current,LTA,XAUUSD,9,1,3,4,1,11.11,11.59,1.288,4.86,6.0
production_current,LTA,XAGUSD,17,4,1,0,0,23.53,0.57,0.033,1.12,1.0
production_current,LTA,XAUUSD,9,0,1,1,0,0.0,-0.2,-0.023,0.91,6.0
