policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,141,44,30,14,0,31.21,9.6,0.068,1.19,1.3
dynamic_aggressive,138,4,63,71,0,2.9,-5.46,-0.04,0.91,5.48
dynamic_balanced,139,9,67,63,0,6.47,-7.56,-0.054,0.89,4.17
dynamic_capped,137,9,61,67,0,6.57,2.63,0.019,1.04,4.17
dynamic_conservative,138,22,60,56,0,15.94,7.68,0.056,1.13,2.73
dynamic_score,139,4,67,68,0,2.88,-11.56,-0.083,0.83,4.99
fixed_current,134,0,59,75,0,0.0,5.59,0.042,1.09,6.0
production_current,141,0,30,46,0,0.0,-0.85,-0.006,0.98,6.0
