policy,bot,symbol,month,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_balanced,ORB,XAUUSD,2026-06,19,2,8,9,0,10.53,0.99,0.052,1.12,3.74
dynamic_capped,LTA,BTCUSD,2026-05,4,1,0,3,0,25.0,6.0,1.5,6.0,4.0
dynamic_capped,LTA,BTCUSD,2026-06,16,0,11,5,0,0.0,-10.0,-0.625,0.09,4.38
dynamic_capped,LTA,EURUSD,2026-05,1,0,0,1,0,0.0,-0.09,-0.087,0.0,4.0
dynamic_capped,LTA,EURUSD,2026-06,3,1,1,1,0,33.33,3.78,1.259,4.48,4.33
dynamic_capped,LTA,US30,2026-06,7,0,4,3,0,0.0,0.75,0.108,1.18,4.29
dynamic_capped,LTA,XAGUSD,2026-05,1,0,1,0,0,0.0,-1.0,-1.001,0.0,4.0
dynamic_capped,LTA,XAGUSD,2026-06,10,0,5,5,0,0.0,-2.01,-0.201,0.6,4.2
dynamic_capped,LTA,XAUUSD,2026-06,10,1,7,2,0,10.0,-1.0,-0.1,0.86,4.3
dynamic_capped,ORB,BTCUSD,2026-05,4,0,2,2,0,0.0,-2.0,-0.5,0.0,3.75
dynamic_capped,ORB,BTCUSD,2026-06,20,2,8,10,0,10.0,3.0,0.15,1.37,4.3
dynamic_capped,ORB,US30,2026-05,2,0,1,1,0,0.0,-1.13,-0.565,0.0,4.5
dynamic_capped,ORB,US30,2026-06,15,0,8,7,0,0.0,-5.64,-0.376,0.34,3.93
dynamic_capped,ORB,XAGUSD,2026-05,3,0,1,2,0,0.0,-1.01,-0.335,0.0,4.67
dynamic_capped,ORB,XAGUSD,2026-06,19,3,3,13,0,15.79,12.98,0.683,5.31,4.26
dynamic_capped,ORB,XAUUSD,2026-05,3,0,2,1,0,0.0,-2.0,-0.667,0.0,4.67
dynamic_capped,ORB,XAUUSD,2026-06,19,1,7,11,0,5.26,1.99,0.105,1.28,3.74
dynamic_conservative,LTA,BTCUSD,2026-05,4,1,0,3,0,25.0,5.0,1.25,5.0,2.75
dynamic_conservative,LTA,BTCUSD,2026-06,16,0,11,5,0,0.0,-9.0,-0.563,0.18,2.94
dynamic_conservative,LTA,EURUSD,2026-05,1,0,0,1,0,0.0,-0.06,-0.065,0.0,3.0
dynamic_conservative,LTA,EURUSD,2026-06,4,1,1,2,0,25.0,2.72,0.679,3.37,3.0
dynamic_conservative,LTA,US30,2026-06,7,2,4,1,0,28.57,1.75,0.251,1.42,3.0
dynamic_conservative,LTA,XAGUSD,2026-05,1,0,1,0,0,0.0,-1.0,-1.001,0.0,3.0
dynamic_conservative,LTA,XAGUSD,2026-06,10,1,5,4,0,10.0,-1.01,-0.101,0.8,2.7
dynamic_conservative,LTA,XAUUSD,2026-06,10,2,7,1,0,20.0,-2.0,-0.2,0.71,2.7
dynamic_conservative,ORB,BTCUSD,2026-05,4,0,2,2,0,0.0,-2.0,-0.5,0.0,2.5
dynamic_conservative,ORB,BTCUSD,2026-06,20,4,7,9,0,20.0,4.0,0.2,1.57,2.75
dynamic_conservative,ORB,US30,2026-05,2,0,1,1,0,0.0,-1.11,-0.555,0.0,3.0
dynamic_conservative,ORB,US30,2026-06,15,0,8,7,0,0.0,-6.57,-0.438,0.22,2.67
dynamic_conservative,ORB,XAGUSD,2026-05,3,0,1,2,0,0.0,-1.01,-0.335,0.0,3.0
dynamic_conservative,ORB,XAGUSD,2026-06,19,5,3,11,0,26.32,11.98,0.63,4.98,2.68
dynamic_conservative,ORB,XAUUSD,2026-05,3,0,2,1,0,0.0,-2.0,-0.667,0.0,3.0
dynamic_conservative,ORB,XAUUSD,2026-06,19,6,7,6,0,31.58,7.99,0.421,2.14,2.42
dynamic_score,LTA,BTCUSD,2026-05,4,0,0,4,0,0.0,5.0,1.25,5.0,3.75
dynamic_score,LTA,BTCUSD,2026-06,16,0,11,5,0,0.0,-9.0,-0.563,0.18,4.44
dynamic_score,LTA,EURUSD,2026-05,1,0,0,1,0,0.0,-0.06,-0.065,0.0,3.0
dynamic_score,LTA,EURUSD,2026-06,4,1,1,2,0,25.0,2.72,0.679,3.37,4.25
dynamic_score,LTA,US30,2026-06,7,1,4,2,0,14.29,1.75,0.251,1.42,3.86
dynamic_score,LTA,XAGUSD,2026-05,1,0,1,0,0,0.0,-1.0,-1.001,0.0,3.0
dynamic_score,LTA,XAGUSD,2026-06,10,0,5,5,0,0.0,-2.01,-0.201,0.6,4.4
dynamic_score,LTA,XAUUSD,2026-06,10,1,7,2,0,10.0,-2.0,-0.2,0.71,4.5
dynamic_score,ORB,BTCUSD,2026-05,4,0,2,2,0,0.0,-2.0,-0.5,0.0,5.0
dynamic_score,ORB,BTCUSD,2026-06,20,0,10,10,0,0.0,1.0,0.05,1.1,5.7
dynamic_score,ORB,EURUSD,2026-06,1,0,1,0,0,0.0,-1.09,-1.093,0.0,4.0
dynamic_score,ORB,US30,2026-05,2,0,1,1,0,0.0,-1.14,-0.568,0.0,5.5
dynamic_score,ORB,US30,2026-06,15,0,8,7,0,0.0,-6.69,-0.446,0.21,5.27
dynamic_score,ORB,XAGUSD,2026-05,3,0,1,2,0,0.0,-1.01,-0.335,0.0,6.0
dynamic_score,ORB,XAGUSD,2026-06,19,1,5,13,0,5.26,5.97,0.314,2.19,5.53
