starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,timeframe
300.0,332.53,32.53,10.84,10,6,4,60.0,2.3,0.2298,0.0211,8.89,M15
300.0,344.6,44.6,14.87,9,6,3,66.67,2.99,0.3319,0.0118,6.31,M30
