period,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor
3y,ROD-main,-4.8384,0.85,46.73,8.11,597,-4.83,-0.6
3y,ONFH,-5.3074,0.84,47.91,8.9,597,-5.0,-0.6
3y,agreement,-3.274,0.86,48.21,6.88,446,-4.31,-0.48
1y,ROD-main,1.7126,1.19,50.5,2.07,200,4.95,0.82
1y,ONFH,1.1484999999999999,1.13,55.0,3.24,200,3.3,0.35
1y,agreement,1.6153,1.23,54.09,2.41,159,5.77,0.67
