period,symbol,market,paper_direct,return_pct,net_profit,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,expected_payoff,history_quality
3y,XAUUSD,Gold,True,-1.8322999999999998,-183.23,0.81,48.78,2.22,449,-5.0,-0.82,-0.41,98%
3y,XAGUSD,Silver,True,-13.115599999999999,-1311.56,0.21,29.81,13.2,520,-5.0,-0.99,-2.52,98%
3y,EURUSD,Euro FX,True,-8.679400000000001,-867.94,0.6,43.54,9.0,774,-5.0,-0.96,-1.12,100%
3y,GBPUSD,British pound,True,-9.530800000000001,-953.08,0.57,42.19,9.92,775,-5.0,-0.96,-1.23,100%
3y,GBPJPY,GBPJPY cross extension,False,-11.2598,-1125.98,0.52,42.97,11.38,775,-5.0,-0.99,-1.45,100%
3y,US30,Dow Jones,True,-6.6339999999999995,-663.4,0.7,46.22,7.4,450,-5.0,-0.89,-1.47,98%
1y,XAUUSD,Gold,True,-0.3281,-32.81,0.74,51.85,0.55,54,-5.0,-0.59,-0.61,99%
1y,XAGUSD,Silver,True,0.15330000000000002,15.33,1.21,48.72,0.36,39,5.78,0.43,0.39,99%
1y,EURUSD,Euro FX,True,-3.1991000000000005,-319.91,0.6,40.7,3.37,258,-5.0,-0.95,-1.24,100%
1y,GBPUSD,British pound,True,-4.0761,-407.61,0.49,40.15,4.21,259,-5.0,-0.97,-1.57,100%
1y,GBPJPY,GBPJPY cross extension,False,-4.3776,-437.76,0.46,42.47,4.42,259,-5.0,-0.99,-1.69,100%
1y,US30,Dow Jones,True,-2.8579000000000003,-285.79,0.59,44.08,3.4,152,-5.0,-0.84,-1.88,100%
