time,open,high,low,close,tick_volume,spread,real_volume
2023-11-08 02:15:00+00:00,1969.75,1969.96,1969.48,1969.68,473,25,0
2023-11-08 02:30:00+00:00,1969.67,1969.82,1968.25,1968.4,501,25,0
2023-11-08 02:45:00+00:00,1968.37,1968.73,1967.79,1968.07,710,25,0
2023-11-08 03:00:00+00:00,1968.05,1969.47,1967.85,1969.3,988,25,0
2023-11-08 03:15:00+00:00,1969.32,1969.82,1968.55,1968.78,903,25,0
2023-11-08 03:30:00+00:00,1968.69,1968.75,1967.44,1968.11,879,25,0
2023-11-08 03:45:00+00:00,1968.06,1968.7,1967.54,1968.6,840,25,0
2023-11-08 04:00:00+00:00,1968.62,1969.8,1967.87,1969.56,670,25,0
2023-11-08 04:15:00+00:00,1969.57,1970.99,1968.97,1968.98,1040,25,0
2023-11-08 04:30:00+00:00,1968.99,1969.48,1968.69,1969.18,672,25,0
2023-11-08 04:45:00+00:00,1969.18,1969.18,1967.23,1968.62,1007,25,0
2023-11-08 05:00:00+00:00,1968.61,1968.82,1967.68,1968.05,926,25,0
2023-11-08 05:15:00+00:00,1968.04,1968.25,1967.71,1967.88,451,25,0
2023-11-08 05:30:00+00:00,1967.87,1968.49,1967.66,1967.92,406,25,0
2023-11-08 05:45:00+00:00,1967.91,1968.16,1967.53,1967.72,391,25,0
2023-11-08 06:00:00+00:00,1967.67,1967.85,1967.52,1967.62,211,25,0
2023-11-08 06:15:00+00:00,1967.6,1967.83,1967.51,1967.65,212,25,0
2023-11-08 06:30:00+00:00,1967.67,1967.74,1967.52,1967.52,243,25,0
2023-11-08 06:45:00+00:00,1967.52,1967.63,1967.42,1967.54,237,25,0
2023-11-08 07:00:00+00:00,1967.55,1967.85,1967.17,1967.18,193,25,0
2023-11-08 07:15:00+00:00,1967.17,1967.17,1966.04,1966.04,228,25,0
2023-11-08 07:30:00+00:00,1966.04,1966.25,1964.94,1965.04,659,25,0
2023-11-08 07:45:00+00:00,1965.03,1966.07,1965.01,1965.52,541,25,0
2023-11-08 08:00:00+00:00,1965.53,1966.44,1965.05,1966.34,936,25,0
2023-11-08 08:15:00+00:00,1966.33,1969.06,1966.2,1968.37,972,25,0
2023-11-08 08:30:00+00:00,1968.36,1968.74,1967.61,1968.04,706,25,0
2023-11-08 08:45:00+00:00,1968.03,1968.99,1967.15,1967.2,633,25,0
2023-11-08 09:00:00+00:00,1967.21,1968.08,1966.35,1966.36,888,25,0
2023-11-08 09:15:00+00:00,1966.35,1967.34,1965.49,1966.87,1197,25,0
2023-11-08 09:30:00+00:00,1966.85,1968.46,1966.59,1968.21,815,25,0
2023-11-08 09:45:00+00:00,1968.26,1968.41,1967.18,1967.61,638,25,0
2023-11-08 10:00:00+00:00,1967.57,1968.92,1967.05,1968.38,1208,25,0
2023-11-08 10:15:00+00:00,1968.38,1968.68,1966.89,1968.07,1284,25,0
2023-11-08 10:30:00+00:00,1968.07,1968.31,1967.37,1967.95,878,25,0
2023-11-08 10:45:00+00:00,1967.95,1968.45,1967.65,1968.17,883,25,0
2023-11-08 11:00:00+00:00,1968.18,1968.23,1966.74,1966.91,994,25,0
2023-11-08 11:15:00+00:00,1966.97,1967.82,1965.85,1967.07,1182,25,0
2023-11-08 11:30:00+00:00,1966.95,1966.98,1965.86,1966.5,1204,25,0
2023-11-08 11:45:00+00:00,1966.49,1966.56,1965.37,1965.4,798,25,0
2023-11-08 12:00:00+00:00,1965.41,1965.42,1962.78,1962.87,1163,25,0
2023-11-08 12:15:00+00:00,1962.82,1963.59,1960.35,1960.54,1606,25,0
2023-11-08 12:30:00+00:00,1960.53,1961.15,1959.47,1960.65,1598,25,0
2023-11-08 12:45:00+00:00,1960.67,1962.59,1960.25,1961.96,1650,25,0
2023-11-08 13:00:00+00:00,1961.91,1963.99,1961.69,1963.59,1008,25,0
2023-11-08 13:15:00+00:00,1963.6,1964.15,1963.07,1964.11,879,25,0
2023-11-08 13:30:00+00:00,1964.11,1964.91,1964.0,1964.22,859,25,0
2023-11-08 13:45:00+00:00,1964.26,1964.95,1964.17,1964.45,644,25,0
2023-11-08 14:00:00+00:00,1964.45,1964.54,1962.18,1962.29,1089,25,0
2023-11-08 14:15:00+00:00,1962.3,1963.53,1961.9,1963.23,952,25,0
2023-11-08 14:30:00+00:00,1963.25,1963.57,1962.17,1963.13,727,25,0
2023-11-08 14:45:00+00:00,1963.1,1963.18,1961.91,1962.74,926,25,0
2023-11-08 15:00:00+00:00,1962.77,1966.41,1962.76,1966.23,1679,25,0
2023-11-08 15:15:00+00:00,1966.24,1966.59,1962.73,1962.92,2111,25,0
2023-11-08 15:30:00+00:00,1962.9,1965.11,1962.9,1964.27,2037,25,0
2023-11-08 15:45:00+00:00,1964.28,1964.81,1963.42,1964.77,1784,25,0
2023-11-08 16:00:00+00:00,1964.75,1966.31,1963.63,1964.1,1804,25,0
2023-11-08 16:15:00+00:00,1964.05,1965.46,1962.46,1962.83,1809,25,0
2023-11-08 16:30:00+00:00,1962.81,1963.39,1960.74,1962.0,2769,25,0
2023-11-08 16:45:00+00:00,1961.96,1962.27,1959.72,1960.17,2545,25,0
2023-11-08 17:00:00+00:00,1960.15,1960.56,1957.27,1958.25,2633,25,0
2023-11-08 17:15:00+00:00,1958.31,1958.69,1955.29,1956.43,2583,25,0
2023-11-08 17:30:00+00:00,1956.52,1957.89,1950.91,1951.59,2885,25,0
2023-11-08 17:45:00+00:00,1951.53,1956.5,1951.14,1955.4,2817,25,0
2023-11-08 18:00:00+00:00,1955.41,1956.17,1952.18,1954.89,2269,25,0
2023-11-08 18:15:00+00:00,1954.88,1957.87,1954.6,1956.22,2764,25,0
2023-11-08 18:30:00+00:00,1956.21,1957.31,1955.41,1955.55,1571,25,0
2023-11-08 18:45:00+00:00,1955.54,1955.74,1953.72,1954.78,1506,25,0
2023-11-08 19:00:00+00:00,1954.8,1956.6,1953.84,1956.03,1296,25,0
2023-11-08 19:15:00+00:00,1956.03,1956.22,1952.64,1953.13,1246,25,0
2023-11-08 19:30:00+00:00,1953.12,1954.44,1951.93,1954.18,1161,25,0
2023-11-08 19:45:00+00:00,1954.16,1954.64,1952.93,1953.67,1062,25,0
2023-11-08 20:00:00+00:00,1953.71,1954.64,1952.43,1953.07,1763,25,0
2023-11-08 20:15:00+00:00,1953.07,1953.56,1951.52,1951.78,1596,25,0
2023-11-08 20:30:00+00:00,1951.96,1952.62,1950.87,1951.76,1138,25,0
2023-11-08 20:45:00+00:00,1951.69,1952.9,1951.65,1951.92,830,25,0
2023-11-08 21:00:00+00:00,1951.92,1951.97,1950.79,1951.63,705,25,0
2023-11-08 21:15:00+00:00,1951.63,1951.77,1949.28,1949.73,850,25,0
2023-11-08 21:30:00+00:00,1949.73,1949.73,1948.36,1948.94,892,25,0
2023-11-08 21:45:00+00:00,1948.89,1948.94,1947.49,1948.1,867,25,0
2023-11-08 22:00:00+00:00,1948.11,1948.74,1947.37,1948.69,755,25,0
2023-11-08 22:15:00+00:00,1948.71,1949.57,1948.7,1949.29,542,25,0
2023-11-08 22:30:00+00:00,1949.29,1949.44,1948.99,1949.21,492,25,0
2023-11-08 22:45:00+00:00,1949.24,1950.15,1948.6,1949.6,776,25,0
2023-11-08 23:00:00+00:00,1949.63,1949.89,1949.38,1949.66,377,25,0
2023-11-08 23:15:00+00:00,1949.74,1950.11,1949.57,1949.84,353,25,0
2023-11-08 23:30:00+00:00,1949.88,1950.07,1949.52,1949.78,414,25,0
