number,ea,symbol,side,open_time,close_time,net_profit,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
1,LVN XAUUSD optimized,XAUUSD,Long,2023-09-01T06:45:00,2023-09-01T07:23:34,195.57,2023-09-01 06:45:00+00:00,2023-09-01 07:23:34+00:00,0.978021978021978,0.978021978021978,0.89,1.1866666666666668,LVN,LVN XAUUSD optimized
2,LVN XAUUSD optimized,XAUUSD,Short,2023-09-01T14:30:00,2023-09-03T22:15:00,-20.02,2023-09-01 14:30:00+00:00,2023-09-03 22:15:00+00:00,1.618,1.6212424849699398,1.5107376283846872,0.9141242937853107,LVN,LVN XAUUSD optimized
3,LVN XAUUSD optimized,XAUUSD,Short,2023-09-05T08:30:00,2023-09-06T08:45:00,174.0,2023-09-05 08:30:00+00:00,2023-09-06 08:45:00+00:00,1.2041666666666666,1.078358208955224,1.023008849557522,1.0069686411149825,LVN,LVN XAUUSD optimized
4,LVN XAUUSD optimized,XAUUSD,Long,2023-09-08T14:15:00,2023-09-08T15:45:17,-103.47,2023-09-08 14:15:00+00:00,2023-09-08 15:45:17+00:00,0.9529683885890516,0.9817315329626688,0.9335347432024169,1.2834890965732086,LVN,LVN XAUUSD optimized
5,LVN XAUUSD optimized,XAUUSD,Short,2023-09-11T07:30:00,2023-09-11T14:30:26,201.31,2023-09-11 07:30:00+00:00,2023-09-11 14:30:26+00:00,1.1428571428571428,1.111913357400722,1.018181818181818,0.9808917197452229,LVN,LVN XAUUSD optimized
6,LVN XAUUSD optimized,XAUUSD,Short,2023-09-12T11:30:00,2023-09-13T11:45:00,7.12,2023-09-12 11:30:00+00:00,2023-09-13 11:45:00+00:00,1.6072234762979685,1.5717439293598234,1.3988212180746562,1.3825242718446602,LVN,LVN XAUUSD optimized
7,LVN XAUUSD optimized,XAUUSD,Short,2023-09-13T12:15:00,2023-09-13T12:30:03,-107.38,2023-09-13 12:15:00+00:00,2023-09-13 12:30:03+00:00,0.9413680781758957,0.9073783359497645,0.8562962962962963,1.2456896551724137,LVN,LVN XAUUSD optimized
8,LVN XAUUSD optimized,XAUUSD,Short,2023-09-13T13:15:00,2023-09-13T13:32:14,-101.8,2023-09-13 13:15:00+00:00,2023-09-13 13:32:14+00:00,1.496264674493063,1.5339168490153172,1.482029598308668,2.1404580152671757,LVN,LVN XAUUSD optimized
9,LVN XAUUSD optimized,XAUUSD,Short,2023-09-14T06:45:00,2023-09-14T15:10:35,-102.1,2023-09-14 06:45:00+00:00,2023-09-14 15:10:35+00:00,0.9833641404805915,0.9743589743589743,0.9551166965888689,0.953405017921147,LVN,LVN XAUUSD optimized
10,LVN XAUUSD optimized,XAUUSD,Short,2023-09-15T02:15:00,2023-09-15T02:50:36,-107.28,2023-09-15 02:15:00+00:00,2023-09-15 02:50:36+00:00,1.0363636363636364,1.073446327683616,0.976027397260274,0.890625,LVN,LVN XAUUSD optimized
11,LVN XAUUSD optimized,XAUUSD,Short,2023-09-15T03:15:00,2023-09-15T04:08:13,-103.82,2023-09-15 03:15:00+00:00,2023-09-15 04:08:13+00:00,0.9401330376940134,0.9359823399558499,0.9040511727078892,0.7808471454880295,LVN,LVN XAUUSD optimized
