number,ea,symbol,side,open_time,close_time,net_profit,open_dt,close_dt,clock10,clock20,clock40,rolling20,family,strategy
1,LVN GBPJPY optimized,GBPJPY,Short,2023-09-21T07:45:00,2023-09-21T07:56:03,-104.24,2023-09-21 07:45:00+00:00,2023-09-21 07:56:03+00:00,1.4945054945054945,1.437632135306554,1.3877551020408163,1.6037735849056605,LVN,LVN GBPJPY optimized
2,LVN GBPJPY optimized,GBPJPY,Long,2023-09-28T15:00:00,2023-09-28T18:35:27,-101.25,2023-09-28 15:00:00+00:00,2023-09-28 18:35:27+00:00,0.9529190207156308,0.9051878354203936,0.8336079077429983,0.8987566607460036,LVN,LVN GBPJPY optimized
3,LVN GBPJPY optimized,GBPJPY,Short,2023-09-29T04:45:00,2023-09-29T05:51:37,96.78,2023-09-29 04:45:00+00:00,2023-09-29 05:51:37+00:00,1.4585635359116023,1.3678756476683938,1.2753623188405796,1.1733333333333333,LVN,LVN GBPJPY optimized
4,LVN GBPJPY optimized,GBPJPY,Long,2023-10-04T08:15:00,2023-10-04T08:30:37,95.9,2023-10-04 08:15:00+00:00,2023-10-04 08:30:37+00:00,1.2641083521444696,1.2641083521444696,1.2121212121212122,0.9893992932862191,LVN,LVN GBPJPY optimized
5,LVN GBPJPY optimized,GBPJPY,Long,2023-11-23T08:00:00,2023-11-23T08:30:01,96.9,2023-11-23 08:00:00+00:00,2023-11-23 08:30:01+00:00,0.8193384223918575,0.7970297029702971,0.7171492204899778,0.9226361031518625,LVN,LVN GBPJPY optimized
6,LVN GBPJPY optimized,GBPJPY,Short,2023-11-27T01:15:00,2023-11-27T01:47:12,96.53,2023-11-27 01:15:00+00:00,2023-11-27 01:47:12+00:00,1.557632398753894,1.694915254237288,1.7482517482517483,1.9230769230769231,LVN,LVN GBPJPY optimized
7,LVN GBPJPY optimized,GBPJPY,Short,2023-12-05T06:30:00,2023-12-05T07:11:12,97.17,2023-12-05 06:30:00+00:00,2023-12-05 07:11:12+00:00,0.8135593220338984,1.0666666666666667,0.9290322580645162,0.9260450160771704,LVN,LVN GBPJPY optimized
8,LVN GBPJPY optimized,GBPJPY,Short,2023-12-08T08:45:00,2023-12-08T09:10:14,-101.9,2023-12-08 08:45:00+00:00,2023-12-08 09:10:14+00:00,1.3443830570902393,1.3904761904761904,1.6258351893095768,0.9733333333333334,LVN,LVN GBPJPY optimized
9,LVN GBPJPY optimized,GBPJPY,Long,2023-12-12T08:15:00,2023-12-12T08:47:39,-103.3,2023-12-12 08:15:00+00:00,2023-12-12 08:47:39+00:00,0.9935691318327974,1.105545617173524,1.236,1.2955974842767295,LVN,LVN GBPJPY optimized
10,LVN GBPJPY optimized,GBPJPY,Short,2023-12-19T16:00:00,2023-12-20T03:40:59,93.6,2023-12-19 16:00:00+00:00,2023-12-20 03:40:59+00:00,0.9718518518518519,1.1043771043771045,1.1651865008880995,0.9718518518518519,LVN,LVN GBPJPY optimized
11,LVN GBPJPY optimized,GBPJPY,Short,2023-12-28T13:45:00,2023-12-28T14:21:01,-103.99,2023-12-28 13:45:00+00:00,2023-12-28 14:21:01+00:00,0.9569230769230769,0.9569230769230769,1.048903878583474,1.3405172413793103,LVN,LVN GBPJPY optimized
12,LVN GBPJPY optimized,GBPJPY,Short,2024-01-03T01:45:00,2024-01-03T02:13:13,-103.5,2024-01-03 01:45:00+00:00,2024-01-03 02:13:13+00:00,0.919431279620853,0.8308351177730193,0.9326923076923077,0.9580246913580247,LVN,LVN GBPJPY optimized
13,LVN GBPJPY optimized,GBPJPY,Short,2024-01-04T07:15:00,2024-01-04T08:16:35,-101.96,2024-01-04 07:15:00+00:00,2024-01-04 08:16:35+00:00,0.9945750452079566,0.9306260575296108,1.1827956989247312,1.1111111111111112,LVN,LVN GBPJPY optimized
14,LVN GBPJPY optimized,GBPJPY,Long,2024-01-04T10:00:00,2024-01-04T14:08:40,95.95,2024-01-04 10:00:00+00:00,2024-01-04 14:08:40+00:00,1.4129158512720157,1.3911368015414258,1.4556451612903225,1.1701782820097244,LVN,LVN GBPJPY optimized
15,LVN GBPJPY optimized,GBPJPY,Long,2024-01-09T15:00:00,2024-01-09T15:45:28,96.92,2024-01-09 15:00:00+00:00,2024-01-09 15:45:28+00:00,0.8325508607198748,0.8235294117647058,0.875,0.8580645161290322,LVN,LVN GBPJPY optimized
16,LVN GBPJPY optimized,GBPJPY,Short,2024-01-12T09:30:00,2024-01-12T11:38:25,98.59,2024-01-12 09:30:00+00:00,2024-01-12 11:38:25+00:00,1.0061601642710472,1.012396694214876,1.012396694214876,0.9227871939736346,LVN,LVN GBPJPY optimized
