symbol,version,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,history_quality
USDJPY,raw-validation,3.1166000000000005,1.07,49.8,7.21,255,0.77,0.41,100%
USDJPY,selected-validation,3.8447,1.09,51.43,11.94,140,1.01,0.3,100%
USDJPY,raw-latest,2.761,1.06,52.33,10.82,258,0.64,0.22,100%
USDJPY,selected-latest,12.7221,1.33,51.85,10.13,135,3.35,1.04,100%
USDJPY,raw-full,15.5586,1.06,49.3,10.83,1290,0.6,1.13,100%
USDJPY,selected-full,178.413,1.46,53.97,12.12,693,4.41,5.71,100%
EURUSD,raw-validation,-3.5821,0.93,50.0,9.61,256,-0.74,-0.36,100%
EURUSD,selected-validation,7.7126,1.48,56.06,2.85,66,4.44,2.44,100%
EURUSD,raw-latest,9.1611,1.18,56.08,6.15,255,1.84,1.36,100%
EURUSD,selected-latest,-4.3537,0.84,47.67,9.72,86,-2.38,-0.43,100%
EURUSD,raw-full,-16.201999999999998,0.93,50.58,28.57,1287,-0.67,-0.56,100%
EURUSD,selected-full,48.950900000000004,1.39,56.42,9.79,358,4.33,3.08,100%
