stage,name,group,return_pct,profit_factor,win_rate,equity_dd_pct,trades,sharpe_ratio,recovery_factor,history_quality_pct,score,elapsed_seconds
development,fixed-rr2.5,reward-risk,47.628,1.14,40.32,14.21,506,2.45,2.09,98.0,28.1155,12.18
development,fixed-rr3-dynamic5020,reward-risk,60.945899999999995,1.19,43.17,23.66,505,2.9,2.54,98.0,26.170899999999996,12.86
development,fixed-rr4,reward-risk,45.7417,1.15,38.84,18.97,502,1.98,1.53,98.0,17.314200000000003,11.69
development,overlap-0800,session-anchor,64.7505,1.17,51.75,31.69,514,3.36,1.19,98.0,16.372999999999998,11.73
development,fixed-rr3,reward-risk,41.1916,1.13,39.09,17.45,504,1.98,1.53,98.0,15.1841,12.36
development,fixed-rr5,reward-risk,42.4909,1.14,38.8,18.99,500,1.8,1.41,98.0,13.638400000000008,12.42
development,no-management-eod,management,41.883,1.13,38.63,18.97,497,1.74,1.39,98.0,12.855500000000003,12.8
development,ema-distance-020atr,signal-filter,46.627700000000004,1.22,56.55,24.27,458,3.5,1.9,98.0,12.045200000000008,11.59
development,atr5-start1,management,49.9583,1.16,40.2,24.99,510,2.54,1.97,98.0,11.955800000000005,13.0
development,ny-1000,session-anchor,26.704499999999996,1.14,59.26,11.9,513,1.88,1.8,98.0,10.379499999999995,12.17
development,body-fraction-050,signal-filter,27.8904,1.25,58.65,18.3,266,3.95,1.52,98.0,4.790400000000002,10.78
development,asia-1900,session-anchor,19.845299999999998,1.11,53.53,12.2,411,1.6,1.2,98.0,2.215300000000002,11.43
development,body-050atr,signal-filter,30.101899999999997,1.16,56.51,19.45,407,2.67,1.53,98.0,1.9893999999999945,11.88
development,body-020atr,signal-filter,33.7305,1.16,56.93,21.87,469,2.6,1.53,98.0,1.2779999999999978,11.59
development,atr-stop5-rr15,stop,29.7103,1.11,47.14,20.04,507,2.03,1.41,98.0,-0.994699999999999,11.55
development,long-only,direction,21.3363,1.19,55.89,17.79,263,3.01,1.17,98.0,-3.0012,13.85
development,atr5-immediate,management,28.444799999999997,1.11,35.87,20.59,513,1.91,1.34,98.0,-3.4027000000000007,12.96
development,timeframe-m30,timeframe,16.814799999999998,1.11,58.22,15.45,505,1.28,1.08,98.0,-6.9826999999999995,18.14
development,atr6-immediate,management,30.2809,1.1,37.43,23.53,513,1.73,1.27,98.0,-7.101600000000002,13.29
development,fixed-rr1.75,reward-risk,29.360999999999997,1.1,43.22,24.29,509,2.03,1.19,98.0,-8.901500000000002,12.6
development,fixed-rr2,reward-risk,28.033,1.09,41.62,24.78,507,1.75,1.11,98.0,-11.626999999999999,13.0
development,current-dynamic5020-atr6,baseline,30.0039,1.13,55.66,28.39,512,2.18,1.05,98.0,-14.848600000000005,65.72
development,timeframe-m5,timeframe,30.0039,1.13,55.66,28.39,512,2.18,1.05,98.0,-14.848600000000005,11.92
development,ema-slope,signal-filter,30.0039,1.13,55.66,28.39,512,2.18,1.05,98.0,-14.848600000000005,11.81
development,relvol10-100,signal-filter,30.0039,1.13,55.66,28.39,512,2.18,1.05,98.0,-14.848600000000005,11.96
development,relvol20-125,signal-filter,30.0039,1.13,55.66,28.39,512,2.18,1.05,98.0,-14.848600000000005,12.07
