symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,avg_lot,avg_actual_risk,max_trades_per_day,risk_mode,fixed_lot,risk_usd_cap,risk_usd_offset
EURJPY,EURJPY..,M5,EMA,3,1.2,1.0/2.0/3.0,NY_OPEN,35,20,15,57.14,2000.0,2689.98,689.98,34.5,14.63,1.48,0.241,1.03,92.3,2,RISK_PERCENT,0.01,12.0,0.5
USDSGD,USDSGD..,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,85,52,33,61.18,2000.0,4300.73,2300.73,115.04,21.47,1.62,0.249,2.007,118.09,2,RISK_PERCENT,0.01,12.0,0.5
