time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2025.09.05 03:15:00,entry,2,1,3554.034,3526.374,0.0,no_tp|risk=110.6400|volume=0.0400|PD=2025.09.05 00:00:00|PW=2025.08.31 00:00:00,0.2135321428571404,0.0,0.0,0.0,0.0,0.0,,9999.78,9999.63,PW.VAL=3360.917;PW.POC=3376.164;PW.VAH=3405.855;PD.VAL=3536.585;PD.POC=3545.166;PD.VAH=3553.747
2025.09.07 22:05:00,ladder_refresh,2,1,3554.034,3526.374,0.0,PD=2025.09.07 00:00:00|PW=2025.08.31 00:00:00,0.2135321428571404,0.0,0.0,0.0,0.0,0.0,,9999.78,10149.24,PW.VAL=3360.917;PW.POC=3376.164;PW.VAH=3405.855;PD.VAL=3544.801;PD.POC=3551.288;PD.VAH=3587.182
2025.09.07 22:15:00,trail,2,1,3554.034,3551.074,0.0,done,0.2135321428571404,3587.182,3551.288,3590.67,3586.677,3526.374,2025.09.07 22:00:00,9999.78,10144.32,PW.VAL=3360.917;PW.POC=3376.164;PW.VAH=3405.855;PD.VAL=3544.801;PD.POC=3551.288;PD.VAH=3587.182
2025.09.08 00:00:00,ladder_refresh,2,1,3554.034,3551.074,0.0,PD=2025.09.08 00:00:00|PW=2025.09.07 00:00:00,0.2135321428571404,0.0,0.0,0.0,0.0,0.0,,9999.78,10146.26,PW.VAL=3498.270;PW.POC=3550.486;PD.VAL=3589.593;PD.POC=3591.019;PD.VAH=3594.095;PW.VAH=3600.156
2025.09.08 01:00:00,trail,2,1,3554.034,3590.805,0.0,done,0.2135321428571404,3594.095,3591.019,3594.321,3590.189,3551.074,2025.09.08 00:45:00,9999.78,10158.61,PW.VAL=3498.270;PW.POC=3550.486;PD.VAL=3589.593;PD.POC=3591.019;PD.VAH=3594.095;PW.VAH=3600.156
2025.09.08 07:00:00,entry,4,1,3598.183,3592.898,0.0,no_tp|risk=105.7000|volume=0.2000|PD=2025.09.08 00:00:00|PW=2025.09.07 00:00:00,0.17847142857143258,0.0,0.0,0.0,0.0,0.0,,10143.5,10142.76,PW.VAL=3498.270;PW.POC=3550.486;PD.VAL=3589.593;PD.POC=3591.019;PD.VAH=3594.095;PW.VAH=3600.156
2025.09.08 07:15:00,trail,4,1,3598.183,3593.916,0.0,done,0.17847142857143258,3600.156,3594.095,3604.616,3598.122,3592.898,2025.09.08 07:00:00,10143.5,10272.66,PW.VAL=3498.270;PW.POC=3550.486;PD.VAL=3589.593;PD.POC=3591.019;PD.VAH=3594.095;PW.VAH=3600.156
2025.09.09 00:00:00,ladder_refresh,4,1,3598.183,3593.916,0.0,PD=2025.09.09 00:00:00|PW=2025.09.07 00:00:00,0.17847142857143258,0.0,0.0,0.0,0.0,0.0,,10143.5,10871.2,PW.VAL=3498.270;PW.POC=3550.486;PD.VAL=3597.421;PW.VAH=3600.156;PD.POC=3635.470;PD.VAH=3646.416
2025.09.09 00:15:00,trail,4,1,3598.183,3599.977,0.0,done,0.17847142857143258,3635.47,3600.156,3637.176,3635.072,3593.916,2025.09.09 00:00:00,10143.5,10912.38,PW.VAL=3498.270;PW.POC=3550.486;PD.VAL=3597.421;PW.VAH=3600.156;PD.POC=3635.470;PD.VAH=3646.416
2025.09.09 02:15:00,trail,4,1,3598.183,3635.291,0.0,done,0.17847142857143258,3646.416,3635.47,3651.024,3646.485,3599.977,2025.09.09 02:00:00,10143.5,11190.22,PW.VAL=3498.270;PW.POC=3550.486;PD.VAL=3597.421;PW.VAH=3600.156;PD.POC=3635.470;PD.VAH=3646.416
2025.09.09 15:30:00,entry,6,1,3640.374,3625.609,0.0,no_tp|risk=118.1200|volume=0.0800|PD=2025.09.09 00:00:00|PW=2025.09.07 00:00:00,0.5483035714285718,0.0,0.0,0.0,0.0,0.0,,10874.34,10874.05,PW.VAL=3498.270;PW.POC=3550.486;PD.VAL=3597.421;PW.VAH=3600.156;PD.POC=3635.470;PD.VAH=3646.416
2025.09.09 16:15:00,trail,6,1,3640.374,3634.921,0.0,done,0.5483035714285718,3646.416,3635.47,3649.09,3645.521,3625.609,2025.09.09 16:00:00,10874.34,10944.32,PW.VAL=3498.270;PW.POC=3550.486;PD.VAL=3597.421;PW.VAH=3600.156;PD.POC=3635.470;PD.VAH=3646.416
2025.09.10 07:15:00,entry,8,1,3647.146,3640.829,0.0,no_tp|risk=113.7100|volume=0.1800|PD=2025.09.10 00:00:00|PW=2025.09.07 00:00:00,0.19547142857142522,0.0,0.0,0.0,0.0,0.0,,10829.57,10828.9,PW.VAL=3498.270;PW.POC=3550.486;PW.VAH=3600.156;PD.VAL=3638.473;PD.POC=3646.109;PD.VAH=3655.353
2025.09.11 00:15:00,entry,10,1,3646.714,3643.18,0.0,no_tp|risk=109.5500|volume=0.3100|PD=2025.09.11 00:00:00|PW=2025.09.07 00:00:00,0.14862857142856814,0.0,0.0,0.0,0.0,0.0,,10713.7,10712.56,PW.VAL=3498.270;PW.POC=3550.486;PW.VAH=3600.156;PD.VAL=3639.543;PD.POC=3645.094;PD.VAH=3654.735
2025.09.11 01:15:00,entry,12,1,3646.331,3642.29,0.0,no_tp|risk=109.1100|volume=0.2700|PD=2025.09.11 00:00:00|PW=2025.09.07 00:00:00,0.15234285714285697,0.0,0.0,0.0,0.0,0.0,,10602.04,10601.04,PW.VAL=3498.270;PW.POC=3550.486;PW.VAH=3600.156;PD.VAL=3639.543;PD.POC=3645.094;PD.VAH=3654.735
2025.09.12 09:30:00,entry,14,1,3646.216,3637.278,0.0,no_tp|risk=107.2500|volume=0.1200|PD=2025.09.12 00:00:00|PW=2025.09.07 00:00:00,0.22174642857142834,0.0,0.0,0.0,0.0,0.0,,10492.11,10491.67,PW.VAL=3498.270;PW.POC=3550.486;PW.VAH=3600.156;PD.VAL=3623.901;PD.POC=3633.745;PD.VAH=3638.526
2025.09.14 22:05:00,ladder_refresh,14,1,3646.216,3637.278,0.0,PD=2025.09.14 00:00:00|PW=2025.09.07 00:00:00,0.22174642857142834,0.0,0.0,0.0,0.0,0.0,,10492.11,10467.38,PW.VAL=3498.270;PW.POC=3550.486;PW.VAH=3600.156;PD.VAL=3642.822;PD.POC=3648.332;PD.VAH=3652.210
2025.09.15 00:15:00,entry,16,1,3641.42,3634.525,0.0,no_tp|risk=110.3200|volume=0.1600|PD=2025.09.15 00:00:00|PW=2025.09.14 00:00:00,0.13825714285714283,0.0,0.0,0.0,0.0,0.0,,10377.09,10376.5,PW.VAL=3628.656;PD.VAL=3637.861;PD.POC=3641.248;PD.VAH=3642.905;PW.POC=3647.200;PW.VAH=3655.359
2025.09.15 01:30:00,entry,18,1,3631.959,3626.168,0.0,no_tp|risk=104.2400|volume=0.1800|PD=2025.09.15 00:00:00|PW=2025.09.14 00:00:00,0.1885607142857144,0.0,0.0,0.0,0.0,0.0,,10265.62,10264.96,PW.VAL=3628.656;PD.VAL=3637.861;PD.POC=3641.248;PD.VAH=3642.905;PW.POC=3647.200;PW.VAH=3655.359
2025.09.15 02:15:00,trail,18,1,3631.959,3628.467,0.0,done,0.1885607142857144,3637.861,3628.656,3640.711,3634.524,3626.168,2025.09.15 02:00:00,10265.62,10423.84,PW.VAL=3628.656;PD.VAL=3637.861;PD.POC=3641.248;PD.VAH=3642.905;PW.POC=3647.200;PW.VAH=3655.359
2025.09.15 02:30:00,trail,18,1,3631.959,3637.672,0.0,done,0.1885607142857144,3641.248,3637.861,3643.089,3640.711,3628.467,2025.09.15 02:15:00,10265.62,10466.68,PW.VAL=3628.656;PD.VAL=3637.861;PD.POC=3641.248;PD.VAH=3642.905;PW.POC=3647.200;PW.VAH=3655.359
2025.09.15 02:45:00,trail,18,1,3631.959,3641.059,0.0,done,0.1885607142857144,3642.905,3641.248,3644.918,3643.089,3637.672,2025.09.15 02:30:00,10265.62,10497.62,PW.VAL=3628.656;PD.VAL=3637.861;PD.POC=3641.248;PD.VAH=3642.905;PW.POC=3647.200;PW.VAH=3655.359
2025.09.15 07:45:00,entry,20,1,3641.31,3633.459,0.0,no_tp|risk=109.9100|volume=0.1400|PD=2025.09.15 00:00:00|PW=2025.09.14 00:00:00,0.1564178571428556,0.0,0.0,0.0,0.0,0.0,,10428.29,10427.77,PW.VAL=3628.656;PD.VAL=3637.861;PD.POC=3641.248;PD.VAH=3642.905;PW.POC=3647.200;PW.VAH=3655.359
2025.09.15 08:00:00,trail,20,1,3641.31,3641.091,0.0,done,0.1564178571428556,3642.905,3641.248,3643.901,3641.306,3633.459,2025.09.15 07:45:00,10428.29,10465.67,PW.VAL=3628.656;PD.VAL=3637.861;PD.POC=3641.248;PD.VAH=3642.905;PW.POC=3647.200;PW.VAH=3655.359
2025.09.15 08:30:00,entry,22,1,3641.81,3640.634,0.0,no_tp|risk=104.6600|volume=0.8900|PD=2025.09.15 00:00:00|PW=2025.09.14 00:00:00,0.1789678571428551,0.0,0.0,0.0,0.0,0.0,,10419.95,10416.66,PW.VAL=3628.656;PD.VAL=3637.861;PD.POC=3641.248;PD.VAH=3642.905;PW.POC=3647.200;PW.VAH=3655.359
2025.09.15 09:00:00,trail,22,1,3641.81,3641.069,0.0,done,0.1789678571428551,3642.905,3641.248,3645.541,3641.943,3640.634,2025.09.15 08:45:00,10419.95,10749.78,PW.VAL=3628.656;PD.VAL=3637.861;PD.POC=3641.248;PD.VAH=3642.905;PW.POC=3647.200;PW.VAH=3655.359
2025.09.17 14:15:00,entry,24,1,3684.043,3675.749,0.0,no_tp|risk=107.8200|volume=0.1300|PD=2025.09.17 00:00:00|PW=2025.09.14 00:00:00,0.26740357142857,0.0,0.0,0.0,0.0,0.0,,10352.48,10352.0,PW.VAL=3628.656;PW.POC=3647.200;PW.VAH=3655.359;PD.VAL=3684.126;PD.POC=3689.234;PD.VAH=3697.895
2025.09.22 00:15:00,entry,26,1,3690.629,3685.333,0.0,no_tp|risk=105.9200|volume=0.2000|PD=2025.09.22 00:00:00|PW=2025.09.21 00:00:00,0.16196785714285594,0.0,0.0,0.0,0.0,0.0,,10240.71,10239.97,PW.VAL=3650.642;PW.POC=3680.353;PD.VAL=3686.379;PD.POC=3687.641;PD.VAH=3690.097;PW.VAH=3697.421
2025.09.22 05:45:00,trail,26,1,3690.629,3689.935,0.0,done,0.16196785714285594,3697.421,3690.097,3698.409,3696.381,3685.333,2025.09.22 05:30:00,10240.71,10396.33,PW.VAL=3650.642;PW.POC=3680.353;PD.VAL=3686.379;PD.POC=3687.641;PD.VAH=3690.097;PW.VAH=3697.421
2025.09.23 00:00:00,ladder_refresh,26,1,3690.629,3689.935,0.0,PD=2025.09.23 00:00:00|PW=2025.09.21 00:00:00,0.16196785714285594,0.0,0.0,0.0,0.0,0.0,,10240.71,11375.61,PW.VAL=3650.642;PW.POC=3680.353;PW.VAH=3697.421;PD.VAL=3708.470;PD.POC=3721.925;PD.VAH=3747.341
2025.09.23 00:30:00,trail,26,1,3690.629,3721.763,0.0,done,0.16196785714285594,3747.341,3721.925,3748.97,3746.955,3689.935,2025.09.23 00:15:00,10240.71,11396.07,PW.VAL=3650.642;PW.POC=3680.353;PW.VAH=3697.421;PD.VAL=3708.470;PD.POC=3721.925;PD.VAH=3747.341
2025.09.24 00:00:00,ladder_refresh,26,1,3690.629,3721.763,0.0,PD=2025.09.24 00:00:00|PW=2025.09.21 00:00:00,0.16196785714285594,0.0,0.0,0.0,0.0,0.0,,10240.71,11684.77,PW.VAL=3650.642;PW.POC=3680.353;PW.VAH=3697.421;PD.VAL=3755.493;PD.POC=3779.707;PD.VAH=3788.628
2025.09.26 13:00:00,entry,28,1,3752.209,3736.283,0.0,no_tp|risk=111.4800|volume=0.0700|PD=2025.09.26 00:00:00|PW=2025.09.21 00:00:00,0.21623928571428258,0.0,0.0,0.0,0.0,0.0,,10841.4,10841.14,PW.VAL=3650.642;PW.POC=3680.353;PW.VAH=3697.421;PD.VAL=3730.088;PD.POC=3735.354;PD.VAH=3751.150
2025.09.28 22:05:00,ladder_refresh,28,1,3752.209,3736.283,0.0,PD=2025.09.28 00:00:00|PW=2025.09.21 00:00:00,0.21623928571428258,0.0,0.0,0.0,0.0,0.0,,10841.4,10925.79,PW.VAL=3650.642;PW.POC=3680.353;PW.VAH=3697.421;PD.VAL=3737.631;PD.POC=3745.733;PD.VAH=3773.127
2025.09.29 00:00:00,ladder_refresh,28,1,3752.209,3736.283,0.0,PD=2025.09.29 00:00:00|PW=2025.09.28 00:00:00,0.21623928571428258,0.0,0.0,0.0,0.0,0.0,,10841.4,10940.77,PW.VAL=3732.486;PW.POC=3745.063;PD.VAL=3767.406;PD.POC=3767.764;PD.VAH=3770.695;PW.VAH=3779.439
2025.09.29 00:15:00,trail,28,1,3752.209,3767.547,0.0,done,0.21623928571428258,3770.695,3767.764,3774.237,3766.979,3736.283,2025.09.29 00:00:00,10841.4,10992.08,PW.VAL=3732.486;PW.POC=3745.063;PD.VAL=3767.406;PD.POC=3767.764;PD.VAH=3770.695;PW.VAH=3779.439
2025.09.29 00:45:00,trail,28,1,3752.209,3770.478,0.0,done,0.21623928571428258,3779.439,3770.695,3782.997,3777.429,3767.547,2025.09.29 00:30:00,10841.4,11052.89,PW.VAL=3732.486;PW.POC=3745.063;PD.VAL=3767.406;PD.POC=3767.764;PD.VAH=3770.695;PW.VAH=3779.439
2025.09.29 01:45:00,entry,30,1,3772.913,3767.16,0.0,no_tp|risk=115.0600|volume=0.2000|PD=2025.09.29 00:00:00|PW=2025.09.28 00:00:00,0.3192499999999996,0.0,0.0,0.0,0.0,0.0,,10964.22,10963.48,PW.VAL=3732.486;PW.POC=3745.063;PD.VAL=3767.406;PD.POC=3767.764;PD.VAH=3770.695;PW.VAH=3779.439
